WEEK	ModPriestRapidsFlowData
1	6.77E+06
2	3.72E+06
3	3.06E+06
4	2.39E+06
5	1.90E+06
6	1.46E+06
7	1.21E+06
8	1.99E+06
9	2.75E+06
10	1.13E+07
11	1.74E+07
12	8.62E+06
13	5.51E+06
14	3.07E+06
15	2.11E+06
16	1.49E+06
17	1.67E+06
18	1.08E+06
19	1.74E+06
20	1.99E+06
21	7.42E+06
22	1.12E+07
23	1.47E+07
24	1.06E+07
25	6.22E+06
26	3.69E+06
27	2.16E+06
28	1.81E+06
29	1.45E+06
30	1.43E+06
31	1.51E+06
32	2.35E+06
33	3.97E+06
34	1.35E+07
35	1.35E+07
36	8.58E+06
37	5.04E+06
38	3.73E+06
39	2.22E+06
40	2.10E+06
41	1.69E+06
42	1.64E+06
43	1.68E+06
44	4.72E+06
45	8.90E+06
46	1.98E+07
47	2.14E+07
48	1.12E+07
49	6.39E+06
50	3.26E+06
51	2.56E+06
52	3.55E+06
53	3.36E+06
54	2.55E+06
55	1.60E+06
56	2.56E+06
57	5.79E+06
58	1.57E+07
59	2.83E+07
60	1.80E+07
61	8.04E+06
62	4.33E+06
63	4.36E+06
64	5.92E+06
65	7.56E+06
66	6.53E+06
67	4.18E+06
68	5.67E+06
69	1.64E+07
70	2.23E+07
71	1.65E+07
72	9.11E+06
73	5.54E+06
74	3.18E+06
75	2.74E+06
76	4.33E+06
77	2.94E+06
78	2.97E+06
79	3.25E+06
80	3.29E+06
81	5.23E+06
82	1.58E+07
83	2.08E+07
84	1.44E+07
85	6.58E+06
86	3.67E+06
87	2.43E+06
88	1.88E+06
89	1.65E+06
90	1.67E+06
91	1.01E+06
92	2.25E+06
93	8.34E+06
94	1.96E+07
95	1.65E+07
96	8.24E+06
97	5.05E+06
98	2.92E+06
99	2.04E+06
100	1.44E+06
101	1.51E+06
102	1.03E+06
103	1.11E+06
104	1.66E+06
105	3.48E+06
106	1.24E+07
107	1.66E+07
108	9.81E+06
109	4.88E+06
110	3.32E+06
111	2.70E+06
112	3.48E+06
113	2.70E+06
114	2.94E+06
115	1.92E+06
116	3.70E+06
117	8.55E+06
118	1.83E+07
119	2.12E+07
120	1.13E+07
121	4.49E+06
122	3.72E+06
123	2.69E+06
124	2.05E+06
125	1.87E+06
126	2.03E+06
127	1.37E+06
128	2.58E+06
129	7.40E+06
130	1.79E+07
131	1.31E+07
132	1.03E+07
133	5.46E+06
134	3.05E+06
135	2.91E+06
136	2.68E+06
137	2.93E+06
138	1.86E+06
139	2.01E+06
140	3.89E+06
141	7.31E+06
142	1.53E+07
143	1.34E+07
144	8.27E+06
145	4.73E+06
146	3.87E+06
147	3.58E+06
148	2.31E+06
149	2.19E+06
150	1.99E+06
151	1.68E+06
152	3.27E+06
153	6.65E+06
154	1.14E+07
155	1.14E+07
156	7.56E+06
157	4.63E+06
158	4.43E+06
159	5.00E+06
160	3.86E+06
161	5.44E+06
162	2.71E+06
163	2.22E+06
164	2.38E+06
165	6.77E+06
166	1.43E+07
167	1.72E+07
168	1.28E+07
169	6.34E+06
170	3.09E+06
171	2.58E+06
172	2.49E+06
173	2.45E+06
174	1.92E+06
175	1.95E+06
176	2.48E+06
177	1.29E+07
178	1.42E+07
179	1.99E+07
180	1.69E+07
181	6.81E+06
182	3.09E+06
183	2.76E+06
184	2.05E+06
185	1.93E+06
186	1.64E+06
187	1.47E+06
188	1.79E+06
189	3.45E+06
190	1.06E+07
191	1.30E+07
192	6.85E+06
193	4.92E+06
