week	PAYFlood1	PAYFlood2	PAYFlood3	PAYFlood4	PAYFlood5	PAYFlood6
1	800452	800452	800452	800452	800452	800452
2	800452	800452	800452	800452	800452	800452
3	800452	800452	800452	800452	800452	800452
4	800452	800452	800452	800452	800452	800452
5	800452	800452	800452	800452	800452	800452
6	800452	800452	800452	800452	800452	800452
7	800452	800452	800452	800452	800452	800452
8	800452	800452	800452	800452	800452	800452
9	800452	800452	800452	800452	800452	800452
10	800452	800452	800452	800452	800452	800452
11	800452	800452	800452	800452	800452	800452
12	800452	800452	800452	800452	800452	800452
13	800452	800452	800452	800452	800452	800452
14	800452	800452	800452	800452	800452	800452
15	800452	800452	800452	800452	800452	800452
16	800452	800452	800452	800452	800452	800452
17	800452	800452	800452	800452	800452	800452
18	610000	610000	610000	610000	610000	610000
19	610000	610000	610000	610000	610000	610000
20	610000	610000	610000	610000	610000	610000
21	610000	610000	610000	610000	610000	610000
22	610000	610000	610000	610000	610000	610000
23	610000	610000	610000	610000	610000	610000
24	610000	610000	610000	610000	610000	610000
25	610000	610000	610000	610000	610000	610000
26	610000	610000	610000	610000	610000	610000
27	610000	610000	610000	610000	610000	610000
28	610000	610000	610000	610000	610000	610000
29	610000	610000	610000	610000	610000	610000
30	610000	610000	610000	610000	610000	610000
31	610000	610000	610000	610000	610000	610000
32	610000	610000	610000	610000	610000	610000
33	610000	610000	610000	610000	610000	610000
34	610000	610000	610000	610000	610000	610000
35	800452	742000	681250	631250	562500	481250
36	800452	739000	667000	600000	512500	381250
37	800452	737500	650000	562500	462500	281250
38	800452	735000	631250	525000	406250	200000
39	800452	733000	613000	489000	356000	200000
40	800452	731000	600000	462500	312000	200000
41	800452	728000	585000	431250	271875	200000
42	800452	725000	570000	400000	220000	200000
43	800452	724000	556250	368750	200000	200000
44	800452	722000	540000	340625	200000	200000
45	800452	718750	525000	337500	337500	337500
46	800452	716000	510000	487500	487500	487500
47	800452	712500	643750	643750	643750	643750
48	800452	800452	800452	800452	800452	800452
49	800452	800452	800452	800452	800452	800452
50	800452	800452	800452	800452	800452	800452
51	800452	800452	800452	800452	800452	800452
52	800452	800452	800452	800452	800452	800452
