WEEK	REVAgWith
1	8926.69
2	8243.61
3	7560.54
4	6877.46
5	6194.38
6	4593.78
7	2993.19
8	1392.59
9	-208.01
10	-436.75
11	-665.49
12	-894.24
13	-1122.98
14	-1351.72
15	-1313.82
16	-1275.93
17	-1238.03
18	-1200.13
19	-1133.98
20	-1067.84
21	-1001.69
22	-935.55
23	-909.88
24	-884.22
25	-858.56
26	-832.9
27	-807.23
28	-774.57
29	-741.91
30	-709.25
31	-676.59
32	-642.7
33	-608.8
34	-574.91
35	-541.01
36	-482.53
37	-424.05
38	-365.57
39	-307.08
40	718.6
41	1744.28
42	2769.97
43	3795.65
44	4821.33
45	5640.07
46	6458.8
47	7277.54
48	8096.28
49	8474.65
50	8853.02
51	9231.4
52	9609.77
