week	BaseUSAgWith	BaseUSAgReturn
1	1.02E+06	204780
2	958680	197960
3	902020	191140
4	845360	184320
5	788700	177500
6	754000	172350
7	719300	167200
8	684600	162050
9	649900	156900
10	574500	142690
11	499100	128480
12	423700	114270
13	348300	100060
14	272900	85850
15	206225	72957.5
16	139550	60065
17	72875	47172.5
18	6200	34280
19	6475	31277.5
20	6750	28275
21	7025	25272.5
22	7300	22270
23	7340	21108
24	7380	19946
25	7420	18784
26	7460	17622
27	7500	16460
28	7350	15507.5
29	7200	14555
30	7050	13602.5
31	6900	12650
32	9700	12080
33	12500	11510
34	15300	10940
35	18100	10370
36	34350	11140
37	50600	11910
38	66850	12680
39	83100	13450
40	217700	33020
41	352300	52590
42	486900	72160
43	621500	91730
44	756100	111300
45	819575	131000
46	883050	150700
47	946525	170400
48	1010000	190100
49	1.03E+06	195475
50	1.04E+06	200850
51	1.06E+06	206225
52	1.07E+06	211600
