week	M	B
1	0.2645	923807
2	0.3481	761305
3	0.4316	598803
4	0.5152	436302
5	0.5987	273800
6	0.507	260186
7	0.4152	246572
8	0.3235	232958
9	0.2317	219344
10	0.1976	176990
11	0.1634	134636
12	0.1292	92282
13	0.095	49928
14	0.0609	7574
15	0.1413	21020
16	0.2217	34465
17	0.3021	47911
18	0.3826	61357
19	0.3774	55776
20	0.3722	50196
21	0.367	44616
22	0.3619	39036
23	0.371	33873
24	0.3801	28711
25	0.3892	23548
26	0.3983	18386
27	0.4074	13223
28	0.3834	25184
29	0.3594	37144
30	0.3353	49104
31	0.3113	61065
32	0.2676	71927
33	0.224	82789
34	0.1803	93651
35	0.1367	104514
36	0.1014	127351
37	0.0661	150188
38	0.0308	173025
39	-0.0045	195862
40	-0.0147	254505
41	-0.0249	313148
42	-0.0351	371791
43	-0.0454	430433
44	-0.0556	489076
45	-0.0324	619428
46	-0.0093	749779
47	0.0139	880131
48	0.037	1010480
49	0.073	1029440
50	0.109	1048400
51	0.145	1067350
52	0.181	1086310
