week	USFlood1	USFlood2	USFlood3	USFlood4	USFlood5	USFlood6	USFlood7	USFlood8	USFlood9
1	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
2	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
3	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
4	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
5	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
6	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
7	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
8	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
9	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
10	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
11	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
12	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
13	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
14	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
15	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
16	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
17	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
18	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
19	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
20	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
21	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
22	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
23	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
24	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
25	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
26	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
27	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
28	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
29	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
30	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
31	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	3988695
32	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	3638695
33	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	3288695
34	4135695	4135695	4135695	4135695	4135695	4135695	4135695	3938695	3038695
35	4135695	4135695	4135695	4135695	4135695	4135695	4113695	3613695	2838695
36	4135695	4135695	4135695	4135695	4135695	4135695	3788695	3338695	2648695
37	4135695	4135695	4135695	4135695	4135695	4013695	3538695	3113695	2538695
38	4135695	4135695	4135695	4135695	4135695	3738695	3298695	2938695	2538695
39	4135695	4135695	4135695	4135695	3828695	3463695	3138695	2813695	2538695
40	4135695	4135695	4135695	4013695	3663695	3313695	3013695	2698695	2538695
41	4135695	4135695	4113695	3863695	3538695	3213695	2913695	2598695	2538695
42	4135695	4135695	4013695	3748695	3438695	3113695	2828695	2538695	2538695
43	4135695	4128695	3938695	3663695	3348695	3028695	2738695	2538695	2538695
44	4135695	4063695	3863695	3588695	3263695	2938695	2648695	2538695	2538695
45	4135695	4013695	3798695	3528695	3188695	2838695	2563695	2538695	2538695
46	4135695	3988695	3763695	3463695	3113695	2763695	2988695	2713695	2713695
47	4135695	3973695	3728695	3398695	3063695	2988695	3263695	2988695	2988695
48	4135695	3963695	3688695	3348695	3263695	3263695	3578695	3248695	3248695
49	4135695	3948695	3663695	3578695	3578695	3578695	3838695	3578695	3578695
50	4135695	3963695	3838695	3838695	3838695	3838695	4088695	3838695	3838695
51	4135695	4088695	4088695	4088695	4088695	4088695	4135695	4088695	4088695
52	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695	4135695
