week	IPFlood1	IPFlood2	IPFlood3	IPFlood4	IPFlood5	IPFlood6	IPFlood7
1	135205	135205	135205	135205	135205	135205	135205
2	135205	135205	135205	135205	135205	135205	135205
3	135205	135205	135205	135205	135205	135205	135205
4	135205	135205	135205	135205	135205	135205	135205
5	135205	135205	135205	135205	135205	135205	135205
6	135205	135205	135205	135205	135205	135205	135205
7	135205	135205	135205	135205	135205	135205	135205
8	135205	135205	135205	135205	135205	135205	135205
9	135205	135205	135205	135205	135205	135205	135205
10	135205	135205	135205	135205	135205	135205	135205
11	135205	135205	135205	135205	135205	135205	135205
12	135205	135205	135205	135205	135205	135205	135205
13	135205	135205	135205	135205	135205	135205	135205
14	135205	135205	135205	135205	135205	135205	135205
15	135205	135205	135205	135205	135205	135205	135205
16	135205	135205	135205	135205	135205	135205	135205
17	135205	135205	135205	135205	135205	135205	135205
18	135205	135205	135205	135205	135205	135205	135205
19	135205	135205	135205	135205	135205	135205	135205
20	135205	135205	135205	135205	135205	135205	135205
21	135205	135205	135205	135205	135205	135205	135205
22	135205	135205	135205	135205	135205	127500	120000
23	135205	135205	135205	135205	135205	127450	119500
24	135205	135205	135205	135205	135205	127350	119000
25	135205	135205	135205	135205	135300	126900	118750
26	135205	135205	135205	135205	135205	126300	118100
27	135205	135205	135205	135205	133650	126299	117900
28	135205	135205	135205	135205	132500	125500	117600
29	135205	135205	135205	135205	131900	125000	117400
30	135205	135205	135205	135205	131300	124400	116900
31	135205	135205	135205	135205	131200	123750	116250
32	135205	135205	135205	135205	130000	122600	115500
33	135205	135205	135205	135205	129400	122200	114500
34	135205	135205	135205	135205	127500	120300	113750
35	135205	135205	135205	135205	126250	119400	112500
36	135205	135205	135205	133000	124600	118200	112500
37	135205	135205	135205	130600	122500	117500	112500
38	135205	135205	135205	129600	120400	116250	112500
39	135205	135205	135205	127600	118750	115200	112500
40	135205	135205	133300	125800	117500	114800	112500
41	135205	135205	132000	124000	115200	113750	112500
42	135205	135205	130000	122500	113750	113000	112500
43	135205	135205	128300	121200	112700	112500	112500
44	135205	135205	127500	119500	112500	112500	112500
45	135205	133300	126700	117500	112500	112500	112500
46	135205	132300	123500	114100	112500	112500	112500
47	135205	132500	126200	118750	118750	118750	118750
48	135205	135205	135205	135205	135205	135205	135205
49	135205	135205	135205	135205	135205	135205	135205
50	135205	135205	135205	135205	135205	135205	135205
51	135205	135205	135205	135205	135205	135205	135205
52	135205	135205	135205	135205	135205	135205	135205
