week	JLFlood1	JLFlood2	JLFlood3	JLFlood4	JLFlood5	JLFlood6	JLFlood7	JLFlood8	JLFlood9
1	847000	847000	847000	847000	847000	847000	847000	847000	847000
2	847000	847000	847000	847000	847000	847000	847000	847000	847000
3	847000	847000	847000	847000	847000	847000	847000	847000	847000
4	847000	847000	847000	847000	847000	847000	847000	847000	847000
5	847000	847000	847000	847000	847000	847000	847000	847000	847000
6	847000	847000	847000	847000	847000	847000	847000	847000	847000
7	847000	847000	847000	847000	847000	847000	847000	847000	847000
8	847000	847000	847000	847000	847000	847000	847000	847000	847000
9	847000	847000	847000	847000	847000	847000	847000	847000	847000
10	847000	847000	847000	847000	847000	847000	847000	847000	847000
11	847000	847000	847000	847000	847000	847000	847000	847000	847000
12	847000	847000	847000	847000	847000	847000	847000	847000	847000
13	847000	847000	847000	847000	847000	847000	847000	847000	847000
14	847000	847000	847000	847000	847000	847000	847000	847000	847000
15	847000	847000	847000	847000	847000	847000	847000	847000	847000
16	847000	847000	847000	847000	847000	847000	847000	847000	847000
17	847000	847000	847000	847000	847000	847000	847000	847000	847000
18	847000	847000	847000	847000	847000	847000	847000	847000	847000
19	847000	847000	847000	847000	847000	847000	847000	847000	847000
20	847000	847000	847000	847000	847000	847000	847000	847000	847000
21	847000	847000	847000	847000	847000	847000	847000	847000	847000
22	847000	847000	847000	847000	847000	847000	847000	847000	847000
23	847000	847000	847000	847000	847000	847000	847000	847000	847000
24	847000	847000	847000	847000	847000	847000	847000	847000	847000
25	847000	847000	847000	847000	847000	847000	847000	847000	847000
26	847000	847000	847000	847000	847000	847000	847000	847000	847000
27	847000	847000	847000	847000	847000	847000	847000	847000	847000
28	847000	847000	847000	847000	847000	847000	847000	847000	847000
29	847000	847000	847000	847000	847000	847000	847000	847000	847000
30	847000	847000	847000	847000	847000	847000	847000	847000	847000
31	847000	847000	847000	847000	847000	847000	847000	847000	830300
32	847000	847000	847000	847000	847000	847000	847000	847000	722000
33	847000	847000	847000	847000	847000	847000	847000	847000	657000
34	847000	847000	847000	847000	847000	847000	847000	807000	577000
35	847000	847000	847000	847000	847000	847000	837000	712000	522000
36	847000	847000	847000	847000	847000	847000	772000	637000	480300
37	847000	847000	847000	847000	847000	814000	697000	607000	447000
38	847000	847000	847000	847000	847000	742000	637000	547000	447000
39	847000	847000	847000	847000	764000	667000	587000	512000	447000
40	847000	847000	847000	814000	722000	637000	564000	582000	447000
41	847000	847000	837000	772000	689000	612000	537000	462000	447000
42	847000	847000	814000	747000	664000	587000	514000	447000	447000
43	847000	842000	789000	722000	642000	564000	487000	447000	447000
44	847000	825000	772000	705000	622000	542000	472000	447000	447000
45	847000	814000	757000	687000	605000	514000	447000	447000	447000
46	847000	807000	747000	672000	587000	512000	497000	497000	497000
47	847000	802000	739000	657000	577000	572000	572000	572000	572000
48	847000	797000	730300	647000	630300	630300	630300	630300	630300
49	847000	797000	722000	707000	707000	707000	707000	707000	707000
50	847000	802000	780300	780300	780300	780300	780300	780300	780300
51	847000	847000	847000	847000	847000	847000	847000	847000	847000
52	847000	847000	847000	847000	847000	847000	847000	847000	847000
