week	PALFlood1	PALFlood2	PALFlood3	PALFlood4	PALFlood5	PALFlood6	PALFlood7	PALFlood8	PALFlood9
1	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
2	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
3	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
4	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
5	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
6	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
7	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
8	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
9	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
10	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
11	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
12	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
13	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
14	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
15	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
16	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
17	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
18	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
19	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
20	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
21	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
22	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
23	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
24	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
25	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
26	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
27	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
28	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
29	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
30	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
31	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1270700
32	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1029000
33	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	744000
34	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1244000	574000
35	1401000	1401000	1401000	1401000	1401000	1401000	1389000	1014000	429000
36	1401000	1401000	1401000	1401000	1401000	1401000	1129000	814000	280700
37	1401000	1401000	1401000	1401000	1401000	1312000	954000	619000	204000
38	1401000	1401000	1401000	1401000	1401000	1109000	774000	504000	204000
39	1401000	1401000	1401000	1401000	1177000	909000	664000	414000	204000
40	1401000	1401000	1401000	1312000	1054000	789000	562000	229000	204000
41	1401000	1401000	1389000	1204000	962000	714000	489000	249000	204000
42	1401000	1401000	1312000	1114000	887000	639000	427000	204000	204000
43	1401000	1399000	1262000	1054000	819000	577000	364000	204000	204000
44	1401000	1351000	1204000	996000	754000	509000	289000	204000	204000
45	1401000	1312000	1154000	954000	696000	437000	229000	204000	204000
46	1401000	1294000	1129000	904000	639000	364000	604000	329000	329000
47	1401000	1284000	1102000	854000	599000	529000	804000	529000	529000
48	1401000	1279000	1070700	814000	745700	745700	1060700	730700	730700
49	1401000	1264000	1054000	984000	984000	984000	1244000	984000	984000
50	1401000	1274000	1170700	1170700	1170700	1170700	1420700	1170700	1170700
51	1401000	1354000	1354000	1354000	1354000	1354000	1401000	1354000	1354000
52	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000	1401000
