week	RIRFlood1	RIRFlood2	RIRFlood3	RIRFlood4	RIRFlood5	RIRFlood6	RIRFlood7	RIRFlood8
1	100500	100500	100500	100500	100500	100500	100500	100500
2	100500	100500	100500	100500	100500	100500	100500	100500
3	100500	100500	100500	100500	100500	100500	100500	100500
4	100500	100500	100500	100500	100500	100500	100500	100500
5	100500	100500	100500	100500	100500	100500	100500	100500
6	100500	100500	100500	100500	100500	100500	100500	100500
7	100500	100500	100500	100500	100500	100500	100500	100500
8	100500	100500	100500	100500	100500	100500	100500	100500
9	100500	100500	100500	100500	100500	100500	100500	100500
10	100500	100500	100500	100500	100500	100500	100500	100500
11	100500	100500	100500	100500	100500	100500	100500	100500
12	100500	100500	100500	100500	100500	100500	100500	100500
13	100500	100500	100500	100500	100500	100500	100500	100500
14	100500	100500	100500	100500	100500	100500	100500	100500
15	59960	59960	59960	59960	59960	59960	59960	59960
16	59960	59960	59960	59960	59960	59960	59960	59960
17	59960	59960	59960	59960	59960	59960	59960	59960
18	59960	59960	59960	59960	59960	59960	59960	59960
19	59960	59960	59960	59960	59960	59960	59960	59960
20	59960	59960	59960	59960	59960	59960	59960	59960
21	59960	59960	59960	59960	59960	59960	59960	59960
22	59960	59960	59960	59960	59960	59960	59960	59960
23	59960	59960	59960	59960	59960	59960	59960	59960
24	59960	59960	59960	59960	59960	59960	59960	59960
25	59960	59960	59960	59960	59960	59960	59960	59960
26	59960	59960	59960	59960	59960	59960	59960	59960
27	59960	59960	59960	59960	59960	59960	59960	59960
28	59960	59960	59960	59960	59960	59960	59960	59960
29	59960	59960	59960	59960	59960	59960	59960	59960
30	59960	59960	59960	59960	59960	59960	59960	59960
31	59960	59960	59960	59960	59960	59960	59960	53460
32	59960	59960	59960	59960	59960	59960	71660	45960
33	59960	59960	59960	59960	59960	88960	63460	37460
34	59960	59960	59960	59960	59960	80710	55560	29960
35	59960	59960	59960	59960	98460	72460	46660	22460
36	59960	59960	59960	59960	83460	58460	33460	19960
37	59960	59960	59960	96960	70710	45710	19960	19960
38	59960	59960	59960	86960	58460	33460	19960	19960
39	59960	59960	97460	80710	48460	19960	19960	19960
40	59960	59960	92960	73960	40710	20460	20460	20460
41	59960	59960	88710	68960	33460	22960	22960	22960
42	59960	59960	84360	64960	26660	26660	26660	26660
43	59960	59960	80760	61460	31660	31660	31660	31660
44	59960	97460	77760	57460	37460	37460	37460	37460
45	59960	93960	74160	53460	46660	46660	46660	46660
46	59960	90710	70960	58460	58460	58460	58460	58460
47	59960	88360	74160	74160	74160	74160	74160	74160
48	100500	100500	100500	100500	100500	100500	100500	100500
49	100500	100500	100500	100500	100500	100500	100500	100500
50	100500	100500	100500	100500	100500	100500	100500	100500
51	100500	100500	100500	100500	100500	100500	100500	100500
52	100500	100500	100500	100500	100500	100500	100500	100500
