week	Mica	Arrow	Duncan	Dworshak	GrandCoulee	HungryHorse	Libby
1	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0
17	0	0	0	0	0	0	0
18	0	0	0	0	0	0	0
19	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0
21	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0
23	13919604	1249183	123380	2107940	7450294	227504	2398527
24	13919604	1249183	123380	2107940	7450294	227504	2398527
25	13919604	1249183	123380	2107940	7450294	227504	2398527
26	13919604	1249183	123380	2107940	7450294	227504	2398527
27	13919604	1249183	123380	2107940	7450294	227504	2398527
28	13758249	1082274	105579	2102386	7091088	180397	2212131
29	13596894	915366	87777	2096833	6731882	133289	2025734
30	13435538	748457	69976	2091279	6372675	86182	1839338
31	13274183	581548	52174	2085725	6013469	39074	1652941
32	13220530	523135	45579	2096634	5698197	33471	1496396
33	13166878	464722	38984	2107543	5382924	27868	1339850
34	13113225	406308	32388	2118452	5067652	22264	1183305
35	13059572	347895	25793	2129361	4752379	16661	1026759
36	13046481	288589	25397	2186386	4752379	9422	966264
37	13033390	229283	25000	2243411	4752379	2182	905768
38	10532795	228292	25000	1848106	4752379	1091	897834
39	8032200	227300	25000	1452800	4752379	0	889900
40	0	0	0	0	4920974	0	0
41	0	0	0	0	5089569	0	0
42	0	0	0	0	5258163	0	0
43	0	0	0	0	5426758	0	0
44	0	0	0	0	5595353	0	0
45	0	0	0	0	6372675	0	0
46	0	0	0	0	7149997	0	0
47	0	0	0	0	7927318	0	0
48	0	0	0	0	8704640	0	0
49	0	0	0	0	8805330	0	0
50	0	0	0	0	8906020	0	0
51	0	0	0	0	9006710	0	0
52	0	0	0	0	9107400	0	0
