month	Arrow	Brownlee	Dalles	Duncan	Dworshak	GrandCoulee	HungryHorse	Libby	Mica
8	19000	5300	-999	500	4000	35000	2545	-999	10000
9	19000	5000	-999	500	2000	30000	145	-999	10000
10	5000	5000	-999	100	2000	30000	145	-999	10000
11	5000	5000	-999	100	2000	30000	145	-999	10000
12	5000	5000	-999	100	2000	30000	145	-999	20000
1	5000	5000	-999	100	2000	30000	145	-999	20000
2	5000	5000	-999	100	2000	30000	145	-999	15000
3	5000	5000	-999	100	2000	30000	145	-999	15000
4	5000	5300	-999	300	2000	30000	145	-999	12500
5	10000	5300	-999	500	4000	120000	1145	-999	10000
6	19000	5300	-999	500	4000	30000	2545	-999	10000
7	19000	5300	-999	500	4000	35000	2545	-999	10000
