month	Arrow	Brownlee	Dalles	Duncan	Dworshak	GrandCoulee	HungryHorse	Libby	Mica
1	1.30E+06	0	-999	3.904E+05	1768323.126	3921842	2882456.17	3.890E+06	1.61E+07
2	4.13E+06	0	-999	5.223E+05	1751265.37	3921842	2795580.622	3.960E+06	1.73E+07
3	4.42E+06	0	-999	5.832E+05	1759199.21	3921842	2739052.012	3.954E+06	1.76E+07
4	5.35E+06	0	-999	6.179E+05	1783397.422	3921842	2681531.672	3.898E+06	1.78E+07
5	6.61E+06	0	-999	6.401E+05	1776058.62	3921842	2577201.676	3.798E+06	1.78E+07
6	6.72E+06	0	-999	6.604E+05	1793513.068	3921842	2467317.992	3.698E+06	1.78E+07
7	5.76E+06	0	-999	6.009E+05	1824256.698	3921842	2389368.014	3.595E+06	1.68E+07
8	4.40E+06	0	-999	5.427E+05	2046999.256	3921842	2338194.746	3.491E+06	1.58E+07
9	4.21E+06	0	-999	5.118E+05	2549211.328	3921842	2526028.408	3.458E+06	1.49E+07
10	5.44E+06	0	-999	7.375E+05	3284281.604	3921842	3243445.89	4.359E+06	1.54E+07
11	7.01E+06	0	-999	1.096E+06	3451883.974	5080778	3572700.25	5.441E+06	1.78E+07
12	7.33E+06	0	-999	1.423E+06	3467950	9107400	3647080	5.855E+06	2.01E+07
