Week_Number	Month_Julian	Month	WeekInMonth	Number_of_Weeks
1	1	8	1	5
2	1	8	2	5
3	1	8	3	5
4	1	8	4	5
5	1	8	5	5
6	2	9	1	4
7	2	9	2	4
8	2	9	3	4
9	2	9	4	4
10	3	10	1	5
11	3	10	2	5
12	3	10	3	5
13	3	10	4	5
14	3	10	5	5
15	4	11	1	4
16	4	11	2	4
17	4	11	3	4
18	4	11	4	4
19	5	12	1	4
20	5	12	2	4
21	5	12	3	4
22	5	12	4	4
23	6	1	1	5
24	6	1	2	5
25	6	1	3	5
26	6	1	4	5
27	6	1	5	5
28	7	2	1	4
29	7	2	2	4
30	7	2	3	4
31	7	2	4	4
32	8	3	1	4
33	8	3	2	4
34	8	3	3	4
35	8	3	4	4
36	9	4	1	4
37	9	4	2	4
38	9	4	3	4
39	9	4	4	4
40	10	5	1	5
41	10	5	2	5
42	10	5	3	5
43	10	5	4	5
44	10	5	5	5
45	11	6	1	4
46	11	6	2	4
47	11	6	3	4
48	11	6	4	4
49	12	7	1	4
50	12	7	2	4
51	12	7	3	4
52	12	7	4	4
