"Week" "Month" "Day" "Year" "MICAA" "REVEL" "ARROW" "DUNCA" "LIBBY" "BONFE" "CORRA" "COLFA" "FLASF" "FLAPO" "NOXON" "CABIN" "ALBEN" "BOUND" "GCOUL" "CHIEF" "WELLS" "ROCKY" "RISLA" "WANAP" "PRIRA" "PALIS" "MILNE" "BROWN" "OXBOW" "HCANY" "DWORS" "LGRAN" "LGOOS" "LMONU" "ICEHA" "MCNAR" "JDAYY" "DALLE" "BONNE"
1 8 5 1979 220663.234579903 320757.872126981 350480.875137449 32116.0538992359 85329.3795789722 93325.085385783 165493.197921392 36282.3496615619 10663.4913024435 69654.4837761373 240990.068587158 250910.089585039 245175.354543849 248888.562708243 844813.408441543 917976.286004613 933900.491772833 957797.969371726 978960.298665875 965456.6891638 961888.324138614 63556.2454007319 187875.454436136 544109.530636932 539853.104051441 535735.346624017 12271.4823369589 668262.28560988 667272.556113268 677523.039599965 677404.481343266 1617114.96601457 1621838.42226585 1717389.58035363 1810189.12552699
2 8 12 1979 258556.041732454 344351.60541925 346143.606740052 34805.7343106475 78861.1671910998 82479.876669158 156913.290876376 29128.6568348697 7897.80019959786 55410.4757066672 208049.446686558 211682.83427283 214529.297811474 214957.039506982 809909.366779993 882258.666842484 896265.236380056 916928.245109737 935966.446205293 921824.090749219 918118.953825022 70648.0790841517 190665.481142162 476538.364370538 470900.008158344 464150.839323946 10702.2176200883 574376.860049779 572064.095224185 577197.504827674 576490.818101529 1465151.73461468 1458596.0271039 1549608.42581465 1655268.95344197
3 8 19 1979 247068.464823449 300929.877963161 310176.258030725 38554.7237524904 77056.0979790923 80433.4965676972 152289.939724955 27848.8362475 7339.70633613431 52489.3956081218 207477.404175187 210747.68825826 209932.712547573 209229.094236054 769042.365390888 832178.51667103 852810.189702413 867214.551288675 881534.468716917 864555.232677616 862799.643663263 78548.3564045325 233974.418520081 627939.778819267 618582.101644296 603190.774878745 13488.5959064395 682289.218319302 661163.22970094 650345.684986156 631441.210700034 1460972.1234001 1422292.38665774 1498589.3278548 1582257.2021097
4 8 26 1979 246444.479319909 284489.648697533 358111.872857066 41262.2704155583 77674.5042693661 80533.6796422828 163838.380102515 48317.7680152035 7567.70983638449 70732.6097223692 219986.008140458 222489.315346948 216284.022057726 214288.540549841 822821.746532725 888736.977051662 941329.275280001 953249.345619149 964669.165618805 944017.548847293 938535.211194173 62439.0475180383 192063.073748272 529845.482872539 524810.644025781 520131.402667889 15988.9806390294 662350.921663792 670439.038102423 692940.089669034 702751.717918651 1624013.86131792 1619954.42241381 1705691.23694878 1806860.70613714
5 9 2 1979 210835.068246154 242420.180915352 253573.290264744 43134.3079777458 74075.5732422575 80639.4160135393 163493.493018218 32287.9024157625 7769.7141857465 51139.0234598492 190495.587021477 197137.169068099 207242.142251207 209748.904033083 737858.26572064 801326.496198749 843156.929020184 861265.915977542 874112.384954805 861954.769026513 861093.17609446 52549.4503146695 152708.543935158 452664.868532893 448047.5958363 442154.033706893 12357.0211383544 558722.298032973 559135.124767324 559539.458813011 561443.745596386 1401420.02846532 1413246.60751283 1497555.67905599 1563762.10109793
6 9 9 1979 162241.919677545 233167.22266064 339661.932708674 49237.0319662764 63360.201617469 74427.2348457263 196469.080317289 29696.4448522747 5711.02341730179 34918.6810819528 137630.242715646 147382.122586058 164290.22934324 168843.37244781 741466.332198055 770392.466994828 828313.960862204 818955.354364823 823855.993091728 792088.416619188 785589.951950953 46631.0288458146 126616.586204072 451474.059558972 449499.763317377 446928.018006219 6709.27694076115 555585.369418163 558195.28981206 540096.838114005 542313.368608598 1304324.4909343 1311282.02797298 1385285.75078945 1356591.31503865
7 9 16 1979 172010.394022963 241549.515393153 406109.325072101 40676.7548461064 52536.5378724725 57959.2024107786 146683.108803427 23921.8065620342 4297.0123769368 29054.3957202196 121204.992672661 128910.730464915 143748.389345966 148194.04029712 735083.717817144 796350.797702788 819868.373858184 837646.27639796 853269.44646927 847739.779907346 851438.753999941 43848.4572141586 119540.875238331 414689.879875221 412405.141942058 409212.863524458 5295.94092867564 496456.52022006 496439.412110419 475959.535210036 476679.093076846 1368336.10856618 1407748.54126268 1480981.35421679 1458452.30575007
8 9 23 1979 123164.608875098 166037.348332479 156613.351095381 14220.2537665027 42815.6085462348 47160.713337532 85258.011191143 15964.0810746889 3154.55258385467 22437.5770808143 110645.370254266 117589.245011188 131583.582891592 135847.254605515 469448.626056142 523726.631510471 534035.458065754 564530.502538488 583130.203315551 593140.700190727 603453.880034062 43049.9702689104 115564.8504152 394780.488269282 392553.943446508 389376.815466205 4428.59227213809 468223.974970967 467845.976007048 446891.58553773 447159.778218766 1139402.08699699 1213688.87736113 1287529.43136855 1277543.29437636
9 9 30 1979 137392.465511347 180338.735317382 169926.769578074 26099.5910921994 41764.7443841164 45110.922525083 87880.0690404072 14401.4878617059 2604.06143556993 20660.7146676091 106316.09693385 112737.80863235 124617.921476635 128259.769257987 403955.354381272 433067.329354471 434428.880132314 443293.362967121 450483.985496991 443541.336254672 443294.823481229 46376.5780997164 122533.206438046 411254.269681531 408200.418473731 402218.947347673 4340.67666468851 465147.732391299 460259.031018429 435446.499978557 432964.948304609 888209.834245374 926286.589422631 983889.937021624 968927.152443895
10 10 7 1979 69698.7353373584 101863.148900762 166014.327067672 16901.7277653075 39496.7700407809 40094.4390202878 72838.0781116051 11103.4234375107 2188.49656346919 16728.0114598676 97104.1318387591 101586.743028987 127023.955410544 137012.700162462 376129.363092626 413949.022451634 421322.304132933 417749.045726145 419632.943342441 406068.711185526 400369.870716863 37727.9331221553 120198.384844236 328058.736606154 328016.690693719 327931.952534821 6167.91894795505 449469.613708851 452364.513749747 414764.892988415 417288.309436906 813319.676480918 857865.674511292 935321.59712661 904057.054512693
