"Week_Number" "month" "day" "year" "ARRefillVol1" "ARRefillVol2" "BRRunoffAprJuly" "BRRefillCurve" "DallesJanJul" "DallesRunoffAprAug" "DallesRunoffAprSep" "ModDallesRunoffAprSep" "DARunoffJanApr" "DURefillVol" "DURefillVol1" "DURunoffAprAug" "DWRefillVol1" "DWRefillVol2" "DWRunoffAprJuly" "DWSumRunoffMarJun" "GCRefillVol1" "GCRefillVol2" "GCRunoffJanApr" "HHInQAprAug" "HHRefillVol" "HHRefillVol1" "HHSumAprAug" "HHSumAprJul" "HHSumMaySept" "LBRefillVol2" "LBRefillVol1" "LBSumAprAug" "LBSumMayAug" "MIRefillVol1" "MIRefillVol2" "MISumRunoffAprilAug" "MISumRunoffMayAug" "PriVICMI" "PriVICREV" "PriVICAR" "PriVICDU" "PriVICLB" "PriVICBONF" "PriVICCL" "PriVICCOL" "PriVICHH" "PriVICKE" "PriVICNOX" "PriVICCB" "PriVICAF" "PriVICBD" "PriVICGC" "PriVICCJ" "PriVICWE" "PriVICRR" "PriVICRI" "PriVICWA" "PriVICPR" "PriVICPAL" "PriVICMIL" "PriVICBR" "PriVICOX" "PriVICHC" "PriVICDW" "PriVICLG" "PriVICLIG" "PriVICLM" "PriVICIH" "PriVICMCN" "PriVICJD" "PriVICDA" "PriVICBON" "DemVICAF" "DemVICAR" "DemVICBONF" "DemVICBON" "DemVICBD" "DemVICBR" "DemVICCB" "DemVICCJ" "DemVICCOL" "DemVICCL" "DemVICDA" "DemVICDU" "DemVICDW" "DemVICKE" "DemVICHH" "DemVICGC" "DemVICHC" "DemVICIH" "DemVICJD" "DemVICLB" "DemVICLIG" "DemVICLG" "DemVICLM" "DemVICMCN" "DemVICMI" "DemVICMIL" "DemVICNOX" "DemVICOX" "DemVICPAL" "DemVICPR" "DemVICREV" "DemVICRI" "DemVICRR" "DemVICWA" "DemVICWE" "RetVICWA" "RetVICPR" "RetVICMCN" "IflowCJ" "IflowDA" "IflowJD" "IflowMCN" "IflowPR" "IflowRR" "IflowRI" "IflowWA" "IflowWE" "CurtVICCJ" "CurtVICDA" "CurtVICJD" "CurtVICMCN" "CurtVICPR" "CurtVICRR" "CurtVICRI" "CurtVICWA" "CurtVICWE" "CurtVICAF" "CurtVICAR" "CurtVICBONF" "CurtVICBD" "CurtVICBR" "CurtVICCB" "CurtVICCOL" "CurtVICCL" "CurtVICDU" "CurtVICDW" "CurtVICKE" "CurtVICHH" "CurtVICGC" "CurtVICHC" "CurtVICIH" "CurtVICLB" "CurtVICLIG" "CurtVICLG" "CurtVICLM" "CurtVICMI" "CurtVICMIL" "CurtVICNOX" "CurtVICOX" "CurtVICPAL" "CurtVICREV"
1 8 5 1979 6124000 227340 11015412.5684648 0 98798877.7368855 90090059.289007 95855184.6862646 88741914.5517821 27475259.9174018 227340 1216480 1999498.53377937 3128024.6252 2565198.09441275 1938943.4090321 2064776.35283886 8070288.4 3921900 9127343.93751659 1712777.18050108 2357396.70860069 3494155.234 1712777.18050108 1623236.06561958 1532101.99648874 900295.5 5462000 5494634.71506681 5171657.52741654 19300000 19611415.9756331 7232726.81319111 7016993.30905011 220663.234579903 320757.872126981 350480.875137449 32116.0538992359 85329.3795789722 93325.085385783 165493.197921392 36282.3496615619 10663.4913024435 69654.4837761373 240990.068587158 250910.089585039 245175.354543849 248888.562708243 844813.408441543 917976.286004613 933900.491772833 957797.969371726 978960.298665875 965456.6891638 961888.324138614 63556.2454007319 187875.454436136 544109.530636932 539853.104051441 535735.346624017 12271.4823369589 668262.28560988 667272.556113268 677523.039599965 677404.481343266 1617114.96601457 1621838.42226585 1717389.58035363 1810189.12552699 313.557960192415 204.86728806009 90.914565206654 7473.24170472465 11.379384690925 116737.793383842 1.34052497897605 425.919894977968 33.9381203485846 1314.21415425764 15935.1181567736 0 5.41978913183364 2815.93972033 4.87789436900606 96758.2164922951 328.011377313462 2234.31136376154 29027.0762809782 529.218119209761 216.736767885104 27152.9670126138 3155.26162893992 58350.364238993 100.430485293597 75179.584099957 29317.275798532 11.5519649900508 4865.30855478181 4187.47304436039 0 3615.5742871447 2744.26196409584 1045.60324527197 13532.7915829144 26901.6129942664 64716.1362910552 158617.978569133 1180123 1666056 1666056 1666056 1318961 1249542 1318961 1318961 1249542 246.196125427466 220.132667540679 2313.52494286741 2775.00139955874 203.312211455928 1071.84529592467 1023.83916981932 16.9452351983266 1816.58515391711 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 8 12 1979 4918000 227340 8708473.31963577 0 112546862.326187 94652083.1685051 100034193.124227 91860771.5335764 39490317.8105724 227340 1009960 2211064.16362141 2788099.2504 2520363.4891358 1585839.21030608 1921439.41165012 7033176.8 3921900 16685175.3178635 2083469.56267018 2329959.20523205 3341230.468 2083469.56267018 1989905.90227508 1789810.41827521 900295.5 5069000 8438378.10662905 7970647.85217514 18500000 19731129.960123 9560817.00784991 9282041.40935054 258556.041732454 344351.60541925 346143.606740052 34805.7343106475 78861.1671910998 82479.876669158 156913.290876376 29128.6568348697 7897.80019959786 55410.4757066672 208049.446686558 211682.83427283 214529.297811474 214957.039506982 809909.366779993 882258.666842484 896265.236380056 916928.245109737 935966.446205293 921824.090749219 918118.953825022 70648.0790841517 190665.481142162 476538.364370538 470900.008158344 464150.839323946 10702.2176200883 574376.860049779 572064.095224185 577197.504827674 576490.818101529 1465151.73461468 1458596.0271039 1549608.42581465 1655268.95344197 159.124201503192 224.876009906088 35.1239850503088 6282.27303436142 11.379384690925 104633.674632074 0.434950784127525 562.442152388455 26.6622744029584 939.621560580102 13195.7485756104 0 4.34919394607429 1187.48608507465 5.91541877198127 87611.9308616987 370.410969709061 1898.19105226105 20741.1927691211 300.612370543394 168.299335750696 18281.8791078261 3331.09916612529 60836.5941897243 87.6237658576194 45232.7502027394 17559.0834920271 8.93981324843664 2348.65205499531 3574.12672448243 0 3133.70481635805 2971.11260757276 879.542422931069 12435.5980722864 26901.6129942664 64716.1362910552 158617.978569133 1180123 1666056 1666056 1666056 1318961 1249542 1318961 1318961 1249542 284.877697251177 268.189599887946 1724.53295073672 1427.88189615811 171.469448465212 1217.05452494442 869.635213450925 13.4075230559848 1931.09752630433 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 8 19 1979 3712000 227340 15640134.626893 0 140250486.409652 125971702.095433 132769343.936322 125363014.16307 40336589.1119618 227340 803440 2305313.67156211 2448173.8756 2478315.2621452 2938174.61831716 3077932.97405203 5996065.2 4164213.38647008 14862381.6521136 2575162.79073486 2301963.60799994 3188305.702 2575162.79073486 2468482.57799584 2489962.13830234 900295.5 4676000 6539507.13096733 6251633.11970255 17700000 19839356.3677038 10646931.2399349 10391357.8225597 247068.464823449 300929.877963161 310176.258030725 38554.7237524904 77056.0979790923 80433.4965676972 152289.939724955 27848.8362475 7339.70633613431 52489.3956081218 207477.404175187 210747.68825826 209932.712547573 209229.094236054 769042.365390888 832178.51667103 852810.189702413 867214.551288675 881534.468716917 864555.232677616 862799.643663263 78548.3564045325 233974.418520081 627939.778819267 618582.101644296 603190.774878745 13488.5959064395 682289.218319302 661163.22970094 650345.684986156 631441.210700034 1460972.1234001 1422292.38665774 1498589.3278548 1582257.2021097 195.708155989285 99.3857441165091 19.1004341828489 4014.60227347796 10.0664647076754 34487.88475839 0 401.281179634251 14.6965090608007 765.651228752286 10659.5551959731 0 2.40224179405914 767.88522139135 3.75956505893677 46713.6944272783 522.492027899363 872.597085952661 8237.58987416186 228.560920171305 82.9305688143644 7841.90504330393 2324.1888181216 44107.7797677637 77.5815584789499 19669.2577689506 9714.34113113752 2.41136187892839 982.04236827601 2640.9116892533 0 3073.60946367384 2739.08249176328 805.158192795148 8813.5501685293 26901.6129942664 64716.1362910552 158617.978569133 1180123 1666056 1666056 1666056 1318961 1249542 1318961 1318961 1249542 212.202537793796 189.783934518611 543.797175025483 416.632393197719 146.11652601255 816.403172743365 822.357509122376 8.39630704463372 1437.07012708744 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 8 26 1979 2506000 237566.61849619 15746343.0868937 0 136928817.497926 115772639.04882 122370503.682359 115288392.707447 42823977.7306925 227340 596920 2098520.96829659 2108248.5008 2438767.41988719 2221206.05852546 2387436.94345912 4958953.6 4501087.93265372 15694914.7258626 1852830.31370066 2274196.01426809 3035380.936 1852830.31370066 1795876.23392981 1784947.34020592 900295.5 4283000 6131030.03748494 5780376.41571968 16900000 19946958.7897811 10368694.5667925 9881129.74787482 246444.479319909 284489.648697533 358111.872857066 41262.2704155583 77674.5042693661 80533.6796422828 163838.380102515 48317.7680152035 7567.70983638449 70732.6097223692 219986.008140458 222489.315346948 216284.022057726 214288.540549841 822821.746532725 888736.977051662 941329.275280001 953249.345619149 964669.165618805 944017.548847293 938535.211194173 62439.0475180383 192063.073748272 529845.482872539 524810.644025781 520131.402667889 15988.9806390294 662350.921663792 670439.038102423 692940.089669034 702751.717918651 1624013.86131792 1619954.42241381 1705691.23694878 1806860.70613714 305.850083896714 40.808383182014 69.5409326434654 1857.97918375132 11.2312547222946 78815.0149884801 0.489591764996706 334.355382744183 0.747241940999509 818.553107514236 7108.8100735802 0 3.53775001124277 1203.69182986879 0.242254875520213 57724.1901148705 1321.64247155033 716.212723983737 7397.1112238985 159.500705288929 103.097724545013 11576.5936187958 2720.3971607497 43318.0596690368 33.9128738000631 35579.3128609525 14763.0707204733 8.98066725319943 712.599139077425 3036.80549868759 0 2026.02837782194 2785.18963556478 662.486613273548 8252.82319142524 26901.6129942664 64716.1362910552 158617.978569133 1180123 1666056 1666056 1666056 1318961 1249542 1318961 1318961 1249542 139.588740443307 42.6106566022286 780.73527405137 391.382337405842 114.567000540859 1027.95107377466 698.622324368474 11.1411318381939 1433.26379347847 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 9 2 1979 1300000 227340 18464493.83426 0 128034202.449422 116207219.095892 125280850.592724 118204972.798143 40267287.2803208 227340 390400 1706116.28569977 1768323.126 2423356.02957703 3017486.62388827 2890926.55467172 3921842 4822420.02664657 14414627.3783622 1727615.9885476 2279952.51862382 2882456.17 1727615.9885476 1678647.61720977 1529449.42432488 900295.5 3890000 4362683.42992119 3928814.83915134 16100000 20018951.8007847 9161864.06947843 8634144.98767962 210835.068246154 242420.180915352 253573.290264744 43134.3079777458 74075.5732422575 80639.4160135393 163493.493018218 32287.9024157625 7769.7141857465 51139.0234598492 190495.587021477 197137.169068099 207242.142251207 209748.904033083 737858.26572064 801326.496198749 843156.929020184 861265.915977542 874112.384954805 861954.769026513 861093.17609446 52549.4503146695 152708.543935158 452664.868532893 448047.5958363 442154.033706893 12357.0211383544 558722.298032973 559135.124767324 559539.458813011 561443.745596386 1401420.02846532 1413246.60751283 1497555.67905599 1563762.10109793 269.877956747744 97.3865756179834 56.2503391825474 4103.6696040884 10.012387068788 61264.7706683017 0.0774493990057806 381.784254648902 6.0414892001031 1146.83780458911 10751.8873738035 0 1.22795692927163 1438.25508050214 0.652492354534787 31141.5459885606 909.844769200412 1138.31740986793 6041.3583449324 195.077578077933 79.937769233383 14937.1956836678 2597.26817114669 42222.5993919316 10.8609045304629 43876.2345854975 17095.749128589 8.7204667535728 325.568534577836 2069.95976217232 0 2420.3750639439 2070.92165801684 600.348208066939 6095.1880369723 26901.6129942664 64716.1362910552 158617.978569133 555352 1249542 1180123 833028 555352 555352 555352 555352 555352 170.564269392283 168.373009180868 581.374772399006 416.314878375841 109.124841049268 739.165110286226 576.779934785906 5.80410336013272 889.494819489244 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 9 9 1979 2007500 286090.280537245 9361434.35700612 0 99814440.8785193 92180676.8671384 100657913.503458 92092340.0230902 30690043.1249724 227340 423375 1907902.70722653 1764058.687 2402296.89506927 3065444.15639891 3141561.09755143 3921842 5147360.18711683 12504717.0359615 1790057.16238153 2283650.3322111 2860737.283 1790057.16238153 1708870.62355593 1629112.68324669 900295.5 3907500 4209041.41388733 3909019.52893104 16400000 20042351.6632196 9848192.73176353 9454893.30252866 162241.919677545 233167.22266064 339661.932708674 49237.0319662764 63360.201617469 74427.2348457263 196469.080317289 29696.4448522747 5711.02341730179 34918.6810819528 137630.242715646 147382.122586058 164290.22934324 168843.37244781 741466.332198055 770392.466994828 828313.960862204 818955.354364823 823855.993091728 792088.416619188 785589.951950953 46631.0288458146 126616.586204072 451474.059558972 449499.763317377 446928.018006219 6709.27694076115 555585.369418163 558195.28981206 540096.838114005 542313.368608598 1304324.4909343 1311282.02797298 1385285.75078945 1356591.31503865 90.1522114160264 23.6676365713514 8.28563610171629 432.504124073149 6.09185755968955 65111.9600365979 0.175685663372904 146.958361118944 1.34412247384044 96.9992607942083 8162.64362429194 0 1.43208685678558 1067.29769214106 0.222018026549324 10256.2209807248 993.704146821946 167.80274887404 4968.87937314681 158.168172453728 24.4357573827193 15788.8300886938 896.503094358505 18900.2175927526 2.94834276947637 49463.4693324315 18906.7696857777 4.39697455106959 668.475729287056 1035.81602705828 0 1161.44871191811 782.004892895543 286.584043355332 3472.55401256167 36482.1292498745 98660.3887497387 202713.77699942 555352 1249542 1180123 833028 555352 555352 555352 555352 555352 78.2077415525737 33.2552700662446 368.030611536512 277.059913885345 68.2514976653685 182.057636391222 322.332353114399 1.17649344830819 588.059257345015 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 9 16 1979 2715000 428399.696848413 14585804.0710056 0 115527452.789601 97798058.3813861 103174735.019808 94943333.4385186 45034210.9149838 227340 456350 2037645.34500402 1759794.248 2379824.42454943 2367592.75945712 2938055.50818442 3921842 5465917.73320619 15978664.4028415 1766378.90289064 2285934.13475802 2839018.396 1766378.90289064 1701785.92298153 1475511.29647612 900295.5 3925000 5166560.91371424 4575308.02565615 16700000 20075520 9636155.15619205 9256331.53319491 172010.394022963 241549.515393153 406109.325072101 40676.7548461064 52536.5378724725 57959.2024107786 146683.108803427 23921.8065620342 4297.0123769368 29054.3957202196 121204.992672661 128910.730464915 143748.389345966 148194.04029712 735083.717817144 796350.797702788 819868.373858184 837646.27639796 853269.44646927 847739.779907346 851438.753999941 43848.4572141586 119540.875238331 414689.879875221 412405.141942058 409212.863524458 5295.94092867564 496456.52022006 496439.412110419 475959.535210036 476679.093076846 1368336.10856618 1407748.54126268 1480981.35421679 1458452.30575007 204.434895811521 39.3201275840183 78.7416284908386 3772.70629497199 6.87680908858873 46734.5917253638 0.571017942871403 140.24994049446 9.04208268555592 546.777067375137 16299.7670238499 0 2.69905424460442 1630.71878779681 0.0810458056425738 24970.7543447387 955.940633806448 1039.15905147342 9036.44437995499 224.747312695542 24.7357852509519 24874.2507494651 2160.34839529717 30608.3621662554 5.2440744468739 45719.7534408489 30466.4131364953 5.62622155938708 1645.60915537155 2012.83088820581 0 2362.13488793017 1966.27856873187 247.055865447162 4459.2470368314 36482.1292498745 98660.3887497387 202713.77699942 555352 1249542 1180123 833028 555352 555352 555352 555352 555352 78.2326525273367 5.16315303701996 759.334184665236 755.545050560006 115.042056915881 607.190890806442 392.888147883464 4.71420559064998 356.780989623103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8 9 23 1979 3422500 321213.13918286 6171076.42600293 0 87523441.3152133 78380076.8167934 82351820.5642113 73875548.3679797 29302587.2750647 227340 489325 2008356.10378231 1755529.809 2356484.60537305 1642203.6821249 1898289.81298814 3921842 5518840.18753454 13999023.613367 1496392.9394702 2287075.47751186 2817299.509 1496392.9394702 1374546.43367979 1217920.92178225 900295.5 3942500 5536429.19978902 4998189.00199869 1.7e+07 20075520 11423345.0358423 10899624.4564818 123164.608875098 166037.348332479 156613.351095381 14220.2537665027 42815.6085462348 47160.713337532 85258.011191143 15964.0810746889 3154.55258385467 22437.5770808143 110645.370254266 117589.245011188 131583.582891592 135847.254605515 469448.626056142 523726.631510471 534035.458065754 564530.502538488 583130.203315551 593140.700190727 603453.880034062 43049.9702689104 115564.8504152 394780.488269282 392553.943446508 389376.815466205 4428.59227213809 468223.974970967 467845.976007048 446891.58553773 447159.778218766 1139402.08699699 1213688.87736113 1287529.43136855 1277543.29437636 355.479001249956 118.597227746097 74.5727808415594 6440.79628156394 8.18972907183835 41829.63770627 0.903618714689016 229.49161611895 23.4106391794801 1374.95206625167 13278.0053828148 0 3.62545891646328 3759.84919960486 0.823826717044515 38431.1813844228 359.628105064437 1008.69483561521 12411.7774274283 258.919135358016 33.2130121930239 26777.9303478732 2008.44408234644 31561.9145794117 5.29801026901573 34569.0105746466 34839.5404761266 5.83617974708936 3486.69253587218 2056.70129625789 0 2382.94198562272 1702.38610733126 444.999296362534 6867.9062564562 36482.1292498745 98660.3887497387 202713.77699942 555352 1249542 1180123 833028 555352 555352 555352 555352 555352 151.804481727484 26.2073745785377 946.850181551598 769.763975631785 80.8480587277805 591.164943961886 666.141861524927 9.72542160200108 1164.10274535028 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9 9 30 1979 4130000 227340 6536809.09493535 0 82276689.4735147 76110275.7227861 80041007.6077336 70999028.0808029 21355013.11942 227340 522300 2043088.20699982 1751265.37 2333056.87058922 1774914.02728678 1848852.83342702 3921842 5506269.37018802 10614754.923859 1428365.45388358 2287666.32911741 2795580.622 1428365.45388358 1397439.02556218 1185763.92908356 900295.5 3960000 4181379.13881985 3694973.89046689 17300000 20075520 10535959.7485821 9930076.60583156 137392.465511347 180338.735317382 169926.769578074 26099.5910921994 41764.7443841164 45110.922525083 87880.0690404072 14401.4878617059 2604.06143556993 20660.7146676091 106316.09693385 112737.80863235 124617.921476635 128259.769257987 403955.354381272 433067.329354471 434428.880132314 443293.362967121 450483.985496991 443541.336254672 443294.823481229 46376.5780997164 122533.206438046 411254.269681531 408200.418473731 402218.947347673 4340.67666468851 465147.732391299 460259.031018429 435446.499978557 432964.948304609 888209.834245374 926286.589422631 983889.937021624 968927.152443895 187.932302151362 89.133130124612 61.4633905287903 1739.95932290622 9.41946885044755 40676.101289699 0.734240701977312 169.85091684209 8.3404205447127 738.369712821986 9058.31375793926 0 2.43002124292911 2035.47669062389 1.02924278612148 39508.2924594041 412.753080676696 624.795658790875 10089.1670425513 153.87784110995 91.4290809429444 15014.0072998598 1693.530981167 31056.0571423222 3.46850700043852 19157.766928602 21501.0004365848 3.40191951467104 2481.51927388816 1574.34674505238 0 1388.58071593713 1589.33030738396 298.975237060798 5705.85554744715 36482.1292498745 98660.3887497387 202713.77699942 555352 1249542 1180123 833028 555352 555352 555352 555352 555352 94.6948565899534 75.3195626654868 710.716381758667 826.994227401574 23.940290185242 507.497981993451 382.755901963757 8.63552383251835 535.2726350217 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
10 10 7 1979 4188000 227340 11244140.3266338 0 105994861.166553 100009797.010146 107173294.965624 98943908.1188486 33474557.6442885 227340 534480 1933681.15643151 1752852.138 2311456.37808865 3044403.73793111 2944231.24328924 3921842 5465872.56155286 12819359.2100761 2383719.64288841 2287841.61585086 2784274.9 2383719.64288841 2301542.85812963 2144859.76442268 900295.5 3958800 5345795.03487961 4829025.9325505 17360000 20075520 10394384.1453964 9815479.30292439 69698.7353373584 101863.148900762 166014.327067672 16901.7277653075 39496.7700407809 40094.4390202878 72838.0781116051 11103.4234375107 2188.49656346919 16728.0114598676 97104.1318387591 101586.743028987 127023.955410544 137012.700162462 376129.363092626 413949.022451634 421322.304132933 417749.045726145 419632.943342441 406068.711185526 400369.870716863 37727.9331221553 120198.384844236 328058.736606154 328016.690693719 327931.952534821 6167.91894795505 449469.613708851 452364.513749747 414764.892988415 417288.309436906 813319.676480918 857865.674511292 935321.59712661 904057.054512693 89.4800671558226 107.659829244278 3.52526783020969 2946.33208241367 4.78135041933158 7138.40648284696 0 173.731277051939 1.69455135348807 37.6959615587051 1013.26677742083 0 0.443895133634 213.069186998222 0.327810908735503 10234.7222616917 1.87266661177877 89.8975483943032 2970.15716471181 9.61855229859147 26.9203942432741 1548.11983111493 268.546598506521 11218.1308575352 20.3438910783182 2572.56422294748 2044.46959515051 1.4767929835359 200.705496645561 658.676296175715 0 1401.71006243938 1169.06526993616 196.849392181885 3529.03222147019 33309.7735591758 105639.579030644 195417.353736568 416514 1249542 1180123 833028 555352 485933 555352 555352 485933 122.788239278309 19.9704518158997 361.504664634153 261.716502232619 14.2385923173042 557.122050380504 400.416383277666 0 946.475063783842 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
