"date" "month" "week" "day" "year" "shortfall_1" "shortfall_2" "shortfall_5" "shortfall_6" "shortfall_7" "shortfall_8" "shortfall_9" "shortfall_10" "shortfall_11" "NumOfLowFlowBonn" "BelowFCC" "FirmEnergySales" "NonFirmSpotSales" "MaxSystemEnergy"
1979-08-05 8 1 5 1979 0 0 0 0 0 6859.44070479853 0 0 62364.6815002694 0 0 30702000 19056000 1493993.05155722
1979-08-12 8 2 12 1979 201672.387004505 479520 0 0 0 102899.81851565 0 0 62148.970161895 0 0 26507866.4548423 0 757367.612995495
1979-08-19 8 3 19 1979 322867.542839882 479520 0 0 0 107757.977638728 0 0 61495.4453970253 0 0 25161138.0006041 0 718889.657160118
1979-08-26 8 4 26 1979 378570.474840693 479520 0 0 0 94118.7089354546 0 0 54077.7519434425 0 0 26106637.3805757 0 745903.925159306
1979-09-02 9 5 2 1979 592055.676003562 479520 0 0 0 0 0.254651078751522 0 82874.0213036142 0 0 21529757.3398753 0 615135.923996438
1979-09-09 9 6 9 1979 611019.41336311 179820 0 0 0 0 0.718741815507201 0 68420.3125025952 0 0 22376514.5322911 0 639328.98663689
1979-09-16 9 7 16 1979 650162.30308729 179820 0 0 0 0 2.47087757460145 0 72785.4403473551 0 0 22517001.3919448 0 643342.89691271
1979-09-23 9 8 23 1979 744483.930320892 179820 0 0 0 0 4.12938399073755 0 74214.1142347223 0 0 20726232.4387688 0 592178.069679108
1979-09-30 9 9 30 1979 745685.90848571 179820 0 0 0 0 6.1544216629311 0 73454.5324499024 0 0 22194651.2030001 0 634132.89151429
1979-10-07 10 10 7 1979 591224.916793552 359640 0 0 0 0 9.93251895286312 0 70927.7169594294 0 0 28809176.3122257 0 823119.323206448
1979-10-14 10 11 14 1979 654610.465899466 359640 0 0 0 0 13.2977035628446 0 74718.4255738564 0 0 27799072.4935187 0 794259.214100534
1979-10-21 10 12 21 1979 702962.848162243 359640 0 0 0 0 15.6223702946629 0 72486.0136944385 0 0 27315129.5143215 0 780432.271837757
1979-10-28 10 13 28 1979 819054.579728067 359640 0 0 0 0 19.4450901466496 0 54400.3161729326 0 0 24460309.3095177 0 698865.980271933
1979-11-04 11 14 4 1979 1087215.22964002 359640 0 0 0 0 0 0 62002.2293432348 696747.235335646 0 16283076.9625992 0 465230.770359978
1979-11-11 11 15 11 1979 769396.438072716 3236760 0 0 0 0 0 0 71285.8890361502 0 0 25896246.6674549 0 739892.761927284
1979-11-18 11 16 18 1979 1032363.80841057 3236760 0 0 0 0 0 0 74282.9675922372 897832.193759105 0 15181900.7056299 0 433768.591589425
1979-11-25 11 17 25 1979 973833.346740511 3236760 0 0 0 0 0 0 72040.7561676272 841468.310261105 0 15719978.8640821 0 449142.253259489
