"date" "month" "week" "day" "year" "MICAA" "REVEL" "ARROW" "DUNCA" "LIBBY" "BONFE" "CORRA" "FLASF" "FLAPO" "NOXON" "CABIN" "ALBEN" "BOUND" "GCOUL" "CHIEF" "WELLS" "ROCKY" "RISLA" "WANAP" "PRIRA" "UpSnake" "MdlSnake" "BROWN" "OXBOW" "HCANY" "DWORS" "LGRAN" "LGOOS" "LMONU" "ICEHA" "MCNAR" "JDAYY" "DALLE" "BONNE"
1979-08-05 8 1 5 1979 215892.804114699 315987.441614699 342191.5773266 31464.0538999999 687886.032810019 695790.824054809 768159.722410809 419010.418826508 475151.533466158 221167.80342 231086.483895021 621040.229900979 624742.058716289 2146620.19411116 2219357.15181616 2221748.56603616 2242901.78167216 2260448.53668516 2245899.32394016 2238143.48579616 60150.5294110002 131844.029541 433208.226739749 428940.248274759 424494.479397459 176593.030952541 694190 692983.5337321 523485.724650559 521132.854986559 2678748.13714272 2654444.51686272 2734060.55670272 2819386.86099772
1979-08-12 8 2 12 1979 258468.41793414 344263.98163414 345831.10692424 34805.73431 82194.6834702808 85778.2689652308 159272.061634631 27389.1056444 73687.632795 208767.520295 212400.472944216 215087.812242716 215504.174558026 826856.562509434 898643.420357034 900214.391887034 917906.287979034 933810.784263034 918788.886340134 911509.622716134 69004.0226409999 157358.499521 458936.331433031 453289.035419783 446169.455550083 166778.620479917 694190 691708.9358642 526732.625818283 524127.748066283 1345342.73969242 1318045.83892242 1395862.48934242 1495240.74330842
1979-08-19 8 3 19 1979 246990.883241521 300852.296441521 309999.2906974 45398.4820254487 76827.5370597998 80185.8352156198 158120.385392268 28098.86659506 72465.9741386001 217739.6415976 221009.9256976 219999.2417416 219285.55697689 746784.700919049 809519.571039449 821337.693870449 833002.972978449 844249.280914449 826464.886721649 822068.386032649 77860.9267421998 219518.508402199 554834.844112369 545474.75555049 529560.93682259 157072.252170631 744401.131440221 723192.212271411 552978.22658278 533201.15519678 1277893.03005943 1230975.70418543 1296613.08998543 1376266.36171243
1979-08-26 8 4 26 1979 246410.5664262 284455.7358262 358037.15164302 46817.6900211348 77515.0035646996 80304.6380020596 168346.204955694 7843.989057941 69804.4498699999 204294.77753 206797.595138235 200286.451854335 198279.738999615 793046.333084303 858627.208301603 902966.683310603 912101.563974603 921495.355596603 900181.252183303 891662.109084303 61940.2281225999 166658.7353026 495716.597576386 490672.778009133 484671.894237133 138514.904678158 737840.743655291 745825.762330791 627091.512091633 636186.927567633 1467257.90888194 1455801.35865794 1534429.36358394 1633740.85339994
1979-09-02 9 5 2 1979 210824.207295471 242409.319995471 311421.812301051 54198.0321034167 84850.4956619004 91358.0880927204 184129.051401137 56861.2924354037 98786.3051392039 188266.980369 194908.485019601 237523.719443105 240020.468756035 852097.519360735 915183.965606135 950919.210369135 966957.275711135 977383.369647135 964625.405439035 961693.852777035 52321.5523358001 121767.2817158 159634.711331066 155008.718164312 148205.311295112 66716.52243694 304195.881212051 304528.770242822 235619.313634882 236385.283024882 1134739.64271192 1140524.86436692 1214082.04799692 1276184.80039292
1979-09-09 9 6 9 1979 162238.97135723 233164.27435723 281678.54723946 59827.2499367351 73729.2541378322 84788.0017317302 204625.065887675 51969.8048097722 80108.8206582982 136553.030468 146304.734682337 190483.271291215 195030.322533655 844189.061243854 872968.237682754 927417.177569754 917276.566176854 921015.756164854 888961.595621454 881427.314994454 46163.0958395 91524.2246594997 370803.3260295 368824.632754949 365259.183308149 37868.4242471527 489286.851924301 491872.336566921 435008.957525369 437057.685276469 1276005.95308092 1277994.61070792 1343835.69008392 1314708.74995982
1979-09-16 9 7 16 1979 172005.149925552 241544.271325552 406064.760897973 37249.9933654108 66453.0618739434 71796.9847854534 164498.420356089 61513.3376410497 84630.9601133637 113779.354212 121484.520994057 168653.534639621 173092.308830532 879786.562022146 940913.391981646 959971.721144646 975783.345075646 989044.380287646 983267.657822246 984953.801034246 42696.5308010001 86385.1213809997 348819.911871 346529.547649441 342381.328615641 39606.5537767399 439061.347413381 439019.503528131 376772.724456391 376453.123305391 1371016.82406964 1401392.81168964 1458325.85766964 1432024.10337464
1979-09-23 9 8 23 1979 160355.79624221 203228.53564221 272483.996100219 21694.3823732633 63708.1974076238 67978.7294167838 151433.199780887 71447.932098603 86947.6967554231 104675.19955 111618.170631285 160897.779475508 165153.261446436 794557.623760398 848606.137544298 852047.057888298 880839.716181298 897056.474995298 906621.972598898 914878.451102898 40609.285495 88925.8582250001 338860.749725 336628.368645253 333091.612640153 40570.0768837076 421302.326401861 420891.114389671 357358.202923963 356617.700787963 1328722.66611086 1390597.67868086 1451160.22730086 1434733.29401886
1979-09-30 9 9 30 1979 174106.408990102 217052.678790102 295172.569666988 25346.3350045908 68973.6273016678 72258.3420611378 160350.582306259 75670.1789302094 91683.0150526644 116971.431909 123392.409368298 173950.554899763 177582.983230912 887547.126969718 916489.251052918 912144.946205918 919420.098798918 925222.140582918 917980.516145818 916159.656600818 44639.5146079999 107385.706058 367633.498458 364576.245338485 358182.021057785 41547.1146921962 443303.236884982 438323.106404042 370269.929730845 367163.582372045 1264217.24423286 1292204.83239286 1340749.86623486 1324047.12231186
1979-10-07 10 10 7 1979 199106.617463107 231271.031023107 695512.138597559 30318.4270858185 67516.6804107638 68110.8241229338 163865.727496582 39680.067674353 54004.818833 132336.469618 136819.080778 162166.81311084 172150.776560421 1259524.65226757 1297170.58039047 1301014.82976947 1296272.50609947 1296754.69363747 1282993.61214527 1276636.09534907 37587.4392724 118257.0959964 321120.5632584 321077.040565416 320990.429698804 40797.1406682389 475609.192788043 478477.172393803 399811.864427064 402245.383278674 1663324.84416774 1704900.68500274 1781343.34082574 1747132.46614374
1979-10-14 10 11 14 1979 223835.523518206 245752.334388206 703560.465529167 27681.4804395984 79132.8301012985 79883.0272085115 172844.930540897 39418.763938 53516.9866365499 131630.61982027 135963.63508027 160366.39069327 169996.6151311 1231155.43506572 1276805.9434232 1284719.2784392 1296046.6723021 1302065.1449851 1300246.3337476 1300392.3043929 35957.1266867458 107623.641320745 285247.961790145 284623.901590145 283324.390320836 42599.3931447109 424337.114779017 424726.359861283 347954.900202072 349615.943017692 1680521.75735959 1750598.29223939 1835785.43740399 1817527.24233699
1979-10-21 10 12 21 1979 228584.663087006 251280.872467006 599906.071394648 28873.5247090311 82504.8306024092 88468.8876724092 177408.97531144 29631.545614 51546.32874 132988.231989369 137728.351789369 157290.327488059 165552.000625889 1193610.09569641 1219516.39461339 1230457.73875699 1221244.57352469 1220656.20871679 1205160.01387789 1200947.50593439 52517.84329037 139970.295118953 338516.901486268 336784.177586268 330857.095033869 42979.2829506435 490304.576632602 475999.077014868 390408.792978925 380610.303069155 1564025.66536954 1608165.15229974 1695060.59709093 1674153.21852823
1979-10-28 10 13 28 1979 202425.334375463 223544.680135463 335421.677329249 25447.8046390159 72432.8915852803 90517.7389552803 163911.316224296 21893.1227 49942.98755 144045.25662 153265.92632 188374.77422471 201074.16056254 829209.237355506 880414.142733146 927922.570974246 928210.805780666 935511.538126266 917650.075559066 915283.069808266 68454.9554499998 194979.613772272 533147.567418992 533765.309118992 530206.866918992 41057.63586856 742944.007845142 736234.158727408 636884.517214748 631708.510318238 1533288.2221505 1581073.7705344 1715288.87515978 1671814.87825067
1979-11-04 11 14 4 1979 41651.4 51387.46187 80970.6126462137 1388.38 12697.7602111772 23908.5375011772 80116.7602111772 28872.559819 54363.7017000001 158020.31091 162864.72641 199894.79274542 211397.096706584 438763.372857391 506772.712340629 560808.641192909 563794.916096219 574324.620548119 555879.440449379 546123.365314959 44046.28045 128885.8522 337120.3664145 337923.0892145 338607.9080145 27767.6 569485.20013962 580862.225736104 515112.079449174 526165.068244397 1221672.14956316 1256437.45887666 1359724.37890037 1373994.26750592
1979-11-11 11 15 11 1979 51921.4197977823 45467.9592277823 575540.592197782 131574.555328536 53597.8546599997 56954.4768599997 251203.029988536 37707.403793 54667.8227500001 150032.22215 148356.71755 170695.06118542 177431.481746584 1107711.05286486 1146162.4907481 1165391.04547824 1180815.51068155 1194332.31783345 1196582.36923471 1199430.74850029 40686.31593 101058.0743 285563.9929 285610.9309 284536.8633 28561.9591543407 474673.023049461 471914.219345945 399149.356904674 397272.593799897 1843828.10820399 1929243.32451749 2039174.33354121 2130838.76814676
1979-11-18 11 16 18 1979 41651.4 34870.56962 69419 6455.04472300002 50610.6112700002 52028.5837700002 123096.275993 37601.119528 53536.2680299999 144911.39198 142904.09748 166605.6 172780.161561164 522862.346557572 546628.38954081 555944.85257095 559363.95387426 565726.18422616 557914.21302742 553494.075993 37325.32687 84442.4168400001 249099.402 249566.7714 249752.2202 27767.6 426579.48463812 424333.853134604 356532.417347674 355661.754542897 1037419.8447397 1061817.6250532 1129048.58237692 1172909.30908247
1979-11-25 11 17 25 1979 41651.4 35036.28859 69419 6837.66972400003 49846.6126899999 52633.1540499999 122714.902414 37646.292307 54333.0904600001 147734.08344 146173.92794 167129.12697542 173088.691536584 540263.828878572 562051.30286181 564994.14649195 563354.37139526 567354.83094716 556546.71784842 553112.702414 35183.2084499998 85662.0682800002 248297.2286 248478.0743 247799.0241 27767.6 454813.84731512 452087.765911604 389340.497524674 386792.169519897 1058317.7160377 1117453.1186512 1198310.01757492 1229273.19258047
1979-12-02 12 18 2 1979 41651.4 37397.24424 69419 214765.22 879450.54653 881397.2417 519999.507587848 38686.286025 54122.5349000001 146688.09277 146776.45717 166605.6 171074.293155972 943162.653163165 969089.81126501 971445.41958429 975943.58390372 981524.56420492 974981.86494697 971866 33551.0101399999 76668.0708299996 246825.3248 247061.7534 249400.3663 27767.6 407241.800527667 406641.809800863 342922.259831383 343022.333651749 1410475.66799305 1451551.12620833 1507936.43349658 1540617.29343548
1979-12-09 12 19 9 1979 41651.4 42463.23084 541203.35417 165308.73102 37638.2523099999 47214.2023599999 219693.0286 29282.960246 57726.9318500001 185107.17881 192609.09061 166605.6 164100.668555972 1579821.41093317 1600937.50413501 1607013.04925429 1605226.03137372 1609757.85867492 1596007.49461697 1593924.38277 42491.2187199998 86395.6091499999 345641.5322 344774.5038 352272.0169 27767.6 478077.286628667 467837.082501863 422429.596832383 411647.631652749 2042115.77266405 2117650.65317933 2205786.69616758 2212515.59310648
1979-12-16 12 20 16 1979 41651.4 43056.25272 81028.0714800004 18673.74673 48515.2191699999 60892.6395899999 98044.4974399996 22062.053986 53549.7784200001 173372.12516 182953.76966 169672.75218542 170953.445541392 889730.567073165 938263.76057501 955439.897394291 964086.50461372 977685.037614921 964364.03725697 1000760.43821 38577.1154800002 79935.2033500001 315738.7477 316998.0017 329801.0967 27767.6 493078.574608667 498862.494681863 453859.788112383 461234.996332749 1500056.73788405 1558660.80669933 1608650.41868758 1629551.15462648
1979-12-23 12 21 23 1979 42018.2123013571 42949.3651513571 69979.4803225019 12846.6632299999 38533.1672957217 48836.4078457217 80998.9007457217 27215.41442 52687.06647 164917.48293 172532.04813 166605.6 166297.178155972 836294.001441113 881417.287342958 902025.465362238 931599.344781669 969239.441882869 962310.697824918 984065.973977948 40816.1648200001 76439.9281599997 289574.0569 289670.0313 299153.0374 27795.2746655899 454517.486434257 449010.213107453 389766.168272383 385801.084992749 1493252.526812 1525826.45362728 1574376.59361553 1631056.76955443
1979-12-30 12 22 30 1979 55912.1618638097 57323.6561038097 91195.6570378476 7144.24801400001 31752.9413595639 41898.8361595639 79903.0936092858 35774.034177 53907.49554 163039.67046 172806.52296 172911.54878542 174651.115441392 884795.284022555 937653.3525244 951737.15574368 973383.53116311 994966.98996431 990157.09480636 1005832.04315939 37383.7546999999 79775.8844600003 306671.6403 307028.0343 316942.4547 28839.5152079909 452576.761776658 453082.135149854 396660.015372383 398473.247692749 1481683.37809344 1530169.85590872 1568229.58989697 1602861.95083587
