"date" "month" "week" "day" "year" "MICAA" "ARROW" "DUNCA" "CORRA" "LIBBY" "FLASF" "GCOUL" "DWORS" "BROWN" "UpSnake" "MdlSnake"
1979-08-05 8 1 5 1979 20075520 7327300 1423400 589210 4978634.12865078 3168098.19457912 8417965.72055254 2899913.03159833 1301683.42362125 2577600 4242400
1979-08-12 8 2 12 1979 20075520 7327300 1423400 589210 4975000 3148600.97371595 8316000 2743832.27954446 1212734.90278922 2577600 4242400
1979-08-19 8 3 19 1979 20075520 7327300 1416556.24172455 589210 4975000 3127838.05389183 8307253.91121751 2600246.22104204 1247242.40804905 2577600 4242400
1979-08-26 8 4 26 1979 20075520 7327300 1411000.82212342 589210 4975000 3127561.53241502 8267729.43662154 2477716.75925387 1200796.44448527 2577600 4242400
1979-09-02 9 5 2 1979 20075520 7269343.2305188 1399937.098 589210 4964030 3078469.30167326 8231104.28212902 2423356.03 1420000 2577600 4242400
1979-09-09 9 6 9 1979 20075520 7327300 1389346.88003326 601908 4953502.77930967 3032210.29826246 8094484.88236596 2392195.45060699 1420000 2577600 4242400
1979-09-16 9 7 16 1979 20075520 7327300 1392773.64151785 593956.932267375 4939361.50799302 2974993.8919526 7967480.29968841 2357882.13870501 1420000 2577600 4242400
1979-09-23 9 8 23 1979 20038323.5146475 7248501.94511429 1385299.51291459 554698.936290535 4918210 2906699.68861128 7815291.96108555 2321737.02863438 1420000 2577600 4242400
1979-09-30 9 9 30 1979 20001606.1026504 7159880.95540729 1386052.769 507884.216757205 4890847.23923723 2833632.54187429 7539231.42331999 2284528.16058594 1420000 2577600 4242400
1979-10-07 10 10 7 1979 19872177.8766362 6759683.36620363 1372636.06968418 458251.955827815 4862817.71031417 2796140.64295202 7301264.94913699 2249898.49497057 1420000 2577600 4242400
1979-10-14 10 11 14 1979 19706345.432638 6321043.08159173 1353803.11192458 400407.993942928 4818794.17948887 2758686.03798039 7140882.76980043 2213243.47247664 1420000 2577600 4242400
1979-10-21 10 12 21 1979 19538026.147971 6015683.232 1344948.66929555 351408.282076848 4778267.27897646 2732934.65025039 6883714.926358 2189742.73272599 1420000 2577600 4242400
1979-10-28 10 13 28 1979 19394377.4689856 5960251.81795621 1341426.28246654 323829.125426848 4755342.67693118 2717627.23793039 6790496.72394658 2182536.69149743 1420000 2577600 4242400
1979-11-04 11 14 4 1979 19419613.9278956 6015683.232 1355999.87376654 312696.808046848 4787110 2692838.75022039 6861545.78496966 2171700.76882743 1420000 2577600 4242400
1979-11-11 11 15 11 1979 19429002.1398778 5495814.27 1231738.365 265771.948624848 4761620 2658065.23917039 6818309.4752517 2151224.10413309 1420000 2577600 4242400
1979-11-18 11 16 18 1979 19447132.8401678 5464105.71875 1231738.365 212061.956491848 4736130 2623315.24669039 6692500.00704229 2130579.02185009 1420000 2577600 4242400
1979-11-25 11 17 25 1979 19464531.0313378 5434390.3121 1231738.365 160635.171327848 4710640 2588751.42295039 6555369.74873831 2112867.50129009 1420000 2577600 4242400
1979-12-02 12 18 2 1979 19477249.4676978 5408291.00195 1023400 750000 3855100 2553172.19278039 6407053.46097376 2091718.61959109 1420000 2577600 4242400
1979-12-09 12 19 9 1979 19481217.9760678 4938259.271 873125.9714 764994.33964 3855100 2533825.23767039 5789513.45186137 2111995.15589109 1420000 2577600 4242400
1979-12-16 12 20 16 1979 19485692.1519078 4938259.271 873125.9714 783365 3855100 2520694.71691039 5362331.4745544 2111176.23181109 1420000 2577600 4242400
1979-12-23 12 21 23 1979 19488068.3959864 4932474.05950885 873125.9714 793658.96064 3854978.38248428 2505835.23888039 4962120.32488228 2124551.6401055 1420000 2577600 4242400
1979-12-30 12 22 30 1979 19475920.0917026 4916748.33794482 873125.9714 794922.206630278 3850371.77440471 2478413.54422039 4551571.51526305 2121002.31795751 1420000 2577600 4242400
1980-01-06 1 23 6 1980 19036187.117368 4779110.27428352 685463.070535591 786576 3864920.67445882 2439766.2548803 4213549.81220132 2112071.18114141 1370000 2578080 4242400
1980-01-13 1 24 13 1980 18635013.6770026 4609053.02691645 685477.345550179 751157.451185591 3874721.37120017 2400648.09961691 3921900 2098739.29673868 1320000 2578560 4242400
1980-01-20 1 25 20 1980 18157974.9629855 4401227.16690747 681120.898066388 714999.54161577 3859649.91435133 2348465.97357402 3921900 2080632.08609243 1270000 2579040 4242400
1980-01-27 1 26 27 1980 17690841.5502396 4196965.53164813 677224.841025635 674552.58098477 3839098.59129619 2295629.11284029 3921900 2059497.80965923 1220000 2579520 4242400
1980-02-03 2 27 3 1980 17283169.3425339 4025248.7716607 351316.119908399 665960 3827165.53495943 2250908.9633629 3921900 2038607.10235441 1170000 2580000 4242400
1980-02-10 2 28 10 1980 16891433.7114806 3683889.70965616 352996.092021719 621063 3822898.44871056 2214705.16761474 3921900 2024760.15082696 1132500 2542500 4205550
1980-02-17 2 29 17 1980 16542974.2407599 3375209.25494751 353400 576165 3812086.76043139 2179768.28938475 3921900 2008339.92305696 1095000 2505000 4168700
1980-02-24 2 30 24 1980 16270835.6571428 3136581.5670866 353400 531268 3804404.04140062 2148720.42434474 3921900 2022053.54716696 1057500 2467500 4131850
1980-03-02 3 31 2 1980 16060745.0445002 2957984.78658277 353400 486370 3807463.60471909 2129183.76996474 3921900 2067293.28190696 1020000 2430000 4095000
1980-03-09 3 32 9 1980 15579418.5382125 2216711.09833725 342056.580365915 402130 3724594.79477445 2100077.12296474 3921900 2096997.13740974 995000 2400000 4072500
1980-03-16 3 33 16 1980 15102748.2763066 1458265.80937543 332220.52970039 317890 3595159.70287072 2066654.20803474 3921900 2099746.27856296 970000 2370000 4050000
1980-03-23 3 34 23 1980 14940700.97 1188498.596 326876.7835 233650 3512340 2033397.39701475 3921900 2105660 945000 2340000 4027500
1980-03-30 3 35 30 1980 14935364.01634 1188498.596 326876.7835 149410 3483380 2000278.03309475 3921900 2116620 920000 2310000 4005000
1980-04-06 4 36 6 1980 14929361.49998 1214108.3336 277686.5879 144000 3480010 1963665.15462475 3921900 2116340.64636 895000 2282500 3976880
1980-04-13 4 37 13 1980 14926767.60617 1250248.00081 277686.5879 144000 3476630 1929271.99918474 3921900 2137637.80745786 870000 2255000 3948750
1980-04-20 4 38 20 1980 14943292.6092166 1411628.44317598 300099.8625 202135.66524936 3473260 1966622.99983474 3921900 2238000 845000 2227500 3920630
1980-04-27 4 39 27 1980 14984483.5945803 1553446.81276913 311929.761832009 245000 3517357.99520562 2148114.56375297 4517199.84642584 2395081.71831882 820000 2200000 3892500
1980-05-04 5 40 4 1980 15114748.5250309 2187424.22756913 395160.014992009 267000 3918095.47056006 2375198.06185297 5720635.73077077 2551909.57945364 980000 2275600 3962400
1980-05-11 5 41 11 1980 15341256.5804781 2825787.47686913 500738.571892009 289000 4327962.2614984 2549466.41285297 7354950.79688175 2681506.36112119 1090000 2351200 4032300
1980-05-18 5 42 18 1980 15549156.3901572 3437285.01550765 553400 311000 4633265.27383334 2627264.44704467 8500108.62893124 2728264.31590538 1200000 2426800 4102200
1980-05-25 5 43 25 1980 15846256.6803998 4114240.96598 553400 333000 5043975.93378464 2707030.92998731 8665137.03970245 2710199.00492406 1310000 2502400 4172100
1980-06-01 6 44 1 1980 16136679.6090998 4624676.71658 683404.0046 355000 5568221.11237152 2879216.43718731 9096899.61399182 2830898.86332406 1420000 2578000 4242000
1980-06-08 6 45 8 1980 16542816.4159998 5026526.27728 793208.6236 386250 5855100 3043188.81448731 9107300 2949877.22902406 1420000 2577900 4242100
1980-06-15 6 46 15 1980 16951048.9452907 5410325.37069812 904756.7404 417500 5855100 3161483.05498731 9107300 3045934.86050634 1420000 2577800 4242200
1980-06-22 6 47 22 1980 17480226.135653 5487300 1034120.8991 448750 5855100 3245806.41561327 9107300 3125855.37770206 1420000 2577700 4242300
1980-06-29 6 48 29 1980 17985664.8888354 5487300 1141226.9982 480000 5802179.78694435 3322775.73108285 9059719.31077044 3146894.32836412 1420000 2577600 4242400
1980-07-06 7 49 6 1980 18410831.8044522 5902866.6395921 1240548.7848 507303 5671424.65423955 3327281.29397735 8942157.06044739 3097767.23028538 1420000 2577600 4242400
1980-07-13 7 50 13 1980 18811230.5423183 6298771.07625455 1340234.482 534605 5349851.01904482 3246882.00233677 8598409.958818 3021655.44771028 1420000 2577600 4242400
