"date" "month" "week" "day" "year" "MICAA" "REVEL" "ARROW" "DUNCA" "LIBBY" "BONFE" "CORRA" "FLASF" "FLAPO" "NOXON" "CABIN" "ALBEN" "BOUND" "GCOUL" "CHIEF" "WELLS" "ROCKY" "RISLA" "WANAP" "PRIRA" "UpSnake" "MdlSnake" "BROWN" "OXBOW" "HCANY" "DWORS" "LGRAN" "LGOOS" "LMONU" "ICEHA" "MCNAR" "JDAYY" "DALLES" "BONNE"
1979-08-05 8 1 5 1979 220562.8041147 315987.441614699 345505.577326599 32116.0539 84800.1614608 454094.788912115 524296.687268115 10658.613405631 79149.4944 221167.80342 231086.483895021 225038.190834821 485196.830832601 1337044.65163732 1624510.10202323 1626901.51624323 1648054.73187923 1665601.48689223 1651052.27414723 1643296.43600323 60150.529411 131844.029541 406361.650361 428940.248274759 424494.479397459 12266.062550868 694190 692983.5337321 523485.724650559 521132.854986559 2083901.08734979 2059597.46706979 2139213.50690979 2224539.81120479
1979-08-12 8 2 12 1979 258468.41793414 344263.981634138 345831.106924238 34805.73431 78560.5548195 303826.97041136 377320.76308076 7891.884781228 73687.632795 208767.520295 212400.472944216 215087.812242716 328677.045079835 1394571.96411016 1760600.71853679 1762171.69006679 1779863.58615879 1795768.08244279 1780746.18451989 1773466.92089589 69004.022641 157358.499521 369987.810601 453289.035419783 446169.455550083 10697.868426054 694190 691708.9358642 526732.625818283 524127.748066283 2207300.03787218 2180003.13710218 2257819.78752218 2357198.04148818
1979-08-19 8 3 19 1979 246990.88324152 300852.296441521 309999.290697401 38554.72375 76827.5370598 103833.168912185 178566.63218758 7335.946770941 72465.9741386 217739.6415976 221009.9256976 219999.2417416 219285.55697689 746244.05147599 830308.532336443 842126.655167443 853791.934275443 865038.242211443 847253.848018643 842857.347329643 77860.9267422 219518.5084022 589342.349372199 545474.75555049 529560.93682259 13486.193668206 720915.469223446 699706.550054636 552978.22658278 533201.15519678 1298681.99135642 1251764.66548242 1317402.05128242 1397055.32300942
1979-08-26 8 4 26 1979 246410.5664262 284455.7358262 358037.15164302 41262.27042 77515.0035647 80304.6380020596 182611.015980365 7567.467581124 69804.44987 204294.77753 206797.595138235 200286.451854335 198279.738999615 706927.684296181 785831.9472082 830171.4222172 839306.3028812 848700.0945032 827385.9910899 818866.8479909 61940.2281226 166658.7353026 449270.6340126 486479.274917603 480478.391145603 15985.442889989 796082.242034406 804067.260709906 622898.009000103 631993.424476103 1390269.144697 1378812.594473 1457440.599399 1556752.089215
1979-09-02 9 5 2 1979 210824.20729547 242409.319995471 253465.042819851 43134.30798 73880.4956619 91358.0880927204 173065.32727772 7769.061693645 66006.165959 188266.980369 194908.485019601 204743.580262901 239393.111224893 838468.868557905 922603.619683299 958338.864446299 974376.929788299 984803.023724299 972045.059516199 969113.506854199 52321.5523358 121767.2817158 378838.2668458 159202.221255841 152398.814386641 12355.793183071 281216.407591236 281549.296622006 239812.816726411 240578.786116411 1146352.79988061 1152138.02153561 1225695.20516561 1287797.95756161
1979-09-09 9 6 9 1979 162238.971357231 233164.27435723 339635.31672066 49237.03197 63202.0334475 66922.2205021988 187427.888759174 5710.801398973 52748.238538 136553.030468 146304.734682337 163122.689170917 194334.900116951 768824.290923564 932428.323754163 986877.263641163 976736.652248263 980475.842236263 948421.681692863 940887.401065863 46163.0958395 91524.2246595 370803.3260295 368824.632754949 365259.183308149 6707.844854143 488807.166345843 491392.650988463 435008.957525369 437057.685276469 1335466.03915233 1337454.69677933 1403295.77615533 1374168.83603123
1979-09-16 9 7 16 1979 172005.149925553 241544.271325552 406064.760897972 40676.75485 52311.7905573 71130.0121542672 161325.181015338 4296.931331194 52095.170372 113779.354212 121484.520994057 136117.744898257 172368.676538349 749853.18771196 977754.956517632 996813.285680632 1012624.90961163 1025885.94482363 1020109.22235823 1021795.36557023 42696.530801 86385.1213810001 348819.911871 346529.547649441 342381.328615641 5293.241874755 438531.303535784 438489.459650534 376772.724456391 376453.123305391 1407858.38860562 1438234.37622562 1495167.42220562 1468865.66791062
1979-09-23 9 8 23 1979 123159.310889731 200275.142038476 190732.547610776 14220.25377 42556.6894146 77244.9971756816 124565.026764472 3153.728757283 51306.94681 104675.19955 111618.170631285 125257.029530085 164384.227985382 788858.162521318 981068.176114081 984509.096458081 1013301.75475108 1029518.51356508 1039084.01116868 1047340.48967268 40609.285495 88925.858225 338860.749725 336628.368645253 333091.612640153 4424.966813084 420731.715689789 420320.503677599 357358.202923963 356617.700787963 1461184.70468064 1523059.71725064 1583622.26587064 1567195.33258864
1979-09-30 9 9 30 1979 137388.996993 214151.629786798 203650.530956678 26099.59109 41610.8665389 70862.7973065843 115601.357692759 2603.032193214 52817.050119 116971.431909 123392.409368298 135084.589966098 177065.742626905 633175.838693774 924765.028614596 920420.723767596 927695.876360596 933497.918144596 926256.293707496 924435.434162496 44639.514608 107385.706058 367633.498458 364576.245338485 358182.021057785 4338.246643757 442793.717311855 437813.586830915 370269.929730845 367163.582372045 1272493.02179454 1300480.60995454 1349025.64379654 1332322.89987354
1979-10-07 10 10 7 1979 69678.39144892 233482.14187563 297525.66024643 16901.72777 39487.151487701 70309.331926533 121710.595542509 2188.168752091 54004.818833 132336.469618 136819.080778 162166.81311084 172150.776560421 983815.805661231 1261674.8431277 1265519.0925067 1260776.7688367 1261258.9563747 1247497.8748825 1241140.3580863 37587.4392724 118257.0959964 321120.5632584 321077.040565416 320990.429698804 6167.475052866 475816.279611263 478684.259217023 399811.864427064 402245.383278674 1627829.10690498 1669404.94773998 1745847.60356298 1711636.72888098
1979-10-14 10 11 14 1979 58003.07952 248196.949347839 267364.795876899 8848.52268 35109.299275996 82333.7744040318 117966.439942034 1964.158966361 53516.98663655 131630.61982027 135963.63508027 160366.39069327 169996.6151311 871171.298160993 1079675.65761611 1087588.99263211 1098916.38649501 1104934.85917801 1103116.04794051 1103262.01858581 35957.126686746 107623.641320746 285247.961790145 284623.901590145 283324.390320836 5944.370650778 424550.114752722 424939.359834988 347954.900202072 349615.943017692 1483391.4715525 1553468.0064323 1638655.1515969 1620396.9565299
1979-10-21 10 12 21 1979 60265.37842 252727.599862673 295992.949198583 20019.08208 41977.93009 90054.1838852398 130213.412953129 3880.157884 51546.32874 132988.231989369 137728.351789369 157290.327488059 165552.000625889 716624.064044688 1001464.29714208 1012405.64128568 1003192.47605338 1002604.11124548 987107.916406585 982895.408463085 52517.84329037 139970.295118953 338516.901486268 336784.177586268 330857.095033869 19478.5432 490349.813450244 476044.31383251 390408.792978925 380610.303069155 1345973.56789824 1390113.05482844 1477008.49961963 1456101.12105693
1979-10-28 10 13 28 1979 58776.65539 223737.519885553 280183.103035553 21925.41781 49508.28954 90870.1956884191 136535.315376698 6585.71038 49942.98755 144045.25662 153265.92632 188374.77422471 201074.16056254 734309.360487964 879476.505409193 926984.933650294 927273.168456714 934573.900802314 916712.438235114 914345.432484313 68454.95545 194979.613772272 533147.567418992 533765.309118992 530206.866918992 33851.59464 742798.638003356 736088.788885622 636884.517214748 631708.510318238 1532350.58482655 1580136.13321045 1714351.23783583 1670877.24092672
1979-11-04 11 14 4 1979 66887.85891 51387.46187 136402.02669 15961.9713 44465.08328 27983.5604124622 73059.4657424622 4084.072109 54363.7017 158020.31091 162864.72641 199894.79274542 211397.096706584 502335.844145546 499296.1226057 553332.05145798 556318.32636129 566848.03081319 548402.85071445 538646.77558003 44046.28045 128885.8522 337120.3664145 337923.0892145 338607.9080145 16931.67733 569485.20013962 580862.225736104 515112.079449174 526165.068244397 1214195.55982823 1248960.86914173 1352247.78916545 1366517.677771
1979-11-11 11 15 11 1979 61309.63178 45350.2738016801 55553.94477168 7313.046562 28107.85466 56954.4768599997 198415.272940114 2933.892743 54667.82275 150032.22215 148356.71755 170695.06118542 177431.481746584 989832.658270198 1071526.90003127 1090755.45476141 1106179.91996472 1119696.72711662 1121946.77851788 1124795.15778346 40686.31593 101058.0743 285563.9929 285610.9309 284536.8633 8085.29446 474654.445109316 471895.6414058 399149.356904674 397272.593799897 1769192.51748716 1854607.73380066 1964538.74282438 2056203.17742993
1979-11-18 11 16 18 1979 59782.10029 34870.56962 37710.44875 6455.044723 25120.61127 52028.5837700002 69386.2838600003 2851.127048 53536.26803 144911.39198 142904.09748 163041.40041542 172780.161561164 397052.878348164 546628.38954081 555944.85257095 559363.95387426 565726.18422616 557914.21302742 553494.075993 37325.32687 84442.41684 249099.402 249566.7714 249752.2202 7122.517717 426579.48463812 424333.853134604 356532.417347674 355661.754542897 1037419.8447397 1061817.6250532 1129048.58237692 1172909.30908247
1979-11-25 11 17 25 1979 59049.59117 35036.28859 39703.59335 6837.669724 24356.61269 52633.1540499999 71288.1172499999 3082.468567 54333.09046 147734.08344 146173.92794 167129.12697542 173088.691536584 403133.570574584 562051.30286181 564994.14649195 563354.37139526 567354.83094716 556546.71784842 553112.702414 35183.20845 85662.0682799998 248297.2286 248478.0743 247799.0241 10056.07944 454813.84731512 452087.765911604 389340.497524674 386792.169519897 1058317.7160377 1117453.1186512 1198310.01757492 1229273.19258047
