"date" "month" "week" "day" "year" "ARFirmEngSupReq" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1979-08-05 8 1 5 1979 0 475954759.851804 561293.994774595 0 2566386.32090147 571292.994774595 0
1979-08-12 8 2 12 1979 0 454889725.702748 286932.829241147 0 2528865.81600446 296931.829241147 0
1979-08-19 8 3 19 1979 0 133908251.519733 202686.496497196 0 1494580.07050463 212685.496497196 33019.9294953654
1979-08-26 8 4 26 1979 0 114661957.614767 128283.922132886 0 1469140.26315013 138282.922132886 141259.736849867
1979-09-02 9 5 2 1979 81850.5199656398 37463236.279959 424150.394149727 459411.244773325 761072.755226675 175001.259461978 484800
1979-09-09 9 6 9 1979 74569.5349194639 37178494.2521 771800.508825601 389126.398812966 874989.601187034 562940.730520551 181800
1979-09-16 9 7 16 1979 91568.8998712762 36854391.7552308 833120.325439423 470308.094931686 837439.905068314 576190.646267113 181800
1979-09-23 9 8 23 1979 97554.8346586631 36208120.7729391 542811.892794785 515771.548505635 835608.451494365 318386.798686686 181800
1979-09-30 9 9 30 1979 103840.604853983 35527525.5111492 295706.688038823 568689.424032604 826322.575967396 98158.0487238259 181800
1979-10-07 10 10 7 1979 117289.513441774 33165513.3011956 726223.283331288 560036.245085003 869881.354914997 643107.253699228 363600
1979-10-14 10 11 14 1979 123390.560415927 32126078.8593198 303264.371327643 636950.954780493 827872.245219507 241318.295758549 363600
1979-10-21 10 12 21 1979 120484.743194917 31284762.0572021 80214.9059482809 644360.516864574 855368.283135426 45702.7367804917 363600
1979-10-28 10 13 28 1979 103151.072945173 30581022.3659732 24102.7622689969 548477.048085325 986157.351914675 9999 363600
1979-11-04 11 14 4 1979 0 30100774.9841349 17500.3496685431 0 1632827.28025361 27499.3496685431 284772.719746391
1979-11-11 11 15 11 1979 6885.9274457266 30100160.1319844 572382.423390363 34495.1698063561 1491412.83019364 575577.283090711 3272400
1979-11-18 11 16 18 1979 0 29439080.542429 62297.8530158159 0 1730078.12505134 72296.8530158159 3009921.87494866
1979-11-25 11 17 25 1979 0 29248782.5062759 61643.0996219495 0 1706335.21936094 71642.0996219495 2990464.78063906
1979-12-02 12 18 2 1979 0 28235082.5324929 0 0 1848443.30214993 9999 2805156.69785007
1979-12-09 12 19 9 1979 0 27590319.1604668 574011.493424676 0 1769523.31821602 584010.493424676 1535892.88178398
1979-12-16 12 20 16 1979 0 26377780.2215617 26412.5216328404 0 1719428.54366085 36411.5216328404 1665782.25633915
1979-12-23 12 21 23 1979 294.429524864259 25832146.8100875 10400.1390471291 1617.06245773239 1655186.93754227 20349.7066964608 1809818.46245773
1979-12-30 12 22 30 1979 7754.67107451379 25334447.1329088 5210.68137555817 41834.3153453348 1702233.68465467 13908.7038104742 1454400
