"date" "month" "week" "day" "year" "BRPrelim_c" "TotalFloodSpace_c" "TotalRelReducReq" "ARPrelim" "ARCombSup" "AREnergySup" "ARMcNarySup" "ARSharedWater" "ARECCSharedWater" "AR_CRT_SOA_storage" "AR_CRT_storage" "AR_CRT_release" "MI_CRT_storage" "MI_CRT_release" "MIMcNarySup" "MI_CRT_SOA_storage" "MIRelReducReq" "ARRelReducReq" "TotalMcNarySharedWater_c" "BRIn" "GCIn"
1979-08-05 8 1 5 1979 433208.226739749 134051.454938437 0 110819 705589.919399529 0 0 5860091.1732119 57131.1732118996 1e+06 1297000 41400 1500000 NA 705589.919399529 1500000 0 0 4337804.2378936 406361.650361 405025.265460921
1979-08-12 8 2 12 1979 458936.331433031 317379.535179045 0 110819 1088460.30867863 0 739793.350216337 193408390.341672 0 1e+06 1255600 41400 794410.080600471 NA 0 794410.080600471 0 0 2534857.61414749 369987.810601 409684.051562376
1979-08-19 8 3 19 1979 554834.844112369 525121.354740334 0 110819 0 0 0 6088239.69321088 0 260206.649783663 474406.649783663 41400 794410.080600471 NA 336551.108029005 794410.080600471 0 0 714773.179137821 589342.349372199 457187.02610391
1979-08-26 8 4 26 1979 503321.613476491 668031.290949228 0 110819 204759.1664262 0 0 6172098.6784277 0 260206.649783663 433006.649783663 41400 457858.972571466 NA 0 457858.972571466 0 0 280274.1699909 449270.6340126 412720.362048953
1979-09-02 9 5 2 1979 152029.69543096 1044227.70193197 0 110819 182938.190276601 74974.4267827491 0 6186971.91395208 0 260206.649783663 391606.649783663 41400 457858.972571466 NA 1549.42757077733 457858.972571466 0 0 288125.026992156 378838.2668458 467379.361985831
1979-09-09 9 6 9 1979 370803.3260295 933890.363335971 0 91919 154629.881971196 64315.9691504568 0 6261626.23253276 0 260206.649783663 369106.649783663 22500 456309.545000689 NA 0 456309.545000689 0 0 230479.221035571 370803.3260295 382000.087632285
1979-09-16 9 7 16 1979 348819.911871 998097.493183907 0 91919 190450.255786211 80302.3350682043 0 6403602.27435473 40249.4583547283 260206.649783663 346606.649783663 22500 456309.545000689 NA 0 456309.545000689 0 0 244358.815250183 348819.911871 311021.008349168
1979-09-23 9 8 23 1979 338860.749725 1114085.49383896 0 91919 209804.214723304 87806.4844989186 0 6328862.48425882 0 260206.649783663 324106.649783663 22500 456309.545000689 NA 0 456309.545000689 0 0 191647.01486461 338860.749725 344149.339331013
1979-09-30 9 9 30 1979 367633.498458 1244205.52828917 0 91919 233018.884589587 96937.7689445604 0 6245733.57072978 0 260206.649783663 301606.649783663 22500 456309.545000689 NA 0 456309.545000689 0 0 165386.881633224 367633.498458 278435.472297248
1979-10-07 10 10 7 1979 321120.5632584 1061039.76344546 0 69419 589217.375060258 432870.297214313 0 6518842.78349969 730499.551499688 260206.649783663 0 0 0 NA 0 456309.545000689 0 0 57332.7574371152 321120.5632584 301018.311990421
1979-10-14 10 11 14 1979 285247.961790145 1870338.85036799 0 69419 491771.054628453 310946.311684434 0 6099289.54368443 310946.311684434 260206.649783663 0 0 0 NA 0 456309.545000689 0 0 0 285247.961790145 333205.8596591
1979-10-21 10 12 21 1979 338516.901486268 1669750.5096807 0 69419 307751.776528916 122963.93996023 0 5826537.19071591 38193.9587159101 260206.649783663 0 0 0 NA 0 456309.545000689 0 0 0 338516.901486268 297965.205547889
1979-10-28 10 13 28 1979 533147.567418992 1505162.35264752 0 69419 263117.209319242 105251.409095916 0 5753370.57966568 0 260206.649783663 0 0 0 NA 0 456309.545000689 0 0 0 533147.567418992 375496.04139054
1979-11-04 11 14 4 1979 337120.3664145 447616.916245369 0 24419 0 0 0 5673450.79725976 0 0 45000 0 125000 NA 0 0 0 0 0 337120.3664145 442563.061023084
1979-11-11 11 15 11 1979 285563.9929 1367078.81469042 0 24419 339307.737659764 339307.737659764 0 5607782.00765976 339307.737659764 0 90000 0 250000 NA 0 0 0 0 0 285563.9929 331569.120960584
1979-11-18 11 16 18 1979 249099.402 557873.540080501 0 24419 0 0 0 5195114.31875 0 0 135000 0 375000 NA 0 0 0 0 0 249099.402 298375.602355164
1979-11-25 11 17 25 1979 248297.2286 556537.1682765 0 24419 0 0 0 5123747.5121 0 0 180000 0 5e+05 NA 0 0 0 0 0 248297.2286 304837.668160584
1979-12-02 12 18 2 1979 246825.3248 811083 0 33419 0 0 0 5055996.80195 0 0 216000 0 6e+05 NA 0 0 0 0 0 246825.3248 755552.254365355
1979-12-09 12 19 9 1979 345641.5322 1257612.3523275 0 33419 305178.754170001 305178.754170001 0 5016098.02517 305178.754170001 0 252000 0 7e+05 NA 0 0 0 0 0 345641.5322 304223.019050772
1979-12-16 12 20 16 1979 315738.7477 527862.3906925 0 33419 0 0 0 4680876.94248 0 0 288000 0 8e+05 NA 0 0 0 0 0 315738.7477 397654.151556192
1979-12-23 12 21 23 1979 289574.0569 522290.788381744 0 33419 0 0 0 4633633.99901 0 0 324000 0 9e+05 NA 0 0 0 0 0 289574.0569 387942.470700772
1979-12-30 12 22 30 1979 306671.6403 509455.651980984 0 33419 0 0 0 4583772.77262 0 0 360000 0 1e+06 NA 0 0 0 0 0 306671.6403 405985.723756192
1980-01-06 1 23 6 1980 292126.0444 1452874.4854975 0 0 299616.76390295 0 0 4321215.51201 1508680.76501 0 655000 0 1125000 NA 0 0 0 0 0 242126.0444 468213.959389707
1980-01-13 1 24 13 1980 288160.6202 1319267.09532776 0 0 289463.340160543 0 0 4060357.2387 1247822.4917 0 950000 0 1250000 NA 0 0 0 0 0 238160.6202 298580.321046354
1980-01-20 1 25 20 1980 519465.1226 1627348.59014007 0 0 362566.242065047 0 0 3798844.59597 986309.848969999 0 1245000 0 1375000 NA 0 0 0 0 0 469465.1226 292719.965646354
1980-01-27 1 26 27 1980 376951.6347 1610087.9379813 0 0 358779.445699978 0 0 3536693.92285 724159.175849999 1e+06 1540000 0 1500000 NA 0 2500000 0 0 1161318.13967591 326951.6347 279347.966376354
1980-02-03 2 27 3 1980 301478.3271 1752134.2483115 0 24419 413667.854827618 124344.242767036 0 3503741.0863 691206.339299999 1e+06 1585000 0 1625000 NA 0 2500000 0 0 839285.525055934 251478.3271 564534.594345703
1980-02-10 2 28 10 1980 343256.7453 1884607.66170726 0 24419 609643.882771977 370859.061221944 0 3351705.78164296 1730248.14864296 1e+06 1630000 0 1750000 NA 0 2500000 0 0 584264.560165349 305756.7453 253862.445433593
1980-02-17 2 29 17 1980 340444.219599999 1695314.4080099 0 24419 533334.614413808 331977.786242588 0 2952385.72890102 1330928.09590102 1e+06 1675000 0 1875000 NA 0 2500000 0 0 379299.756285321 302944.2196 261282.855081335
1980-02-24 2 30 24 1980 720076.4973 1343581.83047164 0 24419 375472.386026922 244481.410986254 0 2593126.27927843 971668.646278431 1e+06 1720000 0 2e+06 NA 0 2500000 0 0 211345.217854097 682576.497300001 297864.340849865
1980-03-02 3 31 2 1980 617233.5950771 1264283.8298145 0 33419 281147.989696539 179100.373174655 0 2327149.24010218 705691.607102178 1e+06 1756000 0 2100000 NA 0 2500000 0 0 114958.74152343 579733.5950771 439435.709735478
1980-03-09 3 32 9 1980 491953.748100754 3533557.74448914 0 33419 1184864.41879502 898127.479211886 0 2133477.00435752 1172318.40835752 1e+06 1792000 0 2200000 NA 0 2500000 0 0 50531.0357615463 466953.748100754 715455.658831398
1980-03-16 3 33 16 1980 424330.8369326 1625503.54347853 0 33419 391818.41208405 257586.028835636 0 1218744.62483564 257586.028835636 1e+06 1828000 0 2300000 NA 0 2500000 0 0 0 399330.8369326 503455.286975995
1980-03-23 3 34 23 1980 422332.234380679 576893.5115725 0 33419 0 0 0 941422.61135 0 1e+06 1864000 0 2400000 NA 0 2500000 0 0 0 397332.234380679 476486.132302398
1980-03-30 3 35 30 1980 394488.2096832 600037.947955 0 33419 0 0 0 930815.54042 0 1e+06 1900000 0 2500000 NA 0 2500000 0 0 0 369488.2096832 497485.292240398
1980-04-06 4 36 6 1980 399781.52258714 650079.6244095 0 85169 0 0 0 956425.27802 0 1e+06 1884250 15750 2500000 NA 0 2500000 0 0 0 374781.52258714 441668.233689581
1980-04-13 4 37 13 1980 434862.558018 606926.8758415 0 85169 0 0 0 992564.94523 0 1e+06 1868500 15750 2500000 NA 0 2500000 0 0 0 409862.558018 537605.219584581
1980-04-20 4 38 20 1980 478813.547763 733857.4401972 0 85169 0 0 0 1153945.38759598 0 1e+06 1852750 15750 2500000 NA 0 2500000 0 0 0 453813.547763 525517.109008989
1980-04-27 4 39 27 1980 958580.7924461 1578842.91002117 0 85169 294424.140153108 294424.140153108 0 1601663.27724598 362818.093245983 1e+06 1837000 15750 2500000 NA 0 2500000 0 0 0 933580.7924461 1446741.82594605
1980-05-04 5 40 4 1980 711348.7778036 1813439.25 0 92819 0 0 0 1941216.55189287 0 1e+06 1813600 23400 2500000 NA 0 2500000 0 0 0 871348.7778036 2892891.88434493
1980-05-11 5 41 11 1980 528394.69606213 1813439.25 0 92819 0 0 0 2579579.80119287 0 1e+06 1790200 23400 2500000 NA 0 2500000 0 0 142196.13742809 638394.69606213 3323771.06611098
