"date" "month" "week" "day" "year" "shortfall_1" "shortfall_2" "shortfall_5" "shortfall_6" "shortfall_7" "shortfall_8" "shortfall_9" "shortfall_10" "shortfall_11" "NumOfLowFlowBonn" "BelowFCC" "FirmEnergySales" "NonFirmSpotSales" "MaxSystemEnergy"
1979-08-05 8 1 5 1979 0 0 0 1083.67554901601 0 0 0 0 58068.4068632644 0 0 30702000 12384000 2011145.81818803
1979-08-12 8 2 12 1979 194734.616035436 479520 0 15854.8456118977 0 0 0 0 71844.6618232579 649757.426137319 0 26750688.4387597 0 764305.383964564
1979-08-19 8 3 19 1979 287166.450988805 479520 0 8401.44952858295 0 0 0 0 60201.4372876222 526711.777372459 0 26410676.2153918 0 754590.749011195
1979-08-26 8 4 26 1979 398991.254373449 479520 0 14592.5303803718 0 0 0 0 59910.3079918937 437774.800191424 0 25391910.0969293 0 725483.145626551
1979-09-02 9 5 2 1979 0 328749.447766187 0 43966.6115345491 0 0 0 0 69364.4934096418 0 0 42294000 2759101.10587878 1359170.55223381
1979-09-09 9 6 9 1979 357392.323064755 179820 0 50427.5001181106 0 0 0 0 70910.4932548964 0 0 31253462.6927336 0 892956.076935245
1979-09-16 9 7 16 1979 411850.204786505 179820 0 56177.0170745299 0 0 0 0 74818.7443632585 0 0 30857924.8324723 0 881654.995213495
1979-09-23 9 8 23 1979 758636.411610831 179820 0 57218.3861567328 0 5560.62885322733 0 0 75940.2700595685 327743.020762909 0 20230895.5936209 0 578025.588389169
1979-09-30 9 9 30 1979 900497.097362538 179820 0 55324.4623992866 18183.1883638304 31093.6923810271 0 0 74801.0381797459 728419.717999176 0 16776259.5923112 0 479321.702637462
1979-10-07 10 10 7 1979 805336.108376703 359640 0 51734.8026477979 1301.15667329892 123513.532538864 0 0 71141.8876375579 0 0 21315284.6068154 0 609008.131623297
1979-10-14 10 11 14 1979 877061.202851896 359640 0 55311.7482756429 2124.04899493257 124719.488355536 0 0 74843.217342784 0 0 20013296.7001836 0 571808.477148104
1979-10-21 10 12 21 1979 914238.548263374 359640 0 50433.9436874895 8280.85611194972 131979.953977243 0 0 72486.3208421439 0 0 19920480.0107819 0 569156.571736626
1979-10-28 10 13 28 1979 846805.504937442 359640 0 32204.1945309977 1894.93330387319 107233.47511568 0 0 54401.5383994849 0 0 23489026.9271895 0 671115.055062558
1979-11-04 11 14 4 1979 749724.814777258 359640 0 8276.8829998291 0 75703.7327375582 0 0 62002.6207331641 0 0 28095241.482796 0 802721.185222742
1979-11-11 11 15 11 1979 0 3081377.78685788 0 15043.7911621707 0 0 0 0 71285.8890361502 0 0 52878000 3263026.47598457 1666182.21314212
1979-11-18 11 16 18 1979 0 3091071.17134525 0 18299.8366320495 0 0 0 0 74282.9675922372 0 0 51366000 3059465.40174982 1613288.82865475
1979-11-25 11 17 25 1979 667846.491011133 3236760 0 16196.0544437269 0 93151.4664532053 0 0 72040.7561676272 0 0 26429518.8146103 0 755129.108988867
1979-12-02 12 18 2 1979 880308.68607061 3236760 0 19563.5276658442 0 116547.918863036 71.9231262176336 0 75193.339456651 0 0 17482853.9875287 0 499510.11392939
1979-12-09 12 19 9 1979 725681.01375174 1817800.38 0 14560.7702561083 0 80521.6062624935 71.9231262176336 0 70250.5069467474 0 0 25915798.5186891 0 740451.38624826
1979-12-16 12 20 16 1979 785141.730503565 1811266.92 0 13072.0834318691 0 70645.5359434478 70.6883860133837 0 66678.9080559538 0 0 26855649.4323752 0 767304.269496435
1979-12-23 12 21 23 1979 1006608.172202 1804733.46 0 15506.6121906204 0 87012.4780566502 70.5710474586067 0 72112.1404087679 0 0 22125299.9729299 0 632151.427797998
1979-12-30 12 22 30 1979 1071707.8938304 1438560 0 15502.2887015375 0 88184.5251191768 70.4208513134645 0 71199.410270045 0 0 22867785.7159358 0 653365.306169596
1980-01-06 1 23 6 1980 982235.261474675 719280 0 18832.3243262752 0 70601.8823096098 69.932597816791 0 73566.108312622 0 0 26116810.2483864 0 746194.578525325
1980-01-13 1 24 13 1980 1045179.52310024 719280 0 19388.2643425345 0 83212.5964422336 70.6679688640716 0 74490.1492675479 0 0 24031243.4914915 0 686606.956899758
1980-01-20 1 25 20 1980 1100902.21351902 719280 0 4820.97210243119 0 91533.8757817707 71.8544787732508 0 65441.5300357814 0 0 22198431.7268344 0 634240.906480982
1980-01-27 1 26 27 1980 1109202.66351891 719280 0 7656.27827493377 0 85019.1360500679 71.9231262176336 0 59800.6592626501 0 0 22025398.3768382 0 629297.096481091
1980-02-03 2 27 3 1980 1108367.41151307 719280 0 0 0 0 71.9231262176336 0 71644.4959426667 0 0 22172114.5970427 0 633488.988486934
1980-02-10 2 28 10 1980 1026657.32501336 959040 0 0 0 0 71.9231262176336 0 63857.7772993558 0 0 21108894.6245325 0 603111.274986642
1980-02-17 2 29 17 1980 947225.431655432 959040 0 0 0 0 71.9231262176336 0 63336.6175138504 0 0 19965937.8920599 0 570455.368344568
1980-02-24 2 30 24 1980 791734.029118472 959040 0 0 0 0 71.9231262176336 0 39163.3474062429 0 0 21485063.9808535 0 613858.970881528
1980-03-02 3 31 2 1980 676798.900972403 959040 0 0 0 0 71.9231262176336 0 17055.0505924707 0 0 21584720.4659659 0 616706.299027597
