"date" "month" "week" "day" "year" "MICAA" "REVEL" "ARROW" "DUNCA" "LIBBY" "BONFE" "CORRA" "FLASF" "FLAPO" "NOXON" "CABIN" "ALBEN" "BOUND" "GCOUL" "CHIEF" "WELLS" "ROCKY" "RISLA" "WANAP" "PRIRA" "UpSnake" "MdlSnake" "BROWN" "OXBOW" "HCANY" "DWORS" "LGRAN" "LGOOS" "LMONU" "ICEHA" "MCNAR" "JDAYY" "DALLES" "BONNE"
1979-08-05 8 1 5 1979 220562.8041147 316007.441614699 345525.577326599 32116.0539 84800.1614608 9904.79124479 1150106.68960079 10658.613405631 79149.4944 221167.80342 231086.483895021 225038.190834821 228740.019650131 1706417.84278752 3504154.80049252 3506546.21471252 3527699.43034852 3545246.18536152 3530696.97261652 3522941.13447252 58690.936845 107830.561745 347326.844545 488588.86608001 484143.09720271 12266.062550868 817149.437412572 815942.971144672 583134.34245581 580781.47279181 4023194.40362433 3998890.78334433 4078506.82318433 4163833.12747933
1979-08-12 8 2 12 1979 258468.41793414 344263.981634138 345831.106924238 34805.73431 78560.5548195 5583.58549495001 79077.37816435 7891.884781228 73687.632795 208767.520295 212400.472944216 215087.812242716 215504.174558026 644696.158486615 958999.7976409 960570.7691709 978262.6652629 994167.1615469 979145.263624 971866 68299.427025 143084.078845 324323.287545 318675.991531752 311556.411662052 10697.868426054 612069.466493535 609588.402357735 392119.581930252 389514.704178252 1271086.07308825 1243789.17231825 1321605.82273825 1420984.07670425
1979-08-19 8 3 19 1979 246990.88324152 300852.296441519 309999.290697399 38554.72375 76827.5370598 5358.29815582 76449.09005702 7335.946770941 72465.9741386 217739.6415976 221009.9256976 219999.2417416 219285.55697689 656367.31680131 959317.1850068 971135.3078378 982800.5869458 994046.8948818 976262.500689 971866 77566.3140317 213323.1183617 572800.5939017 563440.505339821 547526.686611921 13486.193668206 715550.92703506 694342.00786625 570943.976372111 551166.904986111 1445656.39381611 1398739.06794211 1464376.45374211 1544029.72546911
1979-08-26 8 4 26 1979 246410.5664262 284455.735826199 358037.151643019 41262.27042 77515.0035647 41112.8913421595 123599.03869466 7567.467581124 69804.44987 204294.77753 206797.595138235 200286.451854335 198279.738999615 708774.692227294 938831.0992173 983170.5742263 992305.4548903 1001699.2465123 980385.143099 971866 61726.4483809 155771.1617009 414738.5559109 409694.736343647 403693.852571647 15985.442889989 629595.198704993 637580.217380493 546113.470426147 555208.885902147 1466483.75813215 1455027.20790815 1533655.21283415 1632966.70265015
1979-09-02 9 5 2 1979 210824.20729547 242409.31999547 253465.04281985 43134.30798 73880.4956619 80388.0880927204 162095.32727772 7769.061693645 176257.645878618 298518.460288618 305159.964939219 314995.060182519 317491.809495449 812953.21200302 2245832.34708394 2281567.59184694 2297605.65718894 2308031.75112494 2295273.78691684 2292342.23425484 52223.8817754 108506.7407754 347198.2947054 342572.301538646 335768.894669446 12355.793183071 568519.235776627 568852.124807397 423182.897009216 423948.866399216 2652951.60756405 2658736.82921905 2732294.01284905 2794396.76524505
1979-09-09 9 6 9 1979 162238.971357231 233164.27435723 339635.31672066 49237.03197 63202.0334475 472660.885268436 594605.731457646 5710.801398973 52748.238538 136553.030468 146304.734682337 163122.689170917 263683.024204499 1211461.7982028 1457820.31070648 1512269.25059348 1502128.63920058 1505867.82918858 1473813.66864518 1466279.38801818 45962.5531207 76484.6411407002 336230.1545007 334251.461226149 330686.011779349 6707.844854143 478817.550860176 481403.035502796 400435.785996569 402484.513747669 1826284.85457585 1828273.51220285 1894114.59157885 1864987.65145475
1979-09-16 9 7 16 1979 172005.149925553 241544.271325552 406064.760897972 40676.75485 52311.7905573 539355.609241772 627532.738564372 4296.931331194 52095.170372 113779.354212 121484.520994057 136117.744898257 231964.197439034 1261991.18616138 1551244.95562753 1570303.28479053 1586114.90872153 1599375.94393353 1593599.22146813 1595285.36468013 42202.848055 72175.5126049999 320589.925575 318299.561353441 314151.342319641 5293.241874755 398992.407340641 398950.563455391 348542.738160391 348223.137009391 1953118.40141952 1983494.38903952 2040427.43501952 2014125.68072452
1979-09-23 9 8 23 1979 123159.310889731 166032.050289732 156489.455862032 14220.25377 42556.6894146 46827.2214237599 83549.5672077599 3153.728757283 51306.94681 104675.19955 111618.170631285 125257.029530085 129512.511501013 449276.484607645 946150.375856 949591.2962 978383.954493 994600.713307 1004166.2109106 1012422.6894146 39563.277734 77509.1472939998 314895.147484 312662.766404253 309126.010399153 4424.966813084 384534.247277153 384123.035264963 333392.600682963 332652.098546963 1402301.30218156 1464176.31475156 1524738.86337156 1508311.93008956
1979-09-30 9 9 30 1979 137388.996993 180335.266793002 169834.167962882 26099.59109 41610.8665389 44895.58129837 86926.35809557 2603.032193214 52817.050119 116971.431909 123392.409368298 135084.589966098 138717.018297248 395961.50679903 718771.977846351 714427.672999351 721702.825592351 727504.867376351 720263.242939251 718442.383394251 43895.058826 100893.920196 348938.882206 345881.629086484 339487.404805784 4338.246643757 410829.105940784 405848.975459844 351575.313478844 348468.966120044 1047805.3547743 1075792.9429343 1124337.9767763 1107635.2328533
1979-10-07 10 10 7 1979 69678.39144892 212756.467047597 276799.985418397 16901.72777 39487.151487701 50065.7496799124 83263.8417032821 2188.168752091 54004.818833 132336.469618 136819.080778 162166.81311084 176415.330817578 935717.691897753 973363.620020653 977207.869399653 972465.545729653 972947.733267653 959186.651775453 952829.134979253 37527.2276234 117425.1150804 318147.060397399 318103.537704415 318016.926837803 6167.475052866 460667.223998503 463535.203604263 396838.361566063 399271.880417673 1336544.38093693 1378120.22177193 1454562.87759493 1420352.00291293
