"date" "month" "week" "day" "year" "MICAA" "REVEL" "ARROW" "DUNCA" "LIBBY" "BONFE" "CORRA" "FLASF" "FLAPO" "NOXON" "CABIN" "ALBEN" "BOUND" "GCOUL" "CHIEF" "WELLS" "ROCKY" "RISLA" "WANAP" "PRIRA" "UpSnake" "MdlSnake" "BROWN" "OXBOW" "HCANY" "DWORS" "LGRAN" "LGOOS" "LMONU" "ICEHA" "MCNAR" "JDAYY" "DALLE" "BONNE"
1979-08-05 8 1 5 1979 215912.804114699 316007.441614699 342211.5773266 1101464.0539 2000 9904.79124479 1152273.68960079 23008.37976035 79149.4944 221167.80342 231086.483895021 225038.190834821 228740.019650131 3431417.84278752 3504154.80049252 3506546.21471252 3527699.43034852 3545246.18536152 3530696.97261652 3522941.13447252 58690.9368449999 107830.561745 492856.844545 488588.86608001 484143.09720271 239903.850559861 817149.437412572 815942.971144672 583134.34245581 580781.47279181 4023194.40362433 3998890.78334433 4078506.82318433 4163833.12747933
1979-08-12 8 2 12 1979 258468.417934138 344263.981634138 345831.106924239 34805.73431 2000 5583.58549495001 79077.3781643499 27389.1056444 73687.632795 208767.520295 212400.472944216 215087.812242716 215504.174558026 887212.9397933 958999.7976409 960570.7691709 978262.6652629 994167.1615469 979145.263624 971866 68299.4270250001 143084.078845 324323.287545 318675.991531752 311556.411662052 219271.130861483 612069.466493535 609588.402357735 392119.581930252 389514.704178252 1271086.07308825 1243789.17231825 1321605.82273825 1420984.07670425
1979-08-19 8 3 19 1979 246990.883241519 300852.296441519 309999.2906974 38554.72375 2000 5358.29815582 76449.09005702 28098.86659506 72465.9741386001 217739.6415976 221009.9256976 219999.2417416 219285.55697689 896582.3148864 959317.1850068 971135.3078378 982800.5869458 994046.8948818 976262.500689 971866 77566.3140317001 213323.1183617 572800.5939017 563440.505339821 547526.686611921 110256.297976139 715550.92703506 694342.00786625 570943.976372111 551166.904986111 1445656.39381611 1398739.06794211 1464376.45374211 1544029.72546911
1979-08-26 8 4 26 1979 246410.566426199 284455.735826199 358037.151643019 41262.27042 38323.2569047995 41112.8913421595 123599.038694659 7843.989057941 69804.4498699999 204294.77753 206797.595138235 200286.451854335 198279.738999615 873250.224 938831.0992173 983170.5742263 992305.4548903 1001699.2465123 980385.143099 971866 61726.4483809001 155771.1617009 414738.5559109 409694.736343647 403693.852571647 111247.401393346 629595.198704993 637580.217380493 546113.470426147 555208.885902147 1466483.75813215 1455027.20790815 1533655.21283415 1632966.70265015
1979-09-02 9 5 2 1979 210824.20729547 242409.31999547 253465.04281985 43134.30798 73880.4956619004 80388.0880927204 162095.32727772 134332.633174818 176257.645878618 298518.460288618 305159.964939219 314995.060182519 317491.809495449 2182745.90083854 2245832.34708394 2281567.59184694 2297605.65718894 2308031.75112494 2295273.78691684 2292342.23425484 52223.8817754001 108506.7407754 347198.2947054 342572.301538646 335768.894669446 143476.293627181 568519.235776627 568852.124807397 423182.897009216 423948.866399216 2652951.60756405 2658736.82921905 2732294.01284905 2794396.76524505
1979-09-09 9 6 9 1979 162238.97135723 233164.27435723 339635.31672066 49237.03197 461602.137674538 472660.885268436 581907.731457646 120622.506480616 148761.522329142 136553.030468 146304.734682337 259135.972962059 263683.024204499 1429041.13426758 1457820.31070648 1512269.25059348 1502128.63920058 1505867.82918858 1473813.66864518 1466279.38801818 45962.5531207002 76484.6411407003 336230.1545007 334251.461226149 330686.011779349 61972.294711827 478817.550860176 481403.035502796 400435.785996569 402484.513747669 1826284.85457585 1828273.51220285 1894114.59157885 1864987.65145475
1979-09-16 9 7 16 1979 172005.149925552 241544.271325552 406064.760897973 40676.75485 534011.686330262 539355.609241772 614835.738564372 120385.226249552 143502.848721866 113779.354212 121484.520994057 227525.423248123 231964.197439034 1490118.12566803 1551244.95562753 1570303.28479053 1586114.90872153 1599375.94393353 1593599.22146813 1595285.36468013 42202.848055 72175.5126050003 320589.925575 318299.561353441 314151.342319641 27767.6 398992.407340641 398950.563455391 348542.738160391 348223.137009391 1953118.40141952 1983494.38903952 2040427.43501952 2014125.68072452
1979-09-23 9 8 23 1979 123159.310889732 166032.050289732 156489.455862032 14220.25377 42556.6894145999 46827.2214237599 109975.6894146 35807.18215318 51306.9468100001 104675.19955 111618.170631285 125257.029530085 129512.511501013 892101.8620721 946150.375856 949591.2962 978383.954493 994600.713307 1004166.2109106 1012422.6894146 39563.2777339998 77509.1472939998 314895.147484 312662.766404253 309126.010399153 27767.6 384534.247277153 384123.035264963 333392.600682963 332652.098546963 1402301.30218156 1464176.31475156 1524738.86337156 1508311.93008956
1979-09-30 9 9 30 1979 137388.996993002 180335.266793002 169834.167962882 26099.59109 41610.8665389 44895.58129837 109029.8665389 36804.213996545 52817.050119 116971.431909 123392.409368298 135084.589966098 138717.018297248 689829.853763151 718771.977846351 714427.672999351 721702.825592351 727504.867376351 720263.242939251 718442.383394251 43895.058826 100893.920196 348938.882205999 345881.629086484 339487.404805784 27767.6 410829.105940784 405848.975459844 351575.313478844 348468.966120044 1047805.3547743 1075792.9429343 1124337.9767763 1107635.2328533
1979-10-07 10 10 7 1979 180592.053487597 212756.467047597 651890.070787503 17393.8766649298 49471.6059677424 50065.7496799124 117382.754862672 43944.6219315101 58269.3730901571 132336.469618 136819.080778 166431.367367997 176415.330817578 935717.691897753 973363.620020653 977207.869399653 972465.545729653 972947.733267653 959186.651775453 952829.134979253 37527.2276233998 117425.115080399 318147.060397399 318103.537704415 318016.926837803 28828.6747396998 460667.223998503 463535.203604263 396838.361566063 399271.880417673 1336544.38093693 1378120.22177193 1454562.87759493 1420352.00291293
