"date" "month" "week" "day" "year" "ARFirmEngSupReq" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1979-08-05 8 1 5 1979 0 37212830.8116844 3817079.17466904 0 3788529.96444192 3827078.17466904 0
1979-08-12 8 2 12 1979 0 36580929.0378728 5583060.34462416 0 2177422.78106315 5593059.34462416 0
1979-08-19 8 3 19 1979 0 36449957.4161333 7288566.87230815 0 2080715.53932903 7298565.87230815 0
1979-08-26 8 4 26 1979 0 36323527.9029638 9024756.37233353 0 1977004.7335447 9034755.37233353 0
1979-09-02 9 5 2 1979 0 35846298.7978603 10191162.139641 0 2809887.82983285 10201161.139641 0
1979-09-09 9 6 9 1979 0 106069773.125303 9363359.82271412 0 2462469.58346091 9373358.82271412 0
1979-09-16 9 7 16 1979 0 91731082.2339661 8600571.54494298 0 2503597.97471544 8610570.54494298 0
1979-09-23 9 8 23 1979 0 36709983.8141676 8562018.26415959 0 1633334.92218597 8572017.26415959 0
1979-09-30 9 9 30 1979 0 37050472.0775566 8505488.32122896 0 1755052.93421981 8515487.32122896 0
1979-10-07 10 10 7 1979 21515.7609434017 44094243.9337646 8726352.36527156 79322.7237245312 1350594.87627547 8690453.58804543 363600
1979-10-14 10 11 14 1979 64800.0606793963 39371275.0327239 8357193.25771712 225691.589769926 1239131.61023007 8245247.64297267 363600
1979-10-21 10 12 21 1979 70616.3361406349 36785859.8065135 7934426.19903076 242142.016033184 1257586.78396682 7806374.1467011 363600
1979-10-28 10 13 28 1979 40205.0642019037 36414671.6312235 7503553.78523642 142527.190067786 1392107.20993221 7432337.22587645 363600
1979-11-04 11 14 4 1979 162734.706807028 36316847.6503225 7189696.55209565 598528.422912208 971011.577087792 6859363.93447854 363600
1979-11-11 11 15 11 1979 184081.914531322 29867293.7902121 7804606.6435043 640104.732286928 885803.267713072 7377949.80850062 3272400
1979-11-18 11 16 18 1979 120878.424189595 26250646.3356256 4473887.60220825 656236.404280698 826039.595719302 4008813.06594253 3272400
1979-11-25 11 17 25 1979 18161.7326499415 22794544.4914495 1290888.64160602 583072.29821758 855571.70178242 893666.122576199 3272400
1979-12-02 12 18 2 1979 0 21428077.8728351 26076.3332508571 586042.673894626 808969.326105374 9999 3272400
