"date" "month" "week" "day" "year" "MICAA" "ARROW" "DUNCA" "CORRA" "LIBBY" "FLASF" "GCOUL" "DWORS" "BROWN" "UpSnake" "MdlSnake"
1979-08-05 8 1 5 1979 20075500 7327300 353400 589210 5664520.1614608 3564100.23364528 7121300 2836602.21199101 1183000 2577600 4242400
1979-08-12 8 2 12 1979 20075500 7327300 353400 589210 5741080.7162803 3544603.01278211 6878783.21869331 2628028.94955558 1183000 2577600 4242400
1979-08-19 8 3 19 1979 20075500 7327300 353400 589210 5815908.2533401 3523840.09295799 6638568.22060822 2531258.84524764 1183000 2577600 4242400
1979-08-26 8 4 26 1979 20075500 7327300 353400 589210 5855100 3523563.57148117 6474092.68883552 2435996.88674429 1183000 2577600 4242400
1979-09-02 9 5 2 1979 20075500 7327300 353400 589210 5855100 3397000 5104300 2304876.38630018 1183000 2577600 4242400
1979-09-09 9 6 9 1979 20075500 7327300 353400 601908 5456699.89577296 3282088.29491836 4886720.66393523 2249611.93644249 1183000 2577600 4242400
1979-09-16 9 7 16 1979 20075500 7327300 353400 614605 4975000 3166000 4658593.72442858 2227137.57831725 1183000 2577600 4242400
1979-09-23 9 8 23 1979 20075500 7327300 353400 588178.87779316 4975000 3133346.5466041 4215768.34696412 2203794.94513033 1183000 2577600 4242400
1979-09-30 9 9 30 1979 20075500 7327300 353400 566075.36934983 4975000 3099145.36480077 3921900 2180365.59177409 1183000 2577600 4242400
1979-10-07 10 10 7 1979 19964586.3379613 6952209.91463089 352907.85110507 531956.45619044 4965015.54551996 3057388.91162135 3921900 2157704.39208726 1183000 2577600 4242400
1979-10-14 10 11 14 1979 19871915.8285543 6596418.29175227 351850.326971758 481080.488090623 4950825.94075224 3007952.21934851 3921900 2132648.27412027 1183000 2577600 4242400
1979-10-21 10 12 21 1979 19775710.8360411 6258263.09893514 351625.533612236 449161.805276301 4946640.57242118 2968684.95076651 3921900 2120719.75699329 1183000 2577600 4242400
1979-10-28 10 13 28 1979 19706020.8161808 5961223.92624171 352336.456799605 440345.220048538 4953856.12813294 2945370.20717646 3921900 2124614.47349033 1183000 2577600 4242400
1979-11-04 11 14 4 1979 19528813.7470921 5554556.84033792 348891.496752898 442722.950768143 4909507.59911572 2887088.73891126 3992949.06102308 2104677.09517347 1183000 2577600 4242400
1979-11-11 11 15 11 1979 18970905.8988721 2975105.49102948 347831.532310421 397214.254661041 4818642.35484352 2812107.88656471 3953004.18198367 2074242.63126594 1183000 2577600 4242400
1979-11-18 11 16 18 1979 18411470.5191621 518496.653189159 345909.250597013 343504.262528041 4739655.75877073 2728417.53033482 3921900 2040752.49545311 1183000 2577600 4242400
1979-11-25 11 17 25 1979 17956178.96 227340 343474.363781779 292077.477364041 4667282.60849948 2640404.96422931 3921900 2009221.79289405 1183000 2577600 4242400
1979-12-02 12 18 2 1979 17766671.3427511 227340 339694.337184687 241195.427094041 4585585.58261175 2549102.18008431 3921900 1973435.00712976 1183000 2577600 4242400
1979-12-09 12 19 9 1979 17193073.7711211 229049.707679875 345317.40964184 766683 3782747.40503537 2479710.89236316 3982755.21781339 1980451.84214018 1183000 2577600 4242400
1979-12-16 12 20 16 1979 16619981.8669611 240180.831911809 350512.230245612 749878.5719 3724156.17194561 2395506.81997974 3988555.23865959 1960705.87462024 1183000 2577600 4242400
