"date" "month" "week" "day" "year" "BRPrelim_c" "TotalFloodSpace_c" "TotalMcNarySharedWater_c" "BRIn" "GCIn"
1979-08-05 8 1 5 1979 492856.844545 20778.0000000006 1087620.39510608 347326.844545 1706417.84278752
1979-08-12 8 2 12 1979 324323.287545 647221.158486616 1144683.72906241 324323.287545 644696.158486615
1979-08-19 8 3 19 1979 572800.5939017 419039.000000001 1198748.34629809 572800.5939017 656367.316801309
1979-08-26 8 4 26 1979 414738.5559109 464443.071131001 1237663.57148117 414738.5559109 708774.692227294
1979-09-02 9 5 2 1979 347198.2947054 1263439.62232897 1111100 347198.2947054 812953.21200302
1979-09-09 9 6 9 1979 336230.1545007 1705900.18622099 1092201.5787095 336230.1545007 717048.410184625
1979-09-16 9 7 16 1979 320589.925575 1667856.21477673 623419.364680127 320589.925575 638571.821481251
1979-09-23 9 8 23 1979 314895.147484 550848.240597448 40556.6894145999 314895.147484 408719.795193045
1979-09-30 9 9 30 1979 348938.882205999 547774.316251423 39610.8665389 348938.882206 356350.64026013
1979-10-07 10 10 7 1979 318147.060397399 964072.715474992 37487.1514877006 318147.060397399 487485.63537014
1979-10-14 10 11 14 1979 283515.377828708 979744.808877128 23124.8447959544 283515.377828708 333205.8596591
1979-10-21 10 12 21 1979 338512.637108955 1334251.48570657 15803.8708422408 338512.637108955 297965.205547889
1979-10-28 10 13 28 1979 533130.598269986 1594180.32670594 19148.8619611813 533130.598269985 375496.04139054
1979-11-04 11 14 4 1979 337114.932435 2335638.74748205 21321.2114129383 337114.932435 487563.061023084
1979-11-11 11 15 11 1979 285563.9929 1927373.48597598 0 285563.9929 376569.120960584
1979-11-18 11 16 18 1979 249099.402 4092315.75399429 0 249099.402 343375.602355164
1979-11-25 11 17 25 1979 248297.2286 3262099.98538586 0 248297.2286 349837.668160584
1979-12-02 12 18 2 1979 246825.3248 1370944.25525168 0 246825.3248 318166.547660772
1979-12-09 12 19 9 1979 345641.5322 3128938.31838372 0 345641.5322 546569.045976559
1979-12-16 12 20 16 1979 315738.7477 2738196.51983024 0 315738.7477 422314.020846192
1979-12-23 12 21 23 1979 289574.0569 1824999.17576164 0 289574.0569 423942.470700772
1979-12-30 12 22 30 1979 306671.6403 1961635.51312797 0 306671.6403 440695.781573873
1980-01-06 1 23 6 1980 242126.0444 2799641.43662379 0 242126.0444 380112.730586354
1980-01-13 1 24 13 1980 238160.6202 2346834.85188129 0 238160.6202 367999.321046354
1980-01-20 1 25 20 1980 469465.1226 1759362.07694559 0 469465.1226 362138.965646354
1980-01-27 1 26 27 1980 326951.6347 1719262.91220859 0 326951.6347 348766.966376354
1980-02-03 2 27 3 1980 264478.3271 1927958.75869125 0 251478.3271 322361.809079865
1980-02-10 2 28 10 1980 343256.7453 1634994.44260856 0 305756.7453 294910.536159865
1980-02-17 2 29 17 1980 340444.219599999 1464275.85256003 0 302944.2196 302338.554289865
1980-02-24 2 30 24 1980 720076.4973 1009039.71178801 0 682576.497300001 327902.128879865
1980-03-02 3 31 2 1980 616998.141995899 545532.409430619 0 579498.141995899 461579.982585478
1980-03-09 3 32 9 1980 491340.532244219 540497.25 0 466340.532244219 673175.598021398
1980-03-16 3 33 16 1980 423982.9269895 540497.25 0 398982.9269895 491389.332132995
1980-03-23 3 34 23 1980 422320.26891525 540497.25 0 397320.26891525 494980.662665398
1980-03-30 3 35 30 1980 394429.5407332 540497.25 0 369429.5407332 533485.292240398
1980-04-06 4 36 6 1980 399704.21331019 540497.25 0 374704.21331019 425918.233689581
1980-04-13 4 37 13 1980 433600.875026 540497.25 0 408600.875026 521855.219584581
1980-04-20 4 38 20 1980 468170.98428 540497.25 0 443170.98428 509767.109008989
1980-04-27 4 39 27 1980 946778.5602301 540497.25 0 921778.5602301 1411626.88347605
1980-05-04 5 40 4 1980 744948.1650052 1790039.25 0 864948.1650052 2869491.88434493
1980-05-11 5 41 11 1980 509411.28446161 1790039.25 218803.263860781 629411.28446161 3300371.06611098
1980-05-18 5 42 18 1980 563132.772349 1268976.72227844 791300 683132.772349 2780336.41856747
1980-05-25 5 43 25 1980 373976.273345162 123983.25 754142.26067121 493976.273345162 1628898.26067121
1980-06-01 6 44 1 1980 632750.864877 624508.558619947 1001445.12909598 752750.864877 2874032.74504378
1980-06-08 6 45 8 1980 993798.508498 525832.8107 1432702.71057708 993798.508498 2010546.37608953
1980-06-15 6 46 15 1980 725689.625111911 720333.687322926 1671400 725689.625111911 1672454.6516119
1980-06-22 6 47 22 1980 457372.4571536 522633.91354657 1671400 457372.4571536 2071625.13427181
1980-06-29 6 48 29 1980 230950.15512 455657.997567101 1671400 230950.15512 1610432.27597156
1980-07-06 7 49 6 1980 269007.8225186 121483.25 1671400 269007.8225186 1458049.17673144
1980-07-13 7 50 13 1980 102019.933011001 147345.75 1671400 102019.933011001 704554.02729935
1980-07-20 7 51 20 1980 75940.9341107 277287.231357375 1671400 47060.8496770003 678990.854054115
1980-07-27 7 52 27 1980 91191.6868166 368871.705766274 1489145.46173828 19014.1122370002 474100.854621965
1980-08-03 8 1 3 1980 176913.4263867 121483.25 880100 40971.0854 446581.119231931
1980-08-10 8 2 10 1980 103465.3775004 671835.464591806 880100 46259.5878529997 379701.999153054
1980-08-17 8 3 17 1980 110857.885997 600893.331175046 880100 47019.1985520003 435898.961258742
