"date" "month" "week" "day" "year" "shortfall_1" "shortfall_2" "shortfall_5" "shortfall_6" "shortfall_7" "shortfall_8" "shortfall_9" "shortfall_10" "shortfall_11" "NumOfLowFlowBonn" "BelowFCC" "FirmEnergySales" "NonFirmSpotSales" "MaxSystemEnergy"
1979-08-05 8 1 5 1979 0 0 0 0 0 456.416572756745 0 0 63720.1992503091 0 0 30702000 19056000 1554745.83004967
1979-08-12 8 2 12 1979 263994.397580554 479520 0 2907.51475661501 0 114549.693762204 0 0 66192.8694362132 0 0 24326596.0846806 0 695045.602419446
1979-08-19 8 3 19 1979 334605.45108682 479520 0 0 0 105701.98290991 0 0 61351.6483471895 0 0 24750311.2119613 0 707151.74891318
1979-08-26 8 4 26 1979 386282.97395852 479520 0 2084.31380752409 0 96149.2965229682 0 0 58760.0969323264 0 0 25836699.9114518 0 738191.42604148
1979-09-02 9 5 2 1979 496019.466538765 479520 0 12446.1609603256 0 101155.602604245 0 0 69364.4934096418 0 0 24891024.6711432 0 711172.133461235
1979-09-09 9 6 9 1979 625677.536410371 179820 0 0 0 0 0 0 87980.7477961603 0 0 21863480.225637 0 624670.863589629
1979-09-16 9 7 16 1979 638109.496540266 179820 0 0 0 0 0.916063702778956 0 74818.7443632585 0 0 22938849.6210907 0 655395.703459734
1979-09-23 9 8 23 1979 678206.203474497 179820 0 0 0 0 2.56010837717554 0 75940.2700595685 0 0 23045952.8783926 0 658455.796525503
1979-09-30 9 9 30 1979 705274.550396359 179820 0 0 0 0 3.79736721500672 0 74801.0381797459 0 0 23609048.7361274 0 674544.249603641
1979-10-07 10 10 7 1979 617087.804956065 359640 0 0 0 0 6.66416207490647 0 71141.8876375579 0 0 27903975.2265377 0 797256.435043935
1979-10-14 10 11 14 1979 757153.135299619 359640 0 0 0 0 9.14767268184414 0 74843.217342784 0 0 24210079.0645133 0 691716.544700381
1979-10-21 10 12 21 1979 815414.317331231 359640 0 0 0 0 10.5027833264571 0 72486.3208421439 0 0 23379328.0934069 0 667980.802668769
1979-10-28 10 13 28 1979 824171.781448201 359640 0 0 0 0 13.2600789992318 0 54401.5383994849 0 0 24281207.249313 0 693748.778551799
1979-11-04 11 14 4 1979 877459.214369706 359640 0 0 0 0 13.8500847816197 0 62002.6207331641 0 0 23624537.4970603 0 674986.785630294
1979-11-11 11 15 11 1979 918443.176566892 3236760 0 0 0 0 0 0 71285.8890361502 256877.724116504 0 20679610.8201588 0 590846.023433107
1979-11-18 11 16 18 1979 1053311.18828224 3236760 0 0 0 0 0 0 74282.9675922372 946442.805029105 0 14448742.4101216 0 412821.21171776
1979-11-25 11 17 25 1979 986145.546442817 3236760 0 0 0 0 0 0 72040.7561676272 872803.999281355 0 15289051.8745014 0 436830.053557183
1979-12-02 12 18 2 1979 950083.984360175 3236760 0 0 0 0 0 0 75193.339456651 949744.38787609 0 15040718.5473939 0 429734.815639826
1979-12-09 12 19 9 1979 506034.884480784 1817800.38 0 0 0 0 0 0 70250.5069467474 0 0 33603413.0431726 0 960097.515519216
1979-12-16 12 20 16 1979 905580.651047657 1811266.92 0 0 0 0 0 0 66678.9080559538 441190.348215089 0 22640287.213332 0 646865.348952343
1979-12-23 12 21 23 1979 1038699.87513031 1804733.46 0 0 0 0 0 0 72112.1404087679 440426.42403509 0 21002090.3704393 0 600059.724869693
1979-12-30 12 22 30 1979 1110005.1418947 1438560 0 0 0 0 0 0 71199.410270045 480255.058020195 0 21527382.0336855 0 615068.0581053
1980-01-06 1 23 6 1980 787755.361536404 719280 0 0 0 0 0 0 69964.7887891486 0 0 32923606.7462259 0 940674.478463596
1980-01-13 1 24 13 1980 808365.543028824 719280 0 0 0 0 0 0 70888.8297440745 0 0 32319732.7939912 0 923420.936971176
1980-01-20 1 25 20 1980 685270.077532419 719280 0 0 0 0 0 0 61840.210512308 0 0 36745556.4863653 0 1049873.04246758
1980-01-27 1 26 27 1980 891539.501317093 719280 0 0 0 0 0 0 56199.3397391767 0 0 29643609.0539017 0 846960.258682907
1980-02-03 2 27 3 1980 1072130.14015094 719280 0 0 0 0 0 0 68979.5194952964 218189.375397506 0 23440419.094717 0 669726.259849058
1980-02-10 2 28 10 1980 782911.469091895 959040 0 0 0 0 0 0 63857.7772993558 0 0 29639999.5817837 0 846857.130908106
1980-02-17 2 29 17 1980 831820.619133464 959040 0 0 0 0 0 0 63336.6175138504 203945.150353434 0 24005106.3303288 0 685860.180866536
1980-02-24 2 30 24 1980 642245.999232519 959040 0 0 927.621462077339 0 0 0 39163.3474062429 202847.168777747 0 26717145.0268618 0 763347.00076748
1980-03-02 3 31 2 1980 449420.256974411 959040 0 0 0 0 0 0 17055.0505924707 0 0 29542973.0058956 0 844084.943025589
1980-03-09 3 32 9 1980 0 1898014.11903739 0 0 0 0 0 0 28122.8137748775 0 0 41842500 3610603.72883533 1335445.88096261
1980-03-16 3 33 16 1980 0 1948915.39288148 0 4990.43295874073 0 0 0 0 44005.5016862573 0 0 38367000 2297350.86365773 1185244.60711852
1980-03-23 3 34 23 1980 178754.598287038 2037960 0 5988.23207408059 0 0 0 0 47314.3030325555 0 0 28600197.5599537 0 817148.501712962
1980-03-30 3 35 30 1980 311990.358286231 2037960 0 7449.64556785678 17703.4603101173 0 0 0 48451.7537522057 268315.728711392 0 20464921.4599819 0 584712.041713769
1980-04-06 4 36 6 1980 345487.494567992 1918080 0 41714.248173127 23781.4017910178 14544.9493068647 0 0 56099.8792843828 179681.645094919 0 17184132.1901203 0 490975.205432008
1980-04-13 4 37 13 1980 237811.63251477 1918080 0 37086.6476433103 17273.7373783083 5566.51322303097 0 0 53276.8583383483 130029.250219189 0 18844397.861983 0 538411.36748523
1980-04-20 4 38 20 1980 62226.7517921623 1918080 0 25383.4926291035 3550.36861484527 0 0 0 46263.3649722523 0 0 22881479.1872743 0 653756.548207838
1980-04-27 4 39 27 1980 0 1264513.40897579 0 0 0 0 0 0 0 0 0 22974000 11960268.6157431 1309966.59102421
1980-05-04 5 40 4 1980 0 735080.508551474 0 0 0 0 0 0 0 0 0 24662400 13832439.4563352 1527999.49144853
1980-05-11 5 41 11 1980 0 772541.292656731 0 0 0 0 0 0 0 0 0 26350800 13203098.2833669 1538778.70734327
1980-05-18 5 42 18 1980 0 781288.924966695 0 0 0 0 0 0 0 0 0 28039200 13056138.0605595 1578271.0750333
1980-05-25 5 43 25 1980 0 942054.908147761 0 0 0 0 0 0 20107.8468838953 0 0 29727600 10355269.5431176 1465745.09185224
1980-06-01 6 44 1 1980 0 715318.828863155 0 0 0 0 0 0 0 0 0 31416000 14164435.675099 1740721.17113685
1980-06-08 6 45 8 1980 0 0 0 0 0 0 0 0 0 0 0 31111500 5040000 1774188.93995748
1980-06-15 6 46 15 1980 0 0 0 0 0 0 0 0 0 0 0 30807000 5040000 1686087.77713714
1980-06-22 6 47 22 1980 0 0 0 0 0 0 0 0 5700.3533841037 0 0 30502500 5040000 1691136.1749996
1980-06-29 6 48 29 1980 0 0 0 0 0 0 0 0 41450.1952618201 0 0 30198000 5040000 1363372.21032617
1980-07-06 7 49 6 1980 0 2702297.31953243 0 0 0 0 0 0 51913.7094111989 0 0 29599500 8546377.73355942 1140402.68046757
