"date" "month" "week" "day" "year" "shortfall_1" "shortfall_2" "shortfall_5" "shortfall_6" "shortfall_7" "shortfall_8" "shortfall_9" "shortfall_10" "shortfall_11" "NumOfLowFlowBonn" "BelowFCC" "FirmEnergySales" "NonFirmSpotSales" "MaxSystemEnergy"
1979-08-05 8 1 5 1979 0 0 0 0 0 0 0 0 62364.6815002694 0 0 30702000 19056000 2700829.6200206
1979-08-12 8 2 12 1979 0 76460.3837137811 0 0 0 109959.259220449 0 0 62148.970161895 0 0 33600000 16001466.7665629 1363059.61628622
1979-08-19 8 3 19 1979 0 154058.039589339 0 0 0 105972.986715696 0 0 61495.4453970253 0 0 36498000 12920839.8283033 1368261.96041066
1979-08-26 8 4 26 1979 0 173645.751419237 0 0 0 93918.6066776446 0 0 54538.0108617895 0 0 39396000 12143207.6686563 1431474.24858076
1979-09-02 9 5 2 1979 0 343868.572676318 0 0 0 0 0 0 82413.7623852672 0 0 42294000 4408671.38801968 1344051.42732368
1979-09-09 9 6 9 1979 7461.65339862602 179820 0 0 0 0 0 0 68420.3125025952 0 0 43501036.1310481 0 1242886.74660137
1979-09-16 9 7 16 1979 16919.9783583628 179820 0 0 0 0 1.14231659925963 0 72785.4403473551 0 0 44680482.7574573 0 1276585.22164164
1979-09-23 9 8 23 1979 39065.1723876474 179820 0 0 0 0 3.36844357834752 0 74214.1142347223 0 0 45415888.9664323 0 1297596.82761235
1979-09-30 9 9 30 1979 71381.7649493795 179820 0 0 0 0 5.31060083406487 0 73454.5324499024 0 0 45795296.2267717 0 1308437.03505062
1979-10-07 10 10 7 1979 0 281314.547724974 0 0 0 0 8.99078164552657 0 70927.7169594294 0 0 49551600 2052126.84960568 1494085.45227503
1979-10-14 10 11 14 1979 41103.5545976451 359640 0 0 0 0 12.3674673430169 0 74718.4255738564 0 0 49271814.3890824 0 1407766.12540236
1979-10-21 10 12 21 1979 176438.956529067 359640 0 0 0 0 14.7195071071858 0 72486.0136944385 0 0 45743465.7214827 0 1306956.16347093
