"date" "month" "week" "day" "year" "BRPrelim_c" "TotalFloodSpace_c" "TotalRelReducReq" "ARPrelim" "ARCombSup" "AREnergySup" "ARMcNarySup" "ARSharedWater" "ARECCSharedWater" "AR_CRT_SOA_storage" "AR_CRT_storage" "AR_CRT_release" "MI_CRT_storage" "MI_CRT_release" "MIMcNarySup" "MI_CRT_SOA_storage" "MIRelReducReq" "ARRelReducReq" "TotalMcNarySharedWater_c" "BRIn" "GCIn"
1979-08-05 8 1 5 1979 433208.226739749 18303.0000000006 1837804.2378936 406361.650361 636397.84278752 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1979-08-12 8 2 12 1979 458936.331433031 725746.272006778 312330.699652152 369987.810601 644696.158486614 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1979-08-19 8 3 19 1979 554834.844112369 697307.043170025 314680.853861109 589342.349372199 656367.316801309 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1979-08-26 8 4 26 1979 489326.45480584 651411.110686753 291080.134852069 449270.6340126 632079.131287369 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1979-09-02 9 5 2 1979 166024.854101611 480713.822138653 191567.211353638 378838.2668458 536200.71569174 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1979-09-09 9 6 9 1979 370803.3260295 550111.487578964 50232.0334475003 370803.3260295 362167.158016465 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1979-09-16 9 7 16 1979 348819.911871 625678.968988273 54087.352003227 348819.911871 288521.008349168 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1979-09-23 9 8 23 1979 338860.749725 616584.285031831 37668.8365890644 338860.749725 321649.339331013 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1979-09-30 9 9 30 1979 367633.498458 882485.787150544 9025.48723830935 367633.498458 255935.472297248 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1979-10-07 10 10 7 1979 321120.5632584 956769.850467793 0 321120.5632584 301018.311990421 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1979-10-14 10 11 14 1979 285247.961790145 1851549.23032714 0 285247.961790145 333205.8596591 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1979-10-21 10 12 21 1979 338516.901486268 1669844.83900251 0 338516.901486268 297965.205547889 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1979-10-28 10 13 28 1979 533147.567418992 1505373.01969666 0 533147.567418992 375496.04139054 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1979-11-04 11 14 4 1979 337120.3664145 588797.319668724 0 337120.3664145 487563.061023084 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1979-11-11 11 15 11 1979 285563.9929 1671048.2040387 0 285563.9929 376569.120960584 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1979-11-18 11 16 18 1979 249099.402 654937.790080501 0 249099.402 343375.602355164 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1979-11-25 11 17 25 1979 248297.2286 653601.4182765 0 248297.2286 349837.668160584 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1979-12-02 12 18 2 1979 246825.3248 899147.25 0 246825.3248 810276.00148153 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1979-12-09 12 19 9 1979 345641.5322 1678887.8023275 0 345641.5322 340223.019050772 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1979-12-16 12 20 16 1979 315738.7477 639144.783652501 0 315738.7477 433654.151556192 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1979-12-23 12 21 23 1979 289574.0569 597469.970455 0 289574.0569 423942.470700772 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1979-12-30 12 22 30 1979 306671.6403 648614.736826825 0 306671.6403 441985.723756192 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1980-01-06 1 23 6 1980 292126.0444 2119250.36839547 0 242126.0444 542479.867032354 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1980-01-13 1 24 13 1980 288160.6202 2246186.47213879 0 238160.6202 367999.321046354 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1980-01-20 1 25 20 1980 519465.1226 2581642.21588587 0 469465.1226 362138.965646354 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1980-01-27 1 26 27 1980 376951.6347 2532586.74549834 0 326951.6347 348766.966376354 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1980-02-03 2 27 3 1980 301478.3271 2306691.65555481 0 251478.3271 615746.723005994 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1980-02-10 2 28 10 1980 343256.7453 2454830.13378477 0 305756.7453 299615.927528419 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1980-02-17 2 29 17 1980 340444.219599999 2256787.32302232 0 302944.2196 306797.971897491 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1980-02-24 2 30 24 1980 720076.4973 1909524.06504139 0 682576.497300001 342864.340849865 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1980-03-02 3 31 2 1980 617233.5950771 1682542.48653739 0 579733.5950771 475435.709735478 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1980-03-09 3 32 9 1980 491953.748100754 3898989.15091354 0 466953.748100754 751455.658831398 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1980-03-16 3 33 16 1980 424330.8369326 4002531.25163478 0 399330.8369326 539455.286975995 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1980-03-23 3 34 23 1980 422332.234380679 1505474.41484764 0 397332.234380679 512486.132302398 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1980-03-30 3 35 30 1980 394488.2096832 750190.856095 0 369488.2096832 533485.292240398 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1980-04-06 4 36 6 1980 399781.52258714 634329.6244095 0 374781.52258714 425918.233689581 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1980-04-13 4 37 13 1980 434862.558018 591176.8758415 0 409862.558018 521855.219584581 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1980-04-20 4 38 20 1980 478813.547763 718107.4401972 0 453813.547763 509767.109008989 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1980-04-27 4 39 27 1980 958580.7924461 1568155.20736024 0 933580.7924461 1430991.82594605 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1980-05-04 5 40 4 1980 711348.7778036 1790039.25 0 871348.7778036 2869491.88434493 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1980-05-11 5 41 11 1980 528394.69606213 1790039.25 0 638394.69606213 3300371.06611098 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1980-05-18 5 42 18 1980 577162.577954 1790039.25 184109.191822927 687162.577954 2811214.39494117 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1980-05-25 5 43 25 1980 401788.621981613 896202.468948284 418115.795006622 511788.621981613 1831084.41077121 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
