"date" "month" "week" "day" "year" "shortfall_1" "shortfall_2" "shortfall_5" "shortfall_6" "shortfall_7" "shortfall_8" "shortfall_9" "shortfall_10" "shortfall_11" "NumOfLowFlowBonn" "BelowFCC" "FirmEnergySales" "NonFirmSpotSales" "MaxSystemEnergy"
1979-08-05 8 1 5 1979 0 0 0 0 0 0 0 0 62364.6815002694 0 0 30702000 19056000 1543511.29285367
1979-08-12 8 2 12 1979 251506.824408352 479520 0 0 0 109959.259220449 0 0 62148.970161895 0 0 24763661.1457077 0 707533.175591648
1979-08-19 8 3 19 1979 339119.098942842 479520 0 0 0 106055.383262223 0 0 61495.4453970253 0 0 24592333.5370005 0 702638.101057158
1979-08-26 8 4 26 1979 390816.573382501 479520 0 0 0 94778.8386414271 0 0 54642.3541465311 0 0 25678023.9316125 0 733657.826617499
1979-09-02 9 5 2 1979 527520.307004789 479520 0 0 0 0 0 0 82309.4191005256 0 0 23788495.2548324 0 679671.292995211
1979-09-09 9 6 9 1979 591284.742423174 179820 0 0 0 0 0 0 68420.3125025952 0 0 23067228.0151889 0 659063.657576826
1979-09-16 9 7 16 1979 641652.28514451 179820 0 0 0 0 0 0 72785.4403473551 0 0 22814852.0199422 0 651852.91485549
1979-09-23 9 8 23 1979 678940.272723664 179820 0 0 0 0 0.819100273034564 0 74214.1142347223 0 0 23020260.4546718 0 657721.727276336
1979-09-30 9 9 30 1979 682573.345280045 179820 0 0 0 0 2.71547798429447 0 73454.5324499024 0 0 24403590.9151984 0 697245.454719955
1979-10-07 10 10 7 1979 624281.349068593 359640 0 0 0 0 6.31132833515585 0 70927.7169594294 0 0 27652201.1825992 0 790062.890931407
1979-10-14 10 11 14 1979 674283.821012912 359640 0 0 0 0 9.61274743655622 0 74718.4255738564 0 0 27110505.0645481 0 774585.858987088
1979-10-21 10 12 21 1979 677174.954967289 359640 0 0 0 0 11.9301021858207 0 72486.0136944385 0 0 28217705.7761449 0 806220.165032711
1979-10-28 10 13 28 1979 788324.967547809 359640 0 0 0 0 15.7186318103106 0 54400.3161729326 0 0 25535845.7358267 0 729595.592452191
1979-11-04 11 14 4 1979 1032290.58251952 359640 0 0 0 0 0 0 62002.2293432348 586282.422609154 0 18205439.611817 0 520155.417480485
1979-11-11 11 15 11 1979 488706.610868039 3236760 0 0 0 0 0 0 71285.8890361502 0 0 35720390.6196186 0 1020582.58913196
1979-11-18 11 16 18 1979 942234.815633194 3236760 0 0 0 0 0 0 74282.9675922372 715514.958178169 0 18336415.4528382 0 523897.584366806
1979-11-25 11 17 25 1979 963802.889956032 3236760 0 0 0 0 0 0 72040.7561676272 824070.119091105 0 16071044.8515389 0 459172.710043968
1979-12-02 12 18 2 1979 742700.412451442 3236760 0 0 0 0 0 0 75193.339456651 517405.773046092 0 22299143.5641995 0 637118.387548558
1979-12-09 12 19 9 1979 489937.59188196 1817800.38 0 0 0 0 0 0 70250.5069467474 0 0 34166818.2841314 0 976194.80811804
1979-12-16 12 20 16 1979 614908.424046999 1811266.92 0 0 0 0 0 0 66678.9080559538 0 0 32813815.158355 0 937537.575953001
1979-12-23 12 21 23 1979 905022.01540772 1804733.46 0 0 0 0 0 0 72112.1404087679 138815.81344509 0 25680815.4607298 0 733737.584592281
1979-12-30 12 22 30 1979 1112557.85079411 1438560 0 0 0 0 0 0 71199.410270045 469465.020113691 0 21438037.222206 0 612515.349205887
1980-01-06 1 23 6 1980 780626.421706554 719280 0 0 0 0 0 0 69964.7887891486 0 0 33173119.6402706 0 947803.418293446
1980-01-13 1 24 13 1980 802251.561072001 719280 0 0 0 0 0 0 70888.8297440745 0 0 32533722.16248 0 929534.918927999
1980-01-20 1 25 20 1980 917937.69698937 719280 0 0 0 0 0 0 61840.210512308 0 0 28602189.805372 0 817205.42301063
1980-01-27 1 26 27 1980 934865.832440682 719280 0 0 0 0 0 0 56199.3397391767 0 0 28127187.4645761 0 803633.927559318
1980-02-03 2 27 3 1980 930035.808974885 719280 0 0 0 0 0 0 68979.5194952964 0 0 28413720.685879 0 811820.591025115
1980-02-10 2 28 10 1980 1075472.79266531 959040 0 0 14456.3981891834 0 0 0 63857.7772993558 539334.124151542 0 19400353.256714 0 554295.807334685
1980-02-17 2 29 17 1980 1122958.68821387 959040 0 0 39982.1783857448 0 0 0 63336.6175138504 864619.896114562 0 13815273.9125145 0 394722.11178613
