"date" "month" "week" "day" "year" "MICAA" "REVEL" "ARROW" "DUNCA" "LIBBY" "BONFE" "CORRA" "FLASF" "FLAPO" "NOXON" "CABIN" "ALBEN" "BOUND" "GCOUL" "CHIEF" "WELLS" "ROCKY" "RISLA" "WANAP" "PRIRA" "UpSnake" "MdlSnake" "BROWN" "OXBOW" "HCANY" "DWORS" "LGRAN" "LGOOS" "LMONU" "ICEHA" "MCNAR" "JDAYY" "DALLES" "BONNE"
1979-08-05 8 1 5 1979 220562.8041147 315987.441614699 345505.577326599 32116.0539 84800.1614608 695790.824054809 765992.722410809 10658.613405631 79149.4944 221167.80342 231086.483895021 225038.190834821 624742.058716289 1718285.9146637 2317369.01467344 2319760.42889344 2340913.64452944 2358460.39954244 2343911.18679744 2336155.34865344 60150.529411 131844.029541 406361.650361 428940.248274759 424494.479397459 12266.062550868 694190 692983.5337321 523485.724650559 521132.854986559 2776760 2752456.37972 2832072.41956 2917398.723855
1979-08-12 8 2 12 1979 258468.41793414 344263.981634138 345831.106924238 34805.73431 78560.5548195 85778.2689652308 159272.061634631 7891.884781228 73687.632795 208767.520295 212400.472944216 215087.812242716 215504.174558026 724890.841956895 800631.557499752 802202.529029752 819894.425121752 835798.921405752 820777.023482852 813497.759858852 69004.022641 157358.499521 369987.810601 453289.035419783 446169.455550083 10697.868426054 694190 691708.9358642 526732.625818283 524127.748066283 1247330.87683514 1220033.97606513 1297850.62648513 1397228.88045113
1979-08-19 8 3 19 1979 246990.88324152 332654.857932545 341801.852188425 38554.72375 76827.5370598 80185.8352156198 151970.465827598 7335.946770941 72465.9741386 217739.6415976 221009.9256976 219999.2417416 219285.55697689 770423.180723567 833158.050843967 844976.173674967 856641.452782967 867887.760718967 850103.366526167 845706.865837167 77860.9267422 219518.5084022 589342.349372199 545474.75555049 529560.93682259 13486.193668206 700171.87327954 678962.95411073 552978.22658278 533201.15519678 1301531.50986395 1254614.18398995 1320251.56978995 1399904.84151695
1979-08-26 8 4 26 1979 246410.5664262 319926.962013043 393508.377829863 41262.27042 77515.0035647 80304.6380020596 163564.663579877 7567.467581124 69804.44987 204294.77753 206797.595138235 200286.451854335 198279.738999615 791720.048339763 857300.923557063 901640.398566063 910775.279230063 920169.070852063 898854.967438763 890335.824339763 61940.2281226 166658.7353026 449270.6340126 482833.953941891 476833.070169892 15985.442889989 714938.669650384 722923.688325885 619252.688024392 628348.103500392 1458092.80007015 1446636.24984615 1525264.25477215 1624575.74458815
1979-09-02 9 5 2 1979 210824.20729547 465879.462995541 476935.185819921 43134.30798 73880.4956619 54386.9044980753 149162.002242133 7769.061693645 66006.165959 188266.980369 194908.485019601 204743.580262901 229935.414017536 1018108.40152748 1004223.77840044 1039959.02316344 1055997.08850544 1066423.18244144 1053665.21823334 1050733.66557134 52321.5523358 121767.2817158 378838.2668458 162847.542231553 156044.135362353 12355.793183071 342602.992890579 342935.881921349 243458.137702123 244224.107092123 1231618.27957346 1237403.50122846 1310960.68485846 1373063.43725446
1979-09-09 9 6 9 1979 162238.971357231 268796.010401576 375267.052765006 49237.03197 63202.0334475 57604.4822467757 179912.635312561 5710.801398973 52748.238538 136553.030468 146304.734682337 163122.689170917 191310.306767581 783859.81291075 891891.31869605 946340.25858305 936199.64719015 939938.83717815 907884.67663475 900350.396007751 46163.0958395 91524.2246595 370803.3260295 368824.632754949 365259.183308149 6707.844854143 504845.562714785 507431.047357405 435008.957525369 437057.685276469 1294929.03409422 1296917.69172122 1362758.77109722 1333631.83097312
1979-09-16 9 7 16 1979 172005.149925553 287414.582746611 451935.072319031 40676.75485 52311.7905573 62001.9116298363 152936.255374673 4296.931331194 52095.170372 113779.354212 121484.520994057 136117.744898257 168860.844086739 788663.534786198 940300.329229353 959358.658392353 975170.282323353 988431.317535353 982654.595069953 984340.738281953 42696.530801 86385.1213810001 348819.911871 346529.547649441 342381.328615641 5293.241874755 451599.345190214 451557.501304963 376772.724456391 376453.123305391 1370403.76131734 1400779.74893734 1457712.79491734 1431411.04062234
1979-09-23 9 8 23 1979 123159.310889731 273579.04344383 264036.44901613 14220.25377 42556.6894146 67481.8817817551 110572.615771876 3153.728757283 51306.94681 104675.19955 111618.170631285 125257.029530085 160529.357135369 763428.057557192 965069.910445821 968510.830789821 997303.489082821 1013520.24789682 1023085.74550042 1031342.22400442 40609.285495 88925.858225 338860.749725 336628.368645253 333091.612640153 4424.966813084 431591.467269134 431180.255256944 357358.202923963 356617.700787963 1445186.43901238 1507061.45158238 1567624.00020238 1551197.06692038
1979-09-30 9 9 30 1979 137388.996993 289675.663600973 279174.564770853 26099.59109 41610.8665389 73530.2009786698 113823.248396506 2603.032193214 52817.050119 116971.431909 123392.409368298 135084.589966098 172937.247894142 730353.426122433 1031283.75321102 1026939.44836402 1034214.60095702 1040016.64274102 1032775.01830392 1030954.15875892 44639.514608 107385.706058 367633.498458 364576.245338485 358182.021057785 4338.246643757 450796.419750264 445816.289269324 370269.929730845 367163.582372045 1379011.74639097 1406999.33455097 1455544.36839297 1438841.62446996
1979-10-07 10 10 7 1979 69678.39144892 335160.685178822 399204.203549622 16901.72777 39487.151487701 79010.8273298735 125140.414209851 2188.168752091 54004.818833 132336.469618 136819.080778 162166.81311084 172150.776560421 935966.534724391 1215019.82493923 1218864.07431823 1214121.75064823 1214603.93818623 1200842.85669403 1194485.33989784 37587.4392724 118257.0959964 321120.5632584 321077.040565416 320990.429698804 6167.475052866 482028.87854959 484896.85815535 399811.864427064 402245.383278674 1581174.08871651 1622749.92955151 1699192.58537451 1664981.71069251
1979-10-14 10 11 14 1979 58003.07952 335460.277557341 354628.124086401 8848.52268 35109.299275996 88244.8720431587 126449.567023073 1964.158966361 53516.98663655 131630.61982027 135963.63508027 160366.39069327 169996.6151311 1018968.45160952 1229718.89938475 1237632.23440075 1248959.62826365 1254978.10094665 1253159.28970915 1253305.26035445 35957.126686746 107623.641320746 285247.961790145 284623.901590145 283324.390320836 5944.370650778 424076.551021187 424465.796103453 347954.900202072 349615.943017692 1633434.71332115 1703511.24820095 1788698.39336555 1770440.19829855
