"date" "month" "week" "day" "year" "MICAA" "REVEL" "ARROW" "DUNCA" "LIBBY" "BONFE" "CORRA" "FLASF" "FLAPO" "NOXON" "CABIN" "ALBEN" "BOUND" "GCOUL" "CHIEF" "WELLS" "ROCKY" "RISLA" "WANAP" "PRIRA" "UpSnake" "MdlSnake" "BROWN" "OXBOW" "HCANY" "DWORS" "LGRAN" "LGOOS" "LMONU" "ICEHA" "MCNAR" "JDAYY" "DALLE" "BONNE"
1979-08-05 8 1 5 1979 215892.804114699 315987.441614699 342191.5773266 31464.0538999999 687886.032810019 695790.824054809 768159.722410809 419010.418826508 475151.533466158 221167.80342 231086.483895021 621040.229900979 624742.058716289 2244632.05696844 2317369.01467344 2319760.42889344 2340913.64452944 2358460.39954244 2343911.18679744 2336155.34865344 60150.5294110002 131844.029541 433208.226739749 428940.248274759 424494.479397459 176593.030952541 694190 692983.5337321 523485.724650559 521132.854986559 2776760 2752456.37972 2832072.41956 2917398.723855
1979-08-12 8 2 12 1979 258468.417934138 344263.981634138 345831.106924239 34805.73431 82194.6834702808 85778.2689652308 159272.061634631 27389.1056444 73687.632795 208767.520295 212400.472944216 215087.812242716 215504.174558026 728844.699652152 800631.557499752 802202.529029752 819894.425121752 835798.921405752 820777.023482852 813497.759858852 69004.0226409999 157358.499521 458936.331433031 453289.035419783 446169.455550083 166778.620479917 694190 691708.9358642 526732.625818283 524127.748066283 1247330.87683514 1220033.97606513 1297850.62648513 1397228.88045113
1979-08-19 8 3 19 1979 278793.444732545 332654.857932545 348533.778849078 39248.5624607784 76827.5370597998 80185.8352156198 151970.465827598 28098.86659506 72465.9741386001 217739.6415976 221009.9256976 219999.2417416 219285.55697689 770423.180723567 833158.050843967 844976.173674967 856641.452782967 867887.760718967 850103.366526167 845706.865837167 77860.9267421998 219518.508402199 554834.844112369 545474.75555049 529560.93682259 112842.99400995 700171.87327954 678962.95411073 552978.22658278 533201.15519678 1301531.50986395 1254614.18398995 1320251.56978995 1399904.84151695
1979-08-26 8 4 26 1979 281881.792613043 319926.962013043 401016.882870272 42036.1486453172 77515.0035646996 80304.6380020596 163564.663579877 7843.989057941 69804.4498699999 204294.77753 206797.595138235 200286.451854335 198279.738999615 791720.048339763 857300.923557063 901640.398566063 910775.279230063 920169.070852063 898854.967438763 890335.824339763 61940.2281225999 166658.7353026 487877.773509144 482833.953941891 476833.070169892 123451.654740493 714938.669650384 722923.688325885 619252.688024392 628348.103500392 1458092.80007015 1446636.24984615 1525264.25477215 1624575.74458815
1979-09-02 9 5 2 1979 434294.350295541 465879.462995541 559109.952857812 56202.1665390579 47879.3120672553 54386.9044980753 149162.002242133 46776.2376969046 88701.2504007047 188266.980369 194908.485019601 227438.664704606 229935.414017536 941137.332155041 1004223.77840044 1039959.02316344 1055997.08850544 1066423.18244144 1053665.21823334 1050733.66557134 52321.5523358001 121767.2817158 167473.535398307 162847.542231553 156044.135362353 97284.8100482264 342602.992890579 342935.881921349 243458.137702123 244224.107092123 1231618.27957346 1237403.50122846 1310960.68485846 1373063.43725446
1979-09-09 9 6 9 1979 197870.707401576 268796.010401576 399099.145010608 49600.3388465758 46545.7346528777 57604.4822467757 167214.635312561 48249.7890436982 76388.8048922242 136553.030468 146304.734682337 186763.255525141 191310.306767581 863112.14225715 891891.31869605 946340.25858305 936199.64719015 939938.83717815 907884.67663475 900350.396007751 46163.0958395 91524.2246594997 370803.3260295 368824.632754949 365259.183308149 53427.1350376365 504845.562714785 507431.047357405 435008.957525369 437057.685276469 1294929.03409422 1296917.69172122 1362758.77109722 1333631.83097312
1979-09-16 9 7 16 1979 217875.461346611 287414.582746611 468943.115927167 43433.9692722363 56657.9887183263 62001.9116298363 141733.085512292 57281.8728972571 80399.495369571 113779.354212 121484.520994057 164422.069895828 168860.844086739 879173.499269853 940300.329229353 959358.658392353 975170.282323353 988431.317535353 982654.595069953 984340.738281953 42696.5308010001 86385.1213809997 348819.911871 346529.547649441 342381.328615641 52144.5515535728 451599.345190214 451557.501304963 376772.724456391 376453.123305391 1370403.76131734 1400779.74893734 1457712.79491734 1431411.04062234
1979-09-23 9 8 23 1979 230706.30404383 273579.04344383 399769.260843107 20588.6419761211 63211.3497725951 67481.8817817551 149830.611748716 66824.0277875359 82323.792444356 104675.19955 111618.170631285 156273.875164441 160529.357135369 911021.396661921 965069.910445821 968510.830789821 997303.489082821 1013520.24789682 1023085.74550042 1031342.22400442 40609.285495 88925.8582250001 338860.749725 336628.368645253 333091.612640153 50859.2177509813 431591.467269134 431180.255256944 357358.202923963 356617.700787963 1445186.43901238 1507061.45158238 1567624.00020238 1551197.06692038
1979-09-30 9 9 30 1979 246729.393800973 289675.663600973 419084.482388368 24361.8617106363 70245.4862191998 73530.2009786698 159951.241839923 71024.4435934392 87037.2797158942 116971.431909 123392.409368298 169304.819562992 172937.247894142 1002341.62912782 1031283.75321102 1026939.44836402 1034214.60095702 1040016.64274102 1032775.01830392 1030954.15875892 44639.5146079999 107385.706058 367633.498458 364576.245338485 358182.021057785 49040.2975574788 450796.419750264 445816.289269324 370269.929730845 367163.582372045 1379011.74639097 1406999.33455097 1455544.36839297 1438841.62446996
1979-10-07 10 10 7 1979 302996.271618822 335160.685178822 599013.547594729 30325.3715215372 78416.6836177035 79010.8273298735 174772.675139241 39680.067674353 54004.818833 132336.469618 136819.080778 162166.81311084 172150.776560421 1177373.89681633 1215019.82493923 1218864.07431823 1214121.75064823 1214603.93818623 1200842.85669403 1194485.33989784 37587.4392724 118257.0959964 321120.5632584 321077.040565416 320990.429698804 47216.8264297858 482028.87854959 484896.85815535 399811.864427064 402245.383278674 1581174.08871651 1622749.92955151 1699192.58537451 1664981.71069251
1979-10-14 10 11 14 1979 313543.466687341 335460.277557341 640307.063042465 30768.2339720138 87494.6749359457 88244.8720431587 184293.52890796 39418.763938 53516.9866365499 131630.61982027 135963.63508027 160366.39069327 169996.6151311 1184068.39102727 1229718.89938475 1237632.23440075 1248959.62826365 1254978.10094665 1253159.28970915 1253305.26035445 35957.1266867458 107623.641320745 285247.961790145 284623.901590145 283324.390320836 42338.8293868805 424076.551021187 424465.796103453 347954.900202072 349615.943017692 1633434.71332115 1703511.24820095 1788698.39336555 1770440.19829855
1979-10-21 10 12 21 1979 269613.946578795 292310.155958795 636712.063189463 29549.0579659167 85251.0401997679 91215.0972697679 180830.718165685 29631.545614 51546.32874 132988.231989369 137728.351789369 157290.327488059 165552.000625889 1239481.24592221 1265387.54483919 1276328.88898279 1267115.72375049 1266527.35894259 1251031.16410369 1246818.65616019 52517.84329037 139970.295118953 338516.901486268 336784.177586268 330857.095033869 42609.2836547688 489934.577336728 475629.077718994 390408.792978925 380610.303069155 1609896.81559535 1654036.30252555 1740931.74731674 1720024.36875404
