"date" "month" "week" "day" "year" "ARFirmEngSupReq" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1979-08-05 8 1 5 1979 0 465829200.4225 2160490.56655567 0 3475027.64744771 2170489.56655567 0
1979-08-12 8 2 12 1979 0 98735263.0434538 2153741.99544885 0 1503832.26475736 2163740.99544885 0
1979-08-19 8 3 19 1979 0 98331279.2792352 2366271.90145755 0 1457329.54757566 2376270.90145755 70270.4524243379
1979-08-26 8 4 26 1979 0 90370661.8879173 2499148.31021575 0 1453440.81386171 2509147.31021575 156959.186138293
1979-09-02 9 5 2 1979 63346.6156410266 40316884.1166077 2670478.44835525 371622.523999411 848861.476000589 2408720.98945867 484800
1979-09-09 9 6 9 1979 71704.9371722915 39776497.2276629 2722210.77321473 388865.062412574 875250.937587426 2490180.61507234 181800
1979-09-16 9 7 16 1979 87486.9656753977 39437655.3918502 2654421.47556992 469913.419695399 837834.580304601 2371185.92107226 181800
1979-09-23 9 8 23 1979 94931.4543751754 38779740.1457627 2311967.13384481 515093.356847627 836286.643152373 1999721.62922617 181800
1979-09-30 9 9 30 1979 103690.057343165 38017858.0020906 1967766.86117257 567964.710447746 827047.289552254 1620773.45673864 181800
1979-10-07 10 10 7 1979 122456.566158765 32781447.3874178 2493638.02641971 559349.382397138 870568.217602862 2106641.51674115 363600
1979-10-14 10 11 14 1979 137332.377337047 31691068.3063003 1733115.70873245 636399.893873304 828423.306126696 1293002.55806629 363600
1979-10-21 10 12 21 1979 136143.465133404 30643544.7005875 988977.436419584 643616.440868122 856112.359131878 564190.186799783 363600
1979-10-28 10 13 28 1979 111623.333806009 29675336.4733482 323840.217833099 547863.104279906 986771.295720094 161254.026157999 363600
1979-11-04 11 14 4 1979 0 29161452.6898348 138399.760527866 0 1635358.36592332 148398.760527866 282241.634076676
1979-11-11 11 15 11 1979 6513.30173926015 29033963.9456663 1941000.28986006 32227.4074775914 1493680.59252241 1928237.48184895 3272400
1979-11-18 11 16 18 1979 0 27278403.7103542 379916.762271063 0 1733159.39554489 389915.762271063 3006840.60445511
1979-11-25 11 17 25 1979 0 26764276.7878656 92040.2131643898 0 1709323.30238911 102039.21316439 2987476.69761089
1979-12-02 12 18 2 1979 0 25746250.9099244 22119.5710886412 0 1851721.06539296 32118.5710886412 2801878.93460704
1979-12-09 12 19 9 1979 0 25110233.1337276 2657777.24832046 0 1773366.91455913 2667776.24832046 1532049.28544087
1979-12-16 12 20 16 1979 0 23418395.8851086 1588824.20483553 0 1723615.94107778 1598823.20483553 1661594.85892222
1979-12-23 12 21 23 1979 0 21862136.4751857 529469.585808048 0 1659803.9786206 539468.585808048 1805201.4213794
1979-12-30 12 22 30 1979 8955.21426974236 20887040.2295581 8860.38032346591 36121.3894761773 1707946.61052382 13869.0310885926 1454400
1980-01-06 1 23 6 1980 50674.7400132759 23925638.2191158 4700223.23020989 192390.183750559 1555071.41624944 4595150.0947458 727200
1980-01-13 1 24 13 1980 38570.5609001623 22431591.1512281 3873199.24324707 150997.864844573 1599857.33515543 3791436.01648283 727200
1980-01-20 1 25 20 1980 90003.3937420233 20939147.9461848 3071588.93401171 365102.088828502 1389146.7111715 2855611.36621295 727200
1980-01-27 1 26 27 1980 79260.1557426908 19802009.6300603 2122183.46938261 347269.869070587 1410372.53092941 1918023.44875488 727200
1980-02-03 2 27 3 1980 38012.0723197997 18559848.9065181 1198946.04018437 183543.765551819 1577492.23444818 1095313.80386851 727200
1980-02-10 2 28 10 1980 6204.39598936433 17451682.2869917 544362.250345708 34893.0923692698 1612820.90763073 532357.852338899 969600
