"date" "month" "week" "day" "year" "MICAA" "ARROW" "DUNCA" "CORRA" "LIBBY" "FLASF" "GCOUL" "DWORS" "BROWN" "UpSnake" "MdlSnake"
1979-08-05 8 1 5 1979 20075520 7327300 1423400 589210 4978634.12865078 3168098.19457912 8319953.85769526 2899913.03159833 1301683.42362125 2577600 4242400
1979-08-12 8 2 12 1979 20075520 7327300 1423400 589210 4975000 3148600.97371595 8316000 2743832.27954446 1212734.90278922 2577600 4242400
1979-08-19 8 3 19 1979 20043717.438509 7320568.07333935 1422706.16128922 589210 4975000 3127838.05389183 8316000 2644475.47920272 1247242.40804905 2577600 4242400
1979-08-26 8 4 26 1979 20008246.2123221 7313059.56829894 1421932.2830639 589210 4975000 3127561.53241501 8316000 2537009.26735222 1208635.26855251 2577600 4242400
1979-09-02 9 5 2 1979 19784776.0693221 7230884.80126105 1408864.42450485 589210 5001001.18359465 3088554.35641176 8392971.06937244 2452080.25048706 1420000 2577600 4242400
1979-09-09 9 6 9 1979 19749144.3332777 7207052.70901545 1408501.11762827 601908 5017657.48238927 3046015.36876703 8313718.74002604 2405360.96030357 1420000 2577600 4242400
1979-09-16 9 7 16 1979 19703274.0218567 7190044.66540731 1405743.90320603 613111.169862381 5013311.28422824 2993030.42720097 8223208.77554238 2358509.65062475 1420000 2577600 4242400
1979-09-23 9 8 23 1979 19595727.0287026 7054311.85358033 1399375.51499991 573853.173885541 4992656.62387025 2929360.12817071 8075615.43643766 2312075.39968685 1420000 2577600 4242400
1979-09-30 9 9 30 1979 19486386.6318946 6914401.93596282 1401113.24437928 527725.180442124 4964022.00418995 2860938.71677049 7803627.23343227 2267373.34877313 1420000 2577600 4242400
1979-10-07 10 10 7 1979 19253068.7517247 6714592.59191771 1387689.60062774 478092.919512734 4925092.47205994 2823446.81784823 7562219.87134033 2226323.99739621 1420000 2577600 4242400
1979-10-14 10 11 14 1979 18997528.3645573 6428913.65296165 1365769.88933573 420248.957627847 4872707.09639999 2785992.21287659 7397119.93192258 2189929.53866011 1420000 2577600 4242400
1979-10-21 10 12 21 1979 18788179.7963986 6127777.09506689 1356239.91344981 371249.245761767 4829433.98629023 2760240.82514659 7134308.6729034 2166798.79820534 1420000 2577600 4242400
1979-10-28 10 13 28 1979 18653036.8846009 6015683.232 1351779.16368946 343670.089111767 4803100.82062442 2744933.41282659 7035372.85943066 2159721.24790849 1420000 2577600 4242400
1979-11-04 11 14 4 1979 18678273.3435109 6015683.232 1359077.5 332537.771731767 4787110 2720144.92511659 7106421.92045375 2148885.32523849 1420000 2577600 4242400
1979-11-11 11 15 11 1979 18120365.4952909 5495814.27 1231738.365 285612.912309767 4761620 2685371.41406659 7063205.31638867 2128498.64270508 1420000 2577600 4242400
1979-11-18 11 16 18 1979 17956178.96 5464105.71875 1231738.365 231902.920176767 4736130 2650621.42158659 6937395.84817926 2107853.56042208 1420000 2577600 4242400
1979-11-25 11 17 25 1979 17956178.96 5434390.3121 1231738.365 180476.135012767 4710640 2616057.59784659 6800265.58987528 2090142.03986208 1420000 2577600 4242400
1979-12-02 12 18 2 1979 17956178.96 5408291.00195 1023400 750000 3855100 2580478.36767659 6671790.26579565 2068993.15816308 1420000 2577600 4242400
1979-12-09 12 19 9 1979 17382581.38837 5410043.62517 937100.701742924 764994.33964 3855100 2561131.41256659 6054250.25668326 2089269.69446308 1420000 2577600 4242400
1979-12-16 12 20 16 1979 16809489.48421 5421652.69665 873125.9714 783365 3855100 2548000.89180659 5627068.27937628 2088450.77038308 1420000 2577600 4242400
1979-12-23 12 21 23 1979 16510621.93 5416061.15318 873125.9714 793658.96064 3855100 2533141.41377659 5226916.72261389 2101853.85334308 1420000 2577600 4242400
1979-12-30 12 22 30 1979 16502472.6298656 5398896.11252026 873125.9714 795043.824146 3849992.19411766 2505719.71911659 4815773.27633602 2098257.71441269 1420000 2577600 4242400
1980-01-06 1 23 6 1980 16223024.3898397 4986852.01003047 683945.956833443 786576 3855445.61548759 2462396.39368524 4474367.16855271 2087962.12441043 1370000 2578080 4242400
1980-01-13 1 24 13 1980 15958264.7805279 4587399.31390142 684595.776378024 749640.337483443 3855015.76963945 2420590.13245167 3940935.77152273 2073904.77884977 1320000 2578560 4242400
1980-01-20 1 25 20 1980 15643464.2450851 4130491.86131838 678322.822547442 712600.858741467 3819950.09022075 2360153.90967466 3921900 2053492.42155913 1270000 2579040 4242400
1980-01-27 1 26 27 1980 15349759.5166178 3670940.55677828 671392.403541244 672153.898110467 3776852.30828685 2298581.05029653 3921900 2029918.4197995 1220000 2579520 4242400
