"date" "month" "week" "day" "year" "BRPrelim_c" "TotalFloodSpace_c" "TotalMcNarySharedWater_c" "BRIn" "GCIn"
1979-08-05 8 1 5 1979 433208.226739749 18303.0000000006 1837804.2378936 406361.650361 636397.84278752
1979-08-12 8 2 12 1979 458936.331433031 725746.272006778 312330.699652152 369987.810601 644696.158486614
1979-08-19 8 3 19 1979 554834.844112369 698451.020342692 314680.853861109 589342.349372199 656367.316801309
1979-08-26 8 4 26 1979 487877.773509144 654181.81101145 292224.112024738 449270.6340126 633223.108460039
1979-09-02 9 5 2 1979 167473.535398307 457851.108035507 203205.795768379 378838.2668458 547839.300106479
1979-09-09 9 6 9 1979 370803.3260295 627109.918333667 171968.317560374 370803.3260295 424308.031145789
1979-09-16 9 7 16 1979 348819.911871 632140.301622313 92969.2729465673 348819.911871 374565.728337035
1979-09-23 9 8 23 1979 338860.749725 662116.234397238 78867.973642841 338860.749725 321649.339331013
1979-09-30 9 9 30 1979 367633.498458 736187.27712589 57267.4904091461 367633.498458 255935.472297248
1979-10-07 10 10 7 1979 321120.5632584 970274.732705975 26509.1556776473 321120.5632584 301018.311990421
1979-10-14 10 11 14 1979 285247.961790145 1264717.60743231 0 285247.961790145 333205.8596591
1979-10-21 10 12 21 1979 338516.901486268 1657497.89350312 0 338516.901486268 297965.205547889
1979-10-28 10 13 28 1979 533147.567418992 1608210.09396022 0 533147.567418992 375496.04139054
1979-11-04 11 14 4 1979 337120.3664145 813264.342154413 0 337120.3664145 487563.061023084
1979-11-11 11 15 11 1979 285563.9929 1754583.06118417 0 285563.9929 376569.120960584
1979-11-18 11 16 18 1979 249099.402 1247468.80571854 0 249099.402 343375.602355164
1979-11-25 11 17 25 1979 248297.2286 710145.539578998 0 248297.2286 349837.668160584
1979-12-02 12 18 2 1979 246825.3248 940482.168169993 0 246825.3248 814687.329083539
1979-12-09 12 19 9 1979 345641.5322 2548434.12364458 0 345641.5322 340223.019050772
1979-12-16 12 20 16 1979 315738.7477 2556991.13103542 0 315738.7477 433654.151556192
1979-12-23 12 21 23 1979 289574.0569 1577704.4548725 0 289574.0569 423942.470700772
1979-12-30 12 22 30 1979 306671.6403 642739.668131501 0 306671.6403 441985.723756192
1980-01-06 1 23 6 1980 292126.0444 2361520.55308939 0 242126.0444 542479.867032354
1980-01-13 1 24 13 1980 288160.6202 2294335.60064363 0 238160.6202 367999.321046354
1980-01-20 1 25 20 1980 519465.1226 2629223.85135082 0 469465.1226 362138.965646354
1980-01-27 1 26 27 1980 376951.6347 2544090.42028675 0 326951.6347 348766.966376354
1980-02-03 2 27 3 1980 301478.3271 2326754.47962661 0 251478.3271 608173.148291576
1980-02-10 2 28 10 1980 343256.7453 1533122.40505745 0 305756.7453 298679.219959953
1980-02-17 2 29 17 1980 340444.219599999 570632.771994466 0 302944.2196 306570.710894465
1980-02-24 2 30 24 1980 720076.4973 620480.890762365 0 682576.497300001 342864.340849865
1980-03-02 3 31 2 1980 617233.5950771 735689.8408475 0 579733.5950771 475435.709735478
1980-03-09 3 32 9 1980 491953.748100754 678711.499425 0 466953.748100754 751455.658831398
1980-03-16 3 33 16 1980 424330.8369326 662289.880905 0 399330.8369326 545139.214502995
1980-03-23 3 34 23 1980 422332.234380679 655243.1641575 0 397332.234380679 515405.729717398
1980-03-30 3 35 30 1980 394488.2096832 674216.174475 0 369488.2096832 543433.815720398
1980-04-06 4 36 6 1980 399781.52258714 589369.6085625 0 374781.52258714 430980.553936581
1980-04-13 4 37 13 1980 434862.558018 590127.3864225 0 409862.558018 528507.209003581
1980-04-20 4 38 20 1980 478813.547763 714414.5131572 0 453813.547763 516905.975898349
1980-04-27 4 39 27 1980 958580.7924461 1193114.4902108 0 933580.7924461 1636792.46056267
1980-05-04 5 40 4 1980 271348.7778036 2424016.6648 0 871348.7778036 3586699.55230493
1980-05-11 5 41 11 1980 638394.69606213 2428402.4993 705900.905658375 638394.69606213 4044312.87231098
1980-05-18 5 42 18 1980 687162.577954 906278.977321772 791300 687162.577954 3475372.79879599
1980-05-25 5 43 25 1980 511788.621981613 1440204.33911087 814807.938579015 511788.621981613 3145305.49988208
1980-06-01 6 44 1 1980 759798.836554001 717550.232221217 1347105.03589761 759798.836554001 2874377.9217428
1980-06-08 6 45 8 1980 1001134.19415 659536.082423381 1671400 1001134.19415 2117508.99346824
1980-06-15 6 46 15 1980 772141.984932341 515447.764010028 1671400 772141.98493234 1921317.36162672
1980-06-22 6 47 22 1980 529060.4828545 522633.91354657 1747707.43968155 529060.4828545 2071625.13427181
1980-06-29 6 48 29 1980 331014.139414 455657.9975671 1834706.74527155 331014.139414 1610432.27597156
1980-07-06 7 49 6 1980 329828.608805 121483.25 1881443.86792582 329828.608805 1022084.53325743
1980-07-13 7 50 13 1980 206821.795468 121483.25 1836668.00300542 206821.795468 568997.302736967
1980-07-20 7 51 20 1980 190315.471506595 829303.304748463 1151676.27497725 134438.471814 540678.328168215
1980-07-27 7 52 27 1980 236153.374363112 1138283.26517494 193661.732444616 100323.381526 405062.288013465
1980-08-03 8 1 3 1980 153916.528598293 941876.221726775 128328.997150958 108623.521128 320814.345314431
1980-08-10 8 2 10 1980 106780.505612 1134773.79173902 131003.407297459 106780.505612 255342.124671024
1980-08-17 8 3 17 1980 110857.885997 1483855.13608847 123369.452527712 99368.0993380001 387582.096318705
1980-08-24 8 4 24 1980 160062.07900123 1596335.2568026 132516.089759939 171551.86566023 476734.158552044
1980-08-31 8 5 31 1980 120787.17613316 1705055.69711846 70008.6906099198 120787.17613316 456842.548390442
1980-09-07 9 6 7 1980 113700.7414967 1304249.92268084 67330.9011170566 155687.5636165 257599.129820064
1980-09-14 9 7 14 1980 103766.042934 1781715.34119942 21845.2700006748 244210.909340699 421569.492114004
1980-09-21 9 8 21 1980 306434.1354753 1620929.30471813 44694.1580159729 361002.4469488 353827.625826141
1980-09-28 9 9 28 1980 227029.5533489 1718995.16365799 52653.7984849941 227029.5533489 366406.715980567
1980-10-05 10 10 5 1980 184746.735185 2013580.4706247 42605.87192096 184746.735185 195774.85946583
1980-10-12 10 11 12 1980 174781.513846299 2236970.80895018 4936.11795434542 174781.513846299 363091.533939267
1980-10-19 10 12 19 1980 222428.868193185 1911756.92320418 0 222428.868193185 296689.977933019
1980-10-26 10 13 26 1980 262844.082265514 1801558.10352269 0 262844.082265514 314297.233485713
1980-11-02 11 14 2 1980 197009.584623561 540497.25 0 197009.584623561 340985.480778308
1980-11-09 11 15 9 1980 157248.8752 2237841.98793857 0 157248.8752 218294.826264131
1980-11-16 11 16 16 1980 211457.2408 2025588.36110386 0 211457.2408 509688.614812471
1980-11-23 11 17 23 1980 192837.0798 1081545.15738751 0 192837.0798 395483.591164131
1980-11-30 11 18 30 1980 201193.184799999 1054169.3766875 0 201193.184799999 427364.742264131
1980-12-07 12 19 7 1980 229929.3269 2877538.29719057 0 229929.3269 449345.452650965
1980-12-14 12 20 14 1980 234603.6485 3210339.45549896 0 234603.6485 457704.168947735
1980-12-21 12 21 21 1980 177584.0651 2456054.69987153 0 177584.0651 359357.573050965
1980-12-28 12 22 28 1980 239370.3838 981551.137582501 0 239370.383800001 713369.10379402
1981-01-04 1 23 4 1981 364960.9877 2165989.38728087 2011.65710568894 314960.9877 1723365.57480411
1981-01-11 1 24 11 1981 280460.5943 2760359.0840262 0 230460.5943 1363330.9227373
1981-01-18 1 25 18 1981 266035.4573 2265029.9756516 0 216035.4573 973813.21554915
1981-01-25 1 26 25 1981 276733.2707 1991332.30458354 0 226733.2707 943430.137398357
1981-02-01 2 27 1 1981 348790.949 2075215.82427929 0 298790.949 1124945.57302341
1981-02-08 2 28 8 1981 334830.8877 2580474.33351344 0 297330.8877 985157.665823415
1981-02-15 2 29 15 1981 318569.9172 2421708.46723325 0 281069.9172 918081.616464017
1981-02-22 2 30 22 1981 496041.2573 1631219.31497519 0 458541.2573 1296407.37664882
1981-03-01 3 31 1 1981 447193.727889575 1996652.72543763 0 409693.727889574 1890272.0587504
1981-03-08 3 32 8 1981 317862.29878636 2391625.51465727 0 292862.29878636 1180747.3664304
1981-03-15 3 33 15 1981 328627.12709772 2385066.80808802 0 303627.12709772 923124.417514197
1981-03-22 3 34 22 1981 385147.4587606 1764633.45940828 0 360147.4587606 1121674.19668464
1981-03-29 3 35 29 1981 462382.6144774 1551469.41784258 0 437382.6144774 1028600.44413758
1981-04-05 4 36 5 1981 437753.279811 222404.089175 0 412753.279811 794238.460178291
1981-04-12 4 37 12 1981 343971.248183 991422.973230741 0 318971.248183 746087.134255741
1981-04-19 4 38 19 1981 312876.8720253 824916.762563051 0 287876.8720253 553262.552100551
1981-04-26 4 39 26 1981 711290.3661886 1318810.68156646 0 686290.3661886 1066568.30659059
1981-05-03 5 40 3 1981 115661.759542452 1957829.68050585 0 548244.797541 2320207.95587401
1981-05-10 5 41 10 1981 406158.040890102 2073208.94496961 0 573575.002891554 2634880.30888573
1981-05-17 5 42 17 1981 358900.4494869 2210474.74567558 0 358900.4494869 1757381.97281845
1981-05-24 5 43 24 1981 500374.974225 2643474.11662602 57903.1260312945 500374.974225 2561567.54082317
1981-05-31 5 44 31 1981 552737.72032 3059689.13249351 942680.9419 552737.72032 3553366.07907566
1981-06-07 6 45 7 1981 660705.545604189 815018.411463429 1082156.5761 660705.545604189 2767262.17967994
1981-06-14 6 46 14 1981 656299.275466974 1111647.23862175 1220982.7634 656299.275466974 2971629.81503469
1981-06-21 6 47 21 1981 560787.4781173 600473.219963429 1683942.09270065 560787.4781173 2299431.62029301
1981-06-28 6 48 28 1981 191808.357267 738087.846364591 2152400 191808.357267 2669988.32666724
1981-07-05 7 49 5 1981 117913.697491361 121483.25 2152400 69028.5439915995 1659710.10169497
1981-07-12 7 50 12 1981 146249.449059534 745626.767101945 2152400 99472.2702039996 1489795.73520109
1981-07-19 7 51 19 1981 162269.037577498 1635504.75255095 1999156.84890462 23366.3837609997 968197.958221144
1981-07-26 7 52 26 1981 112849.877403 1259206.74666067 1496425.15600544 21054.5185580001 552400.280378094
1981-08-02 8 1 2 1981 119500.5667961 979554.814501067 493481.226968369 42280.5513629998 550183.11338733
1981-08-09 8 2 9 1981 122186.85309502 605385.325448024 1048747.42165488 43588.9357320002 1698597.92022433
1981-08-16 8 3 16 1981 128705.0522045 637033.249032395 882669.324449303 30803.4358290003 1100974.81969744
1981-08-23 8 4 23 1981 129678.323731 672340.679491011 816241.383726384 22554.6812489004 1072935.07720277
1981-08-30 8 5 30 1981 130868.816675 697403.712780975 673630.963596663 24117.6516595004 961616.580637963
1981-09-06 9 6 6 1981 126476.9866385 870345.061221715 534505.769867135 70837.3754579998 820319.752338118
1981-09-13 9 7 13 1981 128918.952721 409685.738239039 714184.422965012 76303.1589550004 663273.033101743
1981-09-20 9 8 20 1981 131709.2878555 255644.206825382 538738.355276246 77812.0708569997 283545.750284101
1981-09-27 9 9 27 1981 131284.378879986 601425.172437061 354924.709777948 110391.702511 296210.761631561
1981-10-04 10 10 4 1981 115141.42674028 479571.186320859 353149.372133623 198647.429528 656376.040570813
1981-10-11 10 11 11 1981 122192.666302285 500120.032494596 493555.154689528 181567.02272198 587930.550411241
1981-10-18 10 12 18 1981 79886.22353 560541.618864528 551324.711251566 343086.366338778 586596.457806692
1981-10-25 10 13 25 1981 96891.196336582 600108.533719312 385834.982105677 241469.8826932 390766.118438509
1981-11-01 11 14 1 1981 129140.92074 509643.461224152 37760.3438174212 162473.969353635 221878.127844528
1981-11-08 11 15 8 1981 139948.93535 796259.367627148 67477.5769699998 122634.4199 424405.239364131
1981-11-15 11 16 15 1981 143228.71167 1290530.26512302 0 128613.7042 296449.975454131
1981-11-22 11 17 22 1981 81397.28363 1471115.65676166 0 311444.0498 379539.422182471
1981-11-29 11 18 29 1981 206431.097636444 1195647.672035 0 401321.6174 434009.166302471
1981-12-06 12 19 6 1981 224110.0752 2943157.29799533 525093.545961669 224110.0752 1231468.97626946
1981-12-13 12 20 13 1981 237852.396 1587073.30352147 180180.47416544 237852.396 533663.682957735
1981-12-20 12 21 20 1981 329003.7704 1908768.7508422 0 329003.7704 489488.053789767
1981-12-27 12 22 27 1981 579814.2723 821158.761563746 0 579814.2723 403772.508699659
1982-01-03 1 23 3 1982 350723.679 2508465.83325497 0 300723.679 644329.974685741
1982-01-10 1 24 10 1982 298505.3906 1969568.07411517 0 248505.3906 479319.606528072
1982-01-17 1 25 17 1982 283232.3125 1932436.563482 0 233232.3125 533504.158401407
1982-01-24 1 26 24 1982 274946.0101 2140267.29872069 0 224946.0101 535734.360797458
