"date" "month" "week" "day" "year" "MICAA" "REVEL" "ARROW" "DUNCA" "LIBBY" "BONFE" "CORRA" "FLASF" "FLAPO" "NOXON" "CABIN" "ALBEN" "BOUND" "GCOUL" "CHIEF" "WELLS" "ROCKY" "RISLA" "WANAP" "PRIRA" "UpSnake" "MdlSnake" "BROWN" "OXBOW" "HCANY" "DWORS" "LGRAN" "LGOOS" "LMONU" "ICEHA" "MCNAR" "JDAYY" "DALLES" "BONNE"
1979-08-05 8 1 5 1979 220562.8041147 316007.441614699 345525.577326599 32116.0539 84800.1614608 699424.95270559 769626.85106159 10658.613405631 79149.4944 221167.80342 231086.483895021 225038.190834821 626840.253295412 1724038.2378936 2327075.1955986 2329466.6098186 2350619.8254546 2368166.5804676 2353617.3677226 2345861.5295786 58690.936845 107830.561745 347326.844545 410120.510936758 405674.742059458 12266.062550868 694190 692983.5337321 504665.987312558 502313.117648558 2767646.44358716 2743342.82330716 2822958.86314716 2908285.16744216
1979-08-12 8 2 12 1979 258468.41793414 344263.981634138 345831.106924238 34805.73431 78560.5548195 82144.1403144501 155637.93298385 7891.884781228 73687.632795 208767.520295 212400.472944216 215087.812242716 215504.174558026 721256.713306115 793043.571153714 794614.542683714 812306.438775714 828210.935059714 813189.037136814 805909.773512814 68299.427025 143084.078845 324323.287545 397144.346675004 390024.766805304 10697.868426054 653128.456622109 650647.392486309 470587.937073504 467983.059321504 1183598.20174432 1156301.30097432 1234117.95139432 1333496.20536032
1979-08-19 8 3 19 1979 246990.88324152 321274.338032489 330421.332288369 38554.72375 76827.5370598 80185.8352156198 153305.732710262 7335.946770941 72465.9741386 217739.6415976 221009.9256976 219999.2417416 219285.55697689 773333.271054497 836068.141174897 847886.264005897 859551.543113897 870797.851049897 853013.456857097 848616.956168097 77566.3140317 213323.1183617 572800.5939017 547471.205031001 531557.386303101 13486.193668206 706317.781829463 685108.862660653 554974.676063291 535197.604677291 1306438.04967539 1259520.72380139 1325158.10960139 1404811.38132839
1979-08-26 8 4 26 1979 246410.5664262 306029.005476818 379610.421293638 41262.27042 77515.0035647 80304.6380020596 168427.173746438 7567.467581124 69804.44987 204294.77753 206797.595138235 200286.451854335 198279.738999615 829862.802493447 895443.677710747 939783.152719747 948918.033383747 958311.825005747 936997.721592447 928478.578493447 61726.4483809 155771.1617009 414738.5559109 425664.036652467 419663.152880467 15985.442889989 664557.613959097 672542.632634597 562082.770734967 571178.186210967 1439065.63693441 1427609.08671041 1506237.09163641 1605548.58145241
1979-09-02 9 5 2 1979 210824.20729547 256962.20875388 268017.93157826 43134.30798 73880.4956619 91358.0880927204 188862.735292399 7769.061693645 66006.165959 188266.980369 194908.485019601 204743.580262901 209298.316129736 899353.377837664 962439.824083064 998175.068846064 1014213.13418806 1024639.22812406 1011881.26391596 1008949.71125396 52223.8817754 108506.7407754 347198.2947054 342572.301538646 335768.894669446 12355.793183071 520695.800459031 521028.689489801 423182.897009216 423948.866399216 1369559.08456318 1375344.30621818 1448901.48984818 1511004.24224418
1979-09-09 9 6 9 1979 162238.971357231 289103.817368787 395574.859732217 49237.03197 63202.0334475 110510.221076426 229847.494782812 5710.801398973 52748.238538 136553.030468 146304.734682337 163122.689170917 197632.183934282 844448.15429442 973638.718966254 1028087.65885325 1017947.04746035 1021686.23744835 989632.076904955 982097.796277955 45962.5531207 76484.6411407002 336230.1545007 97251.4612261493 93686.0117793493 6707.844854143 253011.987505103 255597.472147723 163435.785996569 165484.513747669 1105103.26283562 1107091.92046262 1172932.99983862 1143806.05971452
1979-09-16 9 7 16 1979 172005.149925553 255065.16997046 419585.65954288 40676.75485 52311.7905573 60723.4373443126 150845.887755392 4296.931331194 52095.170372 113779.354212 121484.520994057 136117.744898257 173543.837603962 765173.579623192 954293.401233524 973351.730396524 989163.354327524 1002424.38953952 996647.667074124 998333.810286124 42202.848055 72175.5126049999 320589.925575 318299.561353441 314151.342319641 5293.241874755 432834.921730349 432793.077845099 348542.738160391 348223.137009391 1356166.84702552 1386542.83464552 1443475.88062552 1417174.12633052
1979-09-23 9 8 23 1979 123159.310889731 227557.272223244 218014.677795544 14220.25377 42556.6894146 67454.2007465885 114611.600057132 3153.728757283 51306.94681 104675.19955 111618.170631285 125257.029530085 166441.341275684 828227.286032908 977140.460485795 980581.380829795 1009374.03912279 1025590.79793679 1035156.29554039 1043412.77404439 39563.277734 77509.1472939998 314895.147484 312662.766404253 309126.010399153 4424.966813084 412122.061040554 411710.849028364 333392.600682963 332652.098546963 1433291.38681136 1495166.39938136 1555728.94800136 1539302.01471936
1979-09-30 9 9 30 1979 137388.996993 242826.507853228 232325.409023108 26099.59109 41610.8665389 73368.0657649859 118068.820095607 2603.032193214 52817.050119 116971.431909 123392.409368298 135084.589966098 178905.040323237 763475.57031137 1007686.49246622 1003342.18761922 1010617.34021222 1016419.38199622 1009177.75755912 1007356.89801412 43895.058826 100893.920196 348938.882206 345881.629086484 339487.404805784 4338.246643757 423641.2790424 418661.14856146 351575.313478844 348468.966120044 1336719.86939417 1364707.45755417 1413252.49139617 1396549.74747317
1979-10-07 10 10 7 1979 69678.39144892 250612.087251276 314655.605622076 16901.72777 39487.151487701 77881.7408370232 131031.6146742 2188.168752091 54004.818833 132336.469618 136819.080778 162166.81311084 172150.776560421 1020559.52321789 1239892.49626887 1243736.74564787 1238994.42197787 1239476.60951587 1225715.52802367 1219358.01122747 37527.2276234 117425.1150804 318147.060397399 318103.537704415 318016.926837803 6167.475052866 473098.737190279 475966.716796039 396838.361566063 399271.880417673 1603073.25718515 1644649.09802015 1721091.75384315 1686880.87916115
