"date" "month" "week" "day" "year" "MICAA" "REVEL" "ARROW" "DUNCA" "LIBBY" "BONFE" "CORRA" "FLASF" "FLAPO" "NOXON" "CABIN" "ALBEN" "BOUND" "GCOUL" "CHIEF" "WELLS" "ROCKY" "RISLA" "WANAP" "PRIRA" "UpSnake" "MdlSnake" "BROWN" "OXBOW" "HCANY" "DWORS" "LGRAN" "LGOOS" "LMONU" "ICEHA" "MCNAR" "JDAYY" "DALLE" "BONNE"
1979-08-05 8 1 5 1979 215912.804114699 316007.441614699 342211.5773266 31464.0538999999 691520.1614608 699424.95270559 771793.85106159 421108.613405631 477249.728045281 221167.80342 231086.483895021 623138.424480102 626840.253295412 2254338.2378936 2327075.1955986 2329466.6098186 2350619.8254546 2368166.5804676 2353617.3677226 2345861.5295786 58690.9368449999 107830.561745 414388.489401748 410120.510936758 405674.742059458 195412.768290542 694190 692983.5337321 504665.987312558 502313.117648558 2767646.44358716 2743342.82330716 2822958.86314716 2908285.16744216
1979-08-12 8 2 12 1979 258468.417934138 344263.981634138 345831.106924239 34805.73431 78560.5548195001 82144.1403144501 155637.93298385 27389.1056444 73687.632795 208767.520295 212400.472944216 215087.812242716 215504.174558026 721256.713306114 793043.571153714 794614.542683714 812306.438775714 828210.935059714 813189.037136814 805909.773512814 68299.4270250001 143084.078845 402791.642688252 397144.346675004 390024.766805304 181861.765846805 653128.456622109 650647.392486309 470587.937073504 467983.059321504 1183598.20174432 1156301.30097432 1234117.95139432 1333496.20536032
1979-08-19 8 3 19 1979 267412.924832489 321274.338032489 350108.602297344 40583.8293434425 76827.5370597998 80185.8352156198 153305.732710262 28098.86659506 72465.9741386001 217739.6415976 221009.9256976 219999.2417416 219285.55697689 773333.271054497 836068.141174897 847886.264005897 859551.543113897 870797.851049897 853013.456857097 848616.956168097 77566.3140317001 213323.1183617 556831.29359288 547471.205031001 531557.386303101 116992.453079362 706317.781829463 685108.862660653 554974.676063291 535197.604677291 1306438.04967539 1259520.72380139 1325158.10960139 1404811.38132839
1979-08-26 8 4 26 1979 267983.836076818 306029.005476818 434297.126857394 46898.6588118786 77515.0035646996 80304.6380020596 168427.173746438 7843.989057941 69804.4498699999 204294.77753 206797.595138235 200286.451854335 198279.738999615 829862.802493447 895443.677710747 939783.152719747 948918.033383747 958311.825005747 936997.721592447 928478.578493447 61726.4483809001 155771.1617009 430707.85621972 425664.036652467 419663.152880467 130240.51633863 664557.613959097 672542.632634597 562082.770734967 571178.186210967 1439065.63693441 1427609.08671041 1506237.09163641 1605548.58145241
1979-09-02 9 5 2 1979 225377.09605388 256962.20875388 421291.294005529 58931.7159946789 84850.4956619004 91358.0880927204 188862.735292399 26139.1398091049 68064.152512905 188266.980369 194908.485019601 206801.566816806 209298.316129736 899353.377837664 962439.824083064 998175.068846064 1014213.13418806 1024639.22812406 1011881.26391596 1008949.71125396 52223.8817754001 108506.7407754 347198.2947054 342572.301538646 335768.894669446 95652.8583095854 520695.800459031 521028.689489801 423182.897009216 423948.866399216 1369559.08456318 1375344.30621818 1448901.48984818 1511004.24224418
1979-09-09 9 6 9 1979 218178.514368787 289103.817368787 403430.749757326 46629.4594871755 99451.4734825282 110510.221076426 217149.494782812 54571.6662103988 82710.6820589248 136553.030468 146304.734682337 193085.132691842 197632.183934282 944859.542527355 973638.718966254 1028087.65885325 1017947.04746035 1021686.23744835 989632.076904955 982097.796277955 45962.5531207002 76484.6411407003 99230.1545007003 97251.4612261493 93686.0117793493 73166.7313567535 253011.987505103 255597.472147723 163435.785996569 165484.513747669 1105103.26283562 1107091.92046262 1172932.99983862 1143806.05971452
1979-09-16 9 7 16 1979 185526.04857046 255065.16997046 436904.087720773 42622.0759384793 55379.5144328026 60723.4373443126 145599.165038457 61964.8664144797 85082.4888867937 113779.354212 121484.520994057 169105.063413051 173543.837603962 893166.571274024 954293.401233524 973351.730396524 989163.354327524 1002424.38953952 996647.667074124 998333.810286124 42202.848055 72175.5126050003 320589.925575 318299.561353441 314151.342319641 61610.1143897082 432834.921730349 432793.077845099 348542.738160391 348223.137009391 1356166.84702552 1386542.83464552 1443475.88062552 1417174.12633052
1979-09-23 9 8 23 1979 184684.532823244 227557.272223244 454617.520893251 24655.307296544 63183.6687374285 67454.2007465885 153869.596033972 72736.0119278507 88235.7765846708 104675.19955 111618.170631285 162185.859304756 166441.341275684 923091.946701895 977140.460485795 980581.380829795 1009374.03912279 1025590.79793679 1035156.29554039 1043412.77404439 39563.2777339998 77509.1472939998 314895.147484 312662.766404253 309126.010399153 55355.4137634014 412122.061040554 411710.849028364 333392.600682963 332652.098546963 1433291.38681136 1495166.39938136 1555728.94800136 1539302.01471936
1979-09-30 9 9 30 1979 199880.238053228 242826.507853228 441306.536359197 28769.568623421 70083.3510055159 73368.0657649859 164883.539628937 76992.2360225336 93005.0721449886 116971.431909 123392.409368298 175272.611992087 178905.040323237 978744.368383022 1007686.49246622 1003342.18761922 1010617.34021222 1016419.38199622 1009177.75755912 1007356.89801412 43895.058826 100893.920196 348938.882205999 345881.629086484 339487.404805784 40579.773101616 423641.2790424 418661.14856146 351575.313478844 348468.966120044 1336719.86939417 1364707.45755417 1413252.49139617 1396549.74747317
1979-10-07 10 10 7 1979 218447.673691276 250612.087251276 677715.335623883 37345.6584787372 77287.5971248533 77881.7408370232 180663.87560359 39680.067674353 54004.818833 132336.469618 136819.080778 162166.81311084 172150.776560421 1202246.56814597 1239892.49626887 1243736.74564787 1238994.42197787 1239476.60951587 1225715.52802367 1219358.01122747 37527.2276233998 117425.115080399 318147.060397399 318103.537704415 318016.926837803 41260.1879314752 473098.737190279 475966.716796039 396838.361566063 399271.880417673 1603073.25718515 1644649.09802015 1721091.75384315 1686880.87916115
1979-10-14 10 11 14 1979 244929.232359777 266846.043229777 536165.301120231 31525.2635418812 90028.0826708143 90778.2797780273 187583.966212696 39418.763938 53516.9866365499 131630.61982027 135963.63508027 160366.39069327 169996.6151311 1015491.19800575 1061141.70636323 1069055.04137923 1080382.43524213 1086400.90792513 1084582.09668763 1084728.06733293 35957.0978982081 106014.879415208 283515.377828708 282891.317628708 281591.806359399 43005.5962317751 423010.733904644 423399.97898691 346222.316240635 347883.359056255 1463124.93633818 1533201.47121798 1618388.61638258 1600130.42131558
1979-10-21 10 12 21 1979 247623.844400555 270320.053780555 410495.448038783 32286.3703895012 92363.0836890998 98327.1407590998 190680.074078601 29631.545614 51546.32874 132988.231989369 137728.351789369 157290.327488059 165552.000625889 954816.911879404 980723.210796384 991664.554939984 982451.389707684 981863.024899784 966366.830060884 962154.322117384 52517.8424590998 139969.982098505 338512.637108955 336779.913208955 330852.830656556 43116.4932205649 490437.522525211 476132.022907477 390404.528601612 380606.038691842 1325228.21717523 1369367.70410543 1456263.14889662 1435355.77033392
1979-10-28 10 13 28 1979 216697.408745987 237816.754505987 359457.190079364 27966.378403139 79707.5840537439 97792.4314237439 173704.582456883 21893.1227 49942.98755 144045.25662 153265.92632 188374.77422471 201074.16056254 810837.772536247 862042.677913886 909551.106154987 909839.340961407 917140.073307007 899278.610739807 896911.604989007 68454.9554499998 194979.595503245 533130.598269986 533748.339969986 530189.897769986 40927.0839560947 742796.48678367 736086.637665936 636867.548065742 631691.541169232 1514899.78818224 1562685.33656614 1696900.44119152 1653426.44428241
