"date" "month" "week" "day" "year" "ARFirmEngSupReq" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1979-08-05 8 1 5 1979 0 334093840.839209 1403908.00333762 0 3487152.02592518 1413907.00333762 0
1979-08-12 8 2 12 1979 0 53781595.1514837 1050388.15742481 0 1471652.37544998 1060387.15742481 0
1979-08-19 8 3 19 1979 0 52597674.9318788 804355.747357006 0 1457173.30562484 814354.747357006 70426.6943751648
1979-08-26 8 4 26 1979 0 51938219.2702055 548139.932565705 0 1428051.79670729 558138.932565705 182348.203292714
1979-09-02 9 5 2 1979 5748.85546356398 52214116.0914781 350401.070380336 41239.4278131463 1179244.57218685 342074.856743518 484800
1979-09-09 9 6 9 1979 89910.6381033332 36526355.1107886 983502.729491237 431900.379832465 832215.620167535 873982.512459648 181800
1979-09-16 9 7 16 1979 101179.039355254 35536260.0149253 882924.46519299 471579.547352799 836168.452647201 808696.698756294 181800
1979-09-23 9 8 23 1979 109243.75434717 34982528.7987425 599506.082777504 529432.834777136 821947.165222864 519876.331815704 181800
1979-09-30 9 9 30 1979 114474.975007058 34414392.0514791 322257.738719606 579065.316247794 815946.683752206 251821.20685612 181800
1979-10-07 10 10 7 1979 133072.866385697 29428689.1466689 723355.564915478 561049.281592228 868868.318407772 668379.947142731 363600
1979-10-14 10 11 14 1979 139505.934555582 28558854.0329805 279245.506658349 637041.092566537 827782.107433464 257573.828861286 363600
1979-10-21 10 12 21 1979 135104.003638228 27865993.8873171 39533.1968402451 642852.136190417 856876.663809583 45846.5863950417 363600
1979-10-28 10 13 28 1979 114992.181333377 27304266.3223372 0 546883.209264251 987751.190735749 9999 363600
1979-11-04 11 14 4 1979 125896.868926052 26885513.8644636 0 594532.980394885 975007.019605115 9999 363600
