"date" "month" "week" "day" "year" "shortfall_1" "shortfall_2" "shortfall_5" "shortfall_6" "shortfall_7" "shortfall_8" "shortfall_9" "shortfall_10" "shortfall_11" "NumOfLowFlowBonn" "BelowFCC" "FirmEnergySales" "NonFirmSpotSales" "MaxSystemEnergy"
1979-08-05 8 1 5 1979 0 0 0 0 0 1388.75996380029 0 0 85060.1309076254 0 0 30702000 19056000 1741911.14826619
1979-08-12 8 2 12 1979 332596.271012975 479520 0 31081.7147675852 0 116071.803190674 0 0 84428.0324453759 0 0 21925530.5145459 0 626443.728987025
1979-08-19 8 3 19 1979 324420.517136368 479520 0 26256.9223566659 0 100008.431318481 0 0 82134.2346768889 0 0 25106783.9002271 0 717336.682863632
1979-08-26 8 4 26 1979 506619.519556483 479520 0 31719.9173685446 0 113243.317541908 0 0 84150.4828592597 0 0 21624920.8155231 0 617854.880443517
1979-08-02 8 5 2 1979 557091.993479194 479520 0 31969.3699224276 0 107995.572482584 0 0 84181.027367251 0 0 22753486.2282282 0 650099.606520806
1979-09-09 9 6 9 1979 687732.358651679 179820 0 0 0 0 0 0 85260.2351500194 0 0 19691561.4471912 0 562616.041348321
1979-09-16 9 7 16 1979 679194.278089877 179820 0 0 0 0 0 0 86560.2399170131 0 0 21500882.2668543 0 614310.921910123
1979-09-23 9 8 23 1979 695145.079944934 179820 0 0 0 0 1.98186277534614 0 87178.2925277032 0 0 22453092.2019273 0 641516.920055066
1979-09-30 9 9 30 1979 723020.593336095 179820 0 0 0 0 5.72434647215687 0 87179.7548014016 0 0 22987937.2332367 0 656798.206663905
1979-10-07 10 10 7 1979 668120.030667474 359640 0 0 0 0 9.20074025001713 0 86383.6920253131 0 0 26117847.3266384 0 746224.209332526
1979-10-14 10 11 14 1979 693764.938076005 359640 0 0 0 0 13.2281437865784 0 83739.5046205386 0 0 26428665.9673398 0 755104.741923995
1979-10-21 10 12 21 1979 731470.748656947 359640 0 0 0 0 16.0781854226616 0 81411.4687230372 0 0 26317352.9970068 0 751924.371343053
1979-10-28 10 13 28 1979 795083.958926071 359640 0 0 0 0 17.9084738245674 0 82625.8124524197 0 0 25299281.0375875 0 722836.601073929
1979-10-04 10 14 4 1979 891454.304956168 359640 0 0 0 0 20.1627948908185 0 83344.9254354069 0 0 23134709.3265341 0 660991.695043832
1979-11-11 11 15 11 1979 656855.785552125 3236760 0 0 0 0 0 0 83475.5729973136 0 0 29835169.5056756 0 852433.414447875
1979-11-18 11 16 18 1979 1097583.86135685 3236760 0 0 0 0 0 0 82978.569384686 1078337.19414428 0 12899198.8525104 0 368548.538643153
1979-11-25 11 17 25 1979 1040821.87532751 3236760 0 0 0 0 0 0 83553.9901105679 1053761.58664728 0 13375380.3635373 0 382153.724672494
1979-11-02 11 18 2 1979 930447.709436099 3236760 0 0 0 0 0 0 79955.9082698722 877091.258319694 0 15727988.1697366 0 449371.090563901
1979-12-09 12 19 9 1979 316969.551984744 1817800.38 0 0 0 0 0 0 80695.8491959875 0 0 40220699.680534 0 1149162.84801526
1979-12-16 12 20 16 1979 952169.029292953 1811266.92 0 0 0 0 0 0 81947.8371452521 424953.875781266 0 21009693.9747467 0 600276.970707047
1979-12-23 12 21 23 1979 1068265.59608368 1804733.46 0 0 0 0 0 0 82858.8128039334 455689.693882865 0 19967290.1370711 0 570494.003916318
1979-12-30 12 22 30 1979 1147183.40022451 1438560 0 0 0 0 0 0 82949.5446403183 475045.847882751 0 20226142.992142 0 577889.799775485
1980-01-06 1 23 6 1980 872472.202824387 719280 0 0 0 0 0 0 82132.2396167318 0 0 29958517.3011464 0 855957.637175613
1980-01-13 1 24 13 1980 815951.075499423 719280 0 0 0 0 0 0 75469.4805973029 0 0 32054239.1575202 0 915835.404500576
1980-01-20 1 25 20 1980 1001965.80398881 719280 0 0 0 0 0 0 71708.6818040292 0 0 25661206.0603916 0 733177.31601119
1980-01-27 1 26 27 1980 1058303.09121174 719280 0 0 0 0 0 0 73323.3113773449 183735.831866168 0 23806883.4075891 0 680196.668788261
1980-01-03 1 27 3 1980 1046937.35466623 719280 0 0 0 0 0 0 74230.9996714729 132809.619960611 0 24322166.5866821 0 694919.045333774
1980-02-10 2 28 10 1980 796363.173496353 959040 0 0 0 0 0 0 59035.8178026762 0 0 29169189.9276276 0 833405.426503647
1980-02-17 2 29 17 1980 680672.415060451 959040 0 0 0 0 0 0 56021.8032166119 0 0 29295293.4728842 0 837008.384939549
1980-02-24 2 30 24 1980 654355.584494304 959040 0 0 0 0 0 0 53325.5632614123 0 0 26293309.5426994 0 751237.415505696
1980-02-02 2 31 2 1980 637491.032987726 959040 0 0 4195.93740126237 0 0 0 52611.7501485237 0 0 22960495.8454296 0 656014.167012274
1980-03-09 3 32 9 1980 607309.676704012 2037960 0 17072.448330433 12571.7503994351 0 0 0 58012.3113971787 164524.453869314 0 20544818.8153596 0 586994.823295988
1980-03-16 3 33 16 1980 555409.468783655 2037960 0 21387.1711896784 16090.5654008159 0 0 0 61732.1003048208 310822.873506856 0 18889301.5925721 0 539694.331216345
1980-03-23 3 34 23 1980 468103.076318977 2037960 0 22109.3447781464 13167.9505505587 0 0 0 64071.1878659029 358604.144479414 0 18473000.8288358 0 527800.023681023
1980-03-30 3 35 30 1980 428761.477541219 2037960 0 27272.3537822683 18875.873703285 0 0 0 69262.750811924 536489.575563804 0 16377932.2860573 0 467940.922458781
1980-04-06 4 36 6 1980 416022.42114095 1918080 0 49793.3407421669 29503.8763696512 28080.7619773242 0 0 65700.6116943352 472337.008746678 0 14715409.7600667 0 420440.27885905
1980-04-13 4 37 13 1980 88536.7931399818 1918080 0 21827.5998404551 7360.68336651262 0 0 0 39731.8037712821 0 0 24069017.2401006 0 687686.206860018
1980-04-20 4 38 20 1980 0 1396934.74175756 0 0 0 0 0 0 2998.60377849899 0 0 25084500 9536958.22583665 1237845.25824244
1980-04-27 4 39 27 1980 0 599723.579597901 0 0 0 0 0 0 0 0 0 22974000 24125922.4933584 1974756.4204021
1980-05-04 5 40 4 1980 0 848509.58000502 0 0 0 0 0 0 6061.24804913033 0 0 24662400 11926831.0559157 1414570.41999498
1980-05-11 5 41 11 1980 0 747638.170778363 0 0 0 0 0 0 17947.7363740047 0 0 26350800 13621470.7309235 1563681.82922164
1980-05-18 5 42 18 1980 0 333174.016168777 0 0 0 0 0 0 7875.76811646282 0 0 28039200 20584468.5283645 2026385.98383122
1980-05-25 5 43 25 1980 0 290650.654409988 0 0 0 0 0 0 18448.1948919328 0 0 29727600 21298861.0059122 2117149.34559001
1980-05-01 5 44 1 1980 0 382721.551160934 0 0 0 0 0 0 25754.8287765707 0 0 31416000 19752069.9404963 2073318.44883907
1980-06-08 6 45 8 1980 0 0 0 0 0 0 0 0 8932.25262241268 0 0 31111500 5040000 1899133.56781035
1980-06-15 6 46 15 1980 0 0 0 0 0 0 0 0 10902.2527796016 0 0 30807000 5040000 2108375.18991691
1980-06-22 6 47 22 1980 0 0 0 0 0 0 0 0 27424.7240951812 0 0 30502500 5040000 1838210.20303964
1980-06-29 6 48 29 1980 0 0 0 0 0 0 0 0 55453.3815156047 0 0 30198000 5040000 1626638.04364285
1980-07-06 7 49 6 1980 0 2272289.41748469 0 0 0 0 0 0 60037.0158842197 0 0 29599500 21016606.8929441 1570410.58251531
1980-07-13 7 50 13 1980 0 2250368.82005047 0 0 0 8672.51228463446 0 0 70709.8878475562 0 0 29001000 21652304.2185363 1575231.17994953
1980-07-20 7 51 20 1980 108484.923615539 2997000 0 24088.6576963223 0 101359.534921617 0 0 78653.5242516883 0 0 24577125.1734561 0 702203.576384461
1980-07-27 7 52 27 1980 312345.424744876 2997000 0 27953.8092128812 0 135551.704690484 1.05908002965862 0 82907.0358682954 0 0 16844106.1339293 0 481260.175255124
1980-08-03 8 1 3 1980 411604.493713954 479520 0 30693.6143325314 0 130314.914789121 3.93450082393497 0 82797.003421371 0 0 16265140.7200116 0 464718.306286046
1980-08-10 8 2 10 1980 471063.312938921 479520 0 37227.862333972 0 132476.928236293 6.73500159120545 0 90336.5440106376 0 0 17079184.0471378 0 487976.687061079
1980-08-17 8 3 17 1980 496727.464061204 479520 0 40369.9362422467 0 122292.659588624 10.2502677333339 0 93463.8213892911 0 0 19076040.7578578 0 545029.735938796
1980-08-24 8 4 24 1980 537178.194252272 479520 0 37465.4401903324 0 114570.536063941 11.9626001090519 0 90000.0819260887 0 0 20555367.2011705 0 587296.205747728
1980-08-31 8 5 31 1980 579366.575147672 479520 0 35185.02225464 0 110052.278195354 13.0566773802939 0 87400.0669267729 0 0 21973875.8698315 0 627825.024852328
1980-09-07 9 6 7 1980 641321.616271937 179820 0 0 0 0 16.4941158818169 0 85808.210772416 0 0 21315937.4304822 0 609026.783728063
1980-09-14 9 7 14 1980 676280.735114881 179820 0 0 0 0 18.9341067630703 0 82091.4785536215 0 0 21602856.2709792 0 617224.464885119
1980-09-21 9 8 21 1980 708480.105285702 179820 0 0 0 0 22.2176519485972 0 80016.6093565472 0 0 21986366.3150004 0 628181.894714298
1980-09-28 9 9 28 1980 726854.256639806 179820 0 0 0 0 24.3817349160211 0 83445.9094696891 0 0 22853759.0176068 0 652964.543360194
1980-10-05 10 10 5 1980 690834.681232321 359640 0 0 0 0 26.1378301797847 0 84354.6784093644 0 0 25322834.5568688 0 723509.558767679
1980-10-12 10 11 12 1980 703447.35931288 359640 0 0 0 0 28.1257145921184 0 83208.1143758477 0 0 26089781.2240492 0 745422.32068712
1980-10-19 10 12 19 1980 727883.717091574 359640 0 0 0 0 31.1358057873563 0 83012.9492251915 0 0 26442899.1017949 0 755511.402908426
1980-10-26 10 13 26 1980 770964.608795573 359640 0 0 0 0 34.2350362590646 0 83583.7183780308 0 0 26143458.292155 0 746955.951204427
1980-10-02 10 14 2 1980 905833.97960429 359640 0 0 0 0 37.6900921779552 0 81831.4830941153 0 0 22631420.7138499 0 646612.02039571
1980-11-09 11 15 9 1980 520384.165782894 3236760 0 0 0 0 0 0 74817.6305206124 0 0 34611676.1975987 0 988905.034217106
1980-11-16 11 16 16 1980 978000.017530924 3236760 0 0 0 0 0 0 81175.0737465303 900579.158789501 0 17084633.3864176 0 488132.382469075
