"date" "month" "week" "day" "year" "MICAA" "REVEL" "ARROW" "DUNCA" "LIBBY" "BONFE" "CORRA" "FLASF" "FLAPO" "NOXON" "CABIN" "ALBEN" "BOUND" "GCOUL" "CHIEF" "WELLS" "ROCKY" "RISLA" "WANAP" "PRIRA" "UpSnake" "MdlSnake" "BROWN" "OXBOW" "HCANY" "DWORS" "LGRAN" "LGOOS" "LMONU" "ICEHA" "MCNAR" "JDAYY" "DALLES" "BONNE"
1979-08-05 8 1 5 1979 474138.24809979 606444.966699789 695695.896916689 68491.2519 90847.4396301 709796.8238705 824419.8007395 11375.20864 53222.534125 83811.996565 103226.214865 103395.221529 513838.88847429 2000482.97694048 2561673.41157958 2575420.70235958 2591207.57428758 2601746.80633258 2602238.89344588 2541650.70185988 61521.468514 106002.860034 -66062.1039359999 140077.772281 143166.846422 17565.62297 990153.625401478 990571.234408188 219921.40701371 206033.77450471 2754701.97441459 2707746.25010459 2747475.81581459 2789530.70924259
1979-08-12 8 2 12 1979 497364.460637 638847.461136999 730564.5484521 69504.8058 72707.5504278 89838.25266044 202722.54609144 10103.80346 51569.701286 76973.149586 94875.962716 99872.983082 101183.90861729 1022686.74545083 1045964.99965093 1057687.93218793 1070706.64650593 1080223.41882893 1079113.37117343 984777.37208643 69913.8934079 133460.9030179 -43657.5440121001 150770.2686649 153875.6060098 19035.3753 261963.4985098 257805.22273189 230805.58823289 214809.70313489 1162465.53886132 1110595.47045132 1148575.37220132 1186428.43196332
1979-08-19 8 3 19 1979 519009.52473634 656860.788936341 771699.190166081 74390.09593 83130.375898 92328.1582589898 213342.77677089 11198.67969 51617.701273 83346.0376730001 100058.767913 107445.3093345 108159.20986979 1108956.56698676 1142610.81250156 1161157.41496556 1175364.22772956 1186251.52171456 1186115.43376746 1140654.94198746 78234.2752442 213462.4340042 81845.0967241997 136530.405366 142776.642932 18827.1108 328949.951384522 330156.981991232 248902.14916861 246656.33259301 1385486.18126047 1343511.74850847 1390208.41208447 1437510.62235147
1979-08-26 8 4 26 1979 475326.51780892 600999.267608922 699471.182789562 69455.21901 75772.6913687 88186.4599742 196469.8303662 12940.1676 51332.291097 88258.543937 102604.992827 111268.8897485 112302.12928379 995155.953979551 1034865.17457315 1055917.32815215 1069510.42931415 1079737.33332415 1079623.18110905 973952.156493051 61422.691661 162069.872171 89029.7038909996 129114.5883778 133548.5140556 20271.078 253102.8212386 252425.55404531 226157.84333931 218663.14607861 1201735.66791166 1163386.18340666 1216924.02836666 1267879.14770326
1979-08-02 8 5 2 1979 375621.37610892 603974.693662976 706357.362390786 57810.25826 72500.9817652 91911.793702913 188403.552265561 11722.31614 52539.029181 90426.4913010001 97493.6000010001 117712.9058156 117028.46675804 1060248.12010224 1090452.04631694 1115416.13570894 1129147.36591394 1141938.44666094 1142454.46689164 1043930.79872774 51334.280352 128707.231312 57964.5043320002 135935.7591555 142327.978701 15445.29201 249639.471871 251397.09715016 224991.33150456 218239.07223856 1274594.3107663 1252960.0436543 1302944.0339463 1377032.6158923
1979-09-09 9 6 9 1979 275512.1153 448502.810543922 534867.123443922 42918.35477 67269.7314125 58628.0598063094 144532.604200386 8154.051043 51562.1201602 86554.8475301999 93151.8735001999 108292.57615789 136040.362047937 921491.352314379 900416.523646854 924953.608244854 936848.577697954 946733.725125254 947695.930844654 918492.673785954 44424.888323 105791.595083 47122.0102530001 134413.6945447 140063.9487194 13120.6635 239132.961641533 239718.855141853 204897.29508832 203255.56722416 1163834.33114011 1148189.99200211 1202170.72874611 1267690.73814921
1979-09-16 9 7 16 1979 285719.0593 379887.15964181 450590.47482245 45235.0494 56819.8103886 129159.878896526 204543.009674698 6815.207829 51154.3676563 87787.1496473001 93918.0598373001 112137.39110518 139807.862689789 757684.400054738 1011905.65716289 1030789.66057789 1039691.80025189 1046095.84155689 1045889.66764929 988862.358203287 42608.890157 108366.718375 82885.8241650002 127229.7431686 133079.9149472 9586.117414 226601.862111851 227384.619233325 192460.229788374 185206.561040174 1179075.77966346 1154671.73949446 1203983.17232546 1262560.47577946
1979-09-23 9 8 23 1979 240047.6462 376765.804428413 432710.445284533 33838.02257 51989.3075533 85668.765601107 148951.274674905 4837.686814 51067.5964283 72293.0275383 78039.1442683 91591.36727618 133902.175641484 769780.476210943 1073084.58207692 1087554.94803292 1095982.18761362 1102214.83028962 1102132.99579432 1057243.02281232 41391.201758 100018.428648 95983.6826979997 127904.7387319 132449.6084538 10756.36556 224983.399858395 224224.999679869 185957.937286074 176625.642203874 1234194.0781362 1210933.7003952 1263780.5807922 1317781.8336122
1979-09-30 9 9 30 1979 156539.5321 364948.763768927 403877.695905687 20128.26806 45580.21916845 84880.0439059175 128197.294166092 5918.678743 51671.69718091 62825.65641091 73960.86501091 86354.74069879 126547.47779902 843278.717957887 1105926.40782056 1116109.77917356 1124055.08923956 1130632.76381776 1131921.41930596 1095587.48738666 44488.535162 102864.320102 113836.577212 127438.9600773 129995.1417446 10397.35723 222916.675478128 222868.841836128 183031.8832099 176605.3402883 1303659.18282496 1269506.45900996 1325655.01974796 1384431.59566996
1979-10-07 10 10 7 1979 157293.2512 442914.616038339 473340.406175099 26459.50886 44193.047659111 93399.7846289645 142432.307533397 5625.124971 52315.6242898 82950.5153778 94849.3604778 112749.90333251 109076.14462034 1008475.22118153 1295791.81321189 1305448.87493789 1311035.30032029 1315443.26271429 1315336.15974049 1269931.96007419 37453.4916509 116800.5584509 173151.2846469 122535.031076061 124819.482892122 8903.803243 228870.622821599 229184.667803865 188358.873627088 187657.716658958 1468298.71672715 1429490.33178015 1488185.88098595 1544180.61486695
1979-10-14 10 11 14 1979 158116.3919 448091.011492795 488232.506192795 22056.20229 48349.09954 97978.2573942931 162374.768670469 7947.770014 51831.26759443 88023.6707544299 99517.8876844299 124967.52278914 120403.18540697 1096970.89768239 1295678.19945092 1309460.55303392 1314041.44884072 1319372.14059372 1319070.88991632 1281211.00318042 35957.19386 106197.272701 116314.6495228 139387.90501 142882.78171 20925.62357 260034.528195217 256389.564177483 216028.676989606 224369.085749366 1510502.07544679 1465330.74470539 1528098.79375859 1590488.98207459
1979-10-21 10 12 21 1979 116598.3679 428500.327585564 478289.713439384 15853.88713 45157.69401 106759.88403735 177613.827055048 11470.41527 51148.0112 96333.4738200001 107329.83942 135776.49983471 139532.82507254 1137882.1064145 1262074.66562486 1279658.59312226 1284644.14965586 1293859.61084456 1292808.79703126 1287070.86690596 52517.84523 139971.0255 144751.7614 124158.41473 134085.68923 24856.86394 287342.572683565 287025.873765831 247125.145339606 256691.070543096 1604615.98358506 1570603.63018636 1637491.09588927 1730089.95224617
1979-10-28 10 13 28 1979 89658.85899 336761.226137239 385969.168837239 13791.07684 50499.18257 118511.644409742 181821.410514036 5587.439014 53786.0282 100683.22666 121648.51966 131873.02807471 134740.75811254 1062914.50952936 1205353.61176395 1226753.098644 1237114.10145042 1254735.26462892 1256602.69412262 1241102.39047182 68454.95545 194979.6564 161247.00583154 127099.70452 130945.65562 16147.4409 282756.988601118 285066.405883384 244290.566369606 239831.365073096 1597137.96304892 1576286.06653282 1647137.1334582 1729742.53584909
1979-10-04 10 14 4 1979 56669.76219 347414.682740122 370908.901840122 9167.604943 38074.71754 131759.863283454 190343.31025606 7672.067486 46792.30795 87935.45579 121832.9825 120192.57443542 127886.606756584 964099.375261953 1081450.39166618 1098729.29379632 1104904.78389963 1115751.82495153 1116182.61515279 1109438.03551837 44046.28045 128885.8522 168119.96425937 136257.39211 131481.19291 14021.15953 273933.969737307 274210.268033791 232069.439644674 229847.344239897 1378152.51536207 1346868.89797557 1416943.56609929 1480133.68600484
1979-11-11 11 15 11 1979 57227.11766 658264.713378817 670500.748668817 8171.902286 40540.17253 6415.2074 86332.6482991128 4827.769457 47976.44039 86243.5546600001 119087.85805 117873.89633542 173926.739681164 1413058.15759991 1486488.87656255 1500171.74499269 1504849.714196 1513132.1266479 1513295.14814916 1538579.66521474 40686.31593 101058.0743 177181.5192 133273.25935 128705.32465 11448.59709 243315.01541512 243853.132011604 219158.032324674 228033.459619897 1809058.44293844 1777844.24705194 1839272.96317566 1895832.33808121
1979-11-18 11 16 18 1979 49630.42209 91037.3716299992 100230.761699999 8205.6213 40137.52783 4132.23178 24677.0288399999 6261.8193 46937.10136 80979.42149 112950.99744 114234.22626542 171171.697861164 427708.761055163 475790.715047809 488352.922077949 493245.106181259 501247.849333159 501662.771634419 537445.802999999 37325.32687 84442.41684 168099.2036 136988.10306 131658.51526 9306.447943 253896.63717212 254379.216468604 231011.059281674 234933.758376897 824083.724080696 793902.916794196 851848.657117915 911222.578023465
1979-11-25 11 17 25 1979 51647.61253 92074.7271899983 122471.426799998 7707.769971 41093.56106 270.412909999999 17369.9201000001 4758.347957 49343.0522 77492.47872 104340.74797 108589.26657542 171955.169081164 405208.261156163 509985.762518809 521008.795648949 524907.260652259 531370.829804159 531635.008405419 559188.616770999 35183.20845 85662.0682799998 161837.3843 137595.4419 133243.7056 2439.669857 246899.34659812 247344.239894604 223861.041407674 226944.732102897 837647.098277696 818220.673091196 880914.843914915 935798.185520465
1979-11-02 11 18 2 1979 73253.5668 114722.003999996 175957.717399996 12297.52286 47736.20687 69245.3793015767 105548.856861576 13844.63057 55672.30953 92404.21692 97708.01952 132704.33705542 159277.180055972 572733.918692344 610166.095766582 621013.925285863 626971.629305293 642433.737506492 641277.704048542 679265.741101572 33551.01014 76668.0708299999 141488.9509 140288.59941 138560.99581 34877.3616 294693.921538667 291684.034611863 276695.174942383 276899.780762749 913077.474205622 929661.183020901 1003249.40800915 1112468.51384805
