"date" "month" "week" "day" "year" "MICAA" "REVEL" "ARROW" "DUNCA" "LIBBY" "BONFE" "CORRA" "FLASF" "FLAPO" "NOXON" "CABIN" "ALBEN" "BOUND" "GCOUL" "CHIEF" "WELLS" "ROCKY" "RISLA" "WANAP" "PRIRA" "UpSnake" "MdlSnake" "BROWN" "OXBOW" "HCANY" "DWORS" "LGRAN" "LGOOS" "LMONU" "ICEHA" "MCNAR" "JDAYY" "DALLE" "BONNE"
1979-08-05 8 1 5 1979 469488.248099789 606444.966699789 692381.896916689 67839.2519 697567.4396301 709796.8238705 826586.8007395 421825.20864 461319.903535 83811.996565 103226.214865 511492.590939 513838.88847429 2530782.97694048 2561673.41157958 2575420.70235958 2591207.57428758 2601746.80633258 2602238.89344588 2541650.70185988 61521.4685140001 106002.860034 140077.772281 140077.772281 143166.846422 771132.628809478 990153.625401478 990571.234408188 219921.40701371 206033.77450471 2754701.97441459 2707746.25010459 2747475.81581459 2789530.70924259
1979-08-12 8 2 12 1979 497364.460636999 638847.461136999 730564.5484521 69504.8058 72707.5504278 89838.25266044 202722.54609144 18196.60036 51569.701286 76973.149586 94875.962716 99872.9830819999 101183.90861729 1022686.74545083 1045964.99965093 1057687.93218793 1070706.64650593 1080223.41882893 1079113.37117343 984777.37208643 69913.8934078999 133460.9030179 150770.2686649 150770.2686649 153875.6060098 27767.6 261963.4985098 257805.22273189 230805.58823289 214809.70313489 1162465.53886132 1110595.47045132 1148575.37220132 1186428.43196332
1979-08-19 8 3 19 1979 519009.524736341 656860.788936341 771699.190166081 74390.0959300001 83130.3758979999 92328.1582589898 213342.77677089 18069.65819 51617.7012730001 83346.0376730001 100058.767913 107445.3093345 108159.20986979 1108956.56698676 1142610.81250156 1161157.41496556 1175364.22772956 1186251.52171456 1186115.43376746 1140654.94198746 78234.2752442001 213462.4340042 136530.405366 136530.405366 142776.642932 82767.8802605215 328949.951384522 330156.981991232 248902.14916861 246656.33259301 1385486.18126047 1343511.74850847 1390208.41208447 1437510.62235147
1979-08-26 8 4 26 1979 475326.517808922 600999.267608922 699471.182789561 69455.2190100001 75772.6913687 88186.4599742 196469.8303662 18835.27816 51332.291097 88258.543937 102604.992827 111268.8897485 112302.12928379 995155.953979551 1034865.17457315 1055917.32815215 1069510.42931415 1079737.33332415 1079623.18110905 973952.156493051 61422.6916609998 162069.872171 129114.5883778 129114.5883778 133548.5140556 27767.6 253102.8212386 252425.55404531 226157.84333931 218663.14607861 1201735.66791166 1163386.18340666 1216924.02836666 1267879.14770326
1979-08-02 8 5 2 1979 485495.994862976 603974.693662976 729615.917568634 60207.4450911478 73621.778311923 91911.793702913 188403.552265561 23198.9153 52539.0291810001 90426.4913010001 97493.6000010001 117712.9058156 117028.46675804 1060248.12010224 1090452.04631694 1115416.13570894 1129147.36591394 1141938.44666094 1142454.46689164 1043930.79872774 51334.2803520001 128707.231312 135935.7591555 135935.7591555 142327.978701 27767.6 249639.471871 251397.09715016 224991.33150456 218239.07223856 1274594.3107663 1252960.0436543 1302944.0339463 1377032.6158923
1979-09-09 9 6 9 1979 354962.297943922 448502.810543922 644974.828534908 57870.1592340769 51701.7775763094 58628.0598063094 136469.768871534 54324.6944806075 80496.1634078074 86554.8475301999 93151.8735001999 137226.619405498 136040.362047937 871692.218243544 900416.523646854 924953.608244854 936848.577697954 946733.725125254 947695.930844654 918492.673785954 44424.8883230002 105791.595083 134413.6945447 134413.6945447 140063.9487194 36032.0869621331 239132.961641533 239718.855141853 204897.29508832 203255.56722416 1163834.33114011 1148189.99200211 1202170.72874611 1267690.73814921
1979-09-16 9 7 16 1979 288542.34994181 379887.15964181 452698.095223286 45457.6660299126 117122.190796526 129159.878896526 202112.798721663 58093.3312711691 79884.1544284691 87787.1496473001 93918.0598373001 140867.177877349 139807.862689789 991127.159334688 1011905.65716289 1030789.66057789 1039691.80025189 1046095.84155689 1045889.66764929 988862.358203287 42608.8901570002 108366.718375 127229.7431686 127229.7431686 133079.9149472 35842.9490046506 226601.862111851 227384.619233325 192460.229788374 185206.561040174 1179075.77966346 1154671.73949446 1203983.17232546 1262560.47577946
1979-09-23 9 8 23 1979 295257.029528413 376765.804428413 489918.277974217 40723.0679789978 73391.077451107 85668.765601107 165266.730785242 72701.9325068644 92146.8104811644 72293.0275383 78039.1442683 132670.581329044 133902.175641484 1054779.91090322 1073084.58207692 1087554.94803292 1095982.18761362 1102214.83028962 1102132.99579432 1057243.02281232 41391.2017580001 100018.428648 127904.7387319 127904.7387319 132449.6084538 39159.7507105952 224983.399858395 224224.999679869 185957.937286074 176625.642203874 1234194.0781362 1210933.7003952 1263780.5807922 1317781.8336122
1979-09-30 9 9 30 1979 306224.125168927 364948.763768927 517939.850739174 28082.3194437748 77400.3731459175 84880.0439059175 171513.312589692 78386.83784079 96827.2212387 62825.65641091 73960.86501091 131510.26475658 126547.47779902 1098696.66992765 1105926.40782056 1116109.77917356 1124055.08923956 1130632.76381776 1131921.41930596 1095587.48738666 44488.535162 102864.320102 127438.9600773 127438.9600773 129995.1417446 40110.0240135277 222916.675478128 222868.841836128 183031.8832099 176605.3402883 1303659.18282496 1269506.45900996 1325655.01974796 1384431.59566996
1979-10-07 10 10 7 1979 388166.837638339 442914.616038339 717665.477243121 36266.5351921021 88990.5276389645 93399.7846289645 191287.682831067 34584.041301 52315.6242897999 82950.5153778 94849.3604778 112749.90333251 109076.14462034 1294301.23845599 1295791.81321189 1305448.87493789 1311035.30032029 1315443.26271429 1315336.15974049 1269931.96007419 37453.4916508999 116800.5584509 122535.031076061 122535.031076061 124819.482892122 41489.7883054772 228870.622821599 229184.667803865 188358.873627088 187657.716658958 1468298.71672715 1429490.33178015 1488185.88098595 1544180.61486695
