"date" "month" "week" "day" "year" "ARFirmEngSupReq" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1979-08-05 8 1 5 1979 0 349816755.527038 1624136.92882947 0 3845127.81682769 1634135.92882947 0
1979-08-12 8 2 12 1979 0 54744605.5953245 2153651.87120947 0 1633922.84741649 2163650.87120947 0
1979-08-19 8 3 19 1979 0 56127930.7435003 2154025.38237852 0 1820725.69421826 2164024.38237852 0
1979-08-26 8 4 26 1979 0 54871948.3922575 2158537.66293977 0 1619026.65184972 2168536.66293977 0
1979-08-02 8 5 2 1979 0 53918731.7650836 2167229.17945919 0 1470753.87039838 2177228.17945919 222446.129601624
1979-09-09 9 6 9 1979 86200.2613903067 35687624.9983635 2780154.7236792 423136.600412406 840979.399587594 2506970.06178782 181800
1979-09-16 9 7 16 1979 87300.3718715478 36307803.1415597 2719886.71645045 434774.263460461 872973.736539539 2450387.15224111 181800
1979-09-23 9 8 23 1979 126936.178735427 35308997.0229632 2715128.59280374 619000.111389889 732379.888610111 2321916.65701766 181800
1979-09-30 9 9 30 1979 139620.798007469 34634174.4359432 2360330.50807477 680441.017429777 714570.982570223 1944797.28135221 181800
1979-10-07 10 10 7 1979 169704.135124786 29532658.8603333 2926117.36155882 696128.775823855 733788.824176145 2458131.59703823 363600
1979-10-14 10 11 14 1979 172733.722902437 28709820.190608 2257907.5234334 717934.913400317 746888.286599683 1800957.97479399 363600
1979-10-21 10 12 21 1979 175976.955584445 27829577.659104 1509940.64352523 739041.809602041 760686.990397959 1081924.96059069 363600
1979-10-28 10 13 28 1979 179500.183310421 26925020.9109146 754592.888575538 764552.252964545 770082.147035455 341150.415752826 363600
1979-10-04 10 14 4 1979 186332.456419186 26034335.6433333 62956.374316959 828519.816984187 741020.183015813 47642.50478851 363600
1979-11-11 11 15 11 1979 0 25147902.5592518 1428300.5836752 0 1772992.09777143 1438299.5836752 3010207.90222857
1979-11-18 11 16 18 1979 0 23740725.7037895 41204.2710674591 0 1754675.21780253 51203.2710674591 2985324.78219747
1979-11-25 11 17 25 1979 0 23766055.5502671 62844.4060559909 0 1756587.23061257 72843.4060559909 2940212.76938743
1979-11-02 11 18 2 1979 0 23866231.6150416 206709.694712399 0 1709680.00138669 216708.694712399 2943919.99861331
1979-12-09 12 19 9 1979 0 22872573.5020625 1296566.27234538 0 1755652.82047314 1306565.27234538 1549763.37952686
1979-12-16 12 20 16 1979 0 21643878.2446042 180781.241820582 0 1650502.2998389 190780.241820582 1734708.5001611
1979-12-23 12 21 23 1979 6496.44323725906 21472761.9381653 100876.933522349 29001.6177626357 1627802.38223736 92952.1258544746 1824605.4
1979-12-30 12 22 30 1979 22494.0480017994 21338930.0754277 66241.8352956449 100318.106130654 1643749.89386935 57032.5515042688 1454400
