"date" "month" "week" "day" "year" "MICAA" "ARROW" "DUNCA" "CORRA" "LIBBY" "FLASF" "GCOUL" "DWORS" "BROWN" "UpSnake" "MdlSnake"
1979-08-05 8 1 5 1979 20075500 7327300 1423400 589210 4975000 3166000 8316000 2310672.99416052 1122390.123783 2577600 4242400
1979-08-12 8 2 12 1979 20075500 7327300 1423400 589210 4975000 3157907.2031 8316000 2301940.76946052 927962.311106 2577600 4242400
1979-08-19 8 3 19 1979 20075500 7327300 1423400 589210 4975000 3151036.2246 8316000 2238000 873277.0024642 2577600 4242400
1979-08-26 8 4 26 1979 20075500 7327300 1423400 589210 4975000 3145141.11404 8316000 2230503.478 833192.117977399 2577600 4242400
1979-08-02 8 5 2 1979 19965625.3812459 7304041.44482215 1421002.81316885 589210 4973879.20345328 3133664.51488 8316000 2218181.17001 755220.863153899 2577600 4242400
1979-09-09 9 6 9 1979 19886175.198602 7193933.73973116 1406051.00870478 597272.835328852 4989447.15728947 3087493.87144239 8365799.13407084 2195269.74654787 667929.1788622 2577600 4242400
1979-09-16 9 7 16 1979 19883351.9079602 7191826.11933033 1405828.39207486 599703.046281887 4929144.77688154 3036215.74800022 8132356.37479089 2169012.91495722 623585.2598586 2577600 4242400
1979-09-23 9 8 23 1979 19828142.5246318 7134618.28664065 1398943.34666586 583387.59017155 4907743.00698373 2968351.50230736 7847356.94009861 2140609.52980662 591664.203824699 2577600 4242400
1979-09-30 9 9 30 1979 19678457.9315629 7020556.13180716 1390989.29528209 540071.57174795 4875922.85300627 2895883.34320957 7591938.98812885 2110896.86302309 578061.820959399 2577600 4242400
1979-10-07 10 10 7 1979 19447584.3451245 6776231.06073914 1381182.26894999 491216.19645028 4831125.37302641 2866924.42687957 7306112.97085439 2078310.87796062 628678.074530238 2577600 4242400
1979-10-14 10 11 14 1979 19215909.9012317 6541227.84044208 1366960.29284371 456594.48843018 4784786.79427212 2841500.05663957 7109799.39165302 2057112.21378684 605604.819043038 2577600 4242400
1979-10-21 10 12 21 1979 18955365.9672462 6296492.07557055 1346712.63982601 431141.72689018 4729010.05983477 2822440.64620957 6986143.31745772 2039037.51054471 626198.165713038 2577600 4242400
1979-10-28 10 13 28 1979 18761133.0310089 6015683.232 1322282.88067172 399617.55934018 4670415.12033503 2796532.30893957 6836293.77180077 2011529.01697504 660345.467024578 2577600 4242400
1979-10-04 10 14 4 1979 18515109.4407688 5869798.72499081 1288651.50426911 358295.04292718 4585653.61255158 2772004.46777957 6686911.69037978 1980461.80640285 692208.039173948 2577600 4242400
1979-11-11 11 15 11 1979 17956178.96 5495814.27 1231738.365 311512.02967118 4624193.78508158 2742869.02248957 6577594.03790037 1964142.80349285 736116.299023948 2577600 4242400
1979-11-18 11 16 18 1979 17956178.96 5495814.27 1231738.365 259952.81721118 4662331.31291158 2714824.48648957 6494081.34879096 1945681.65143585 767227.399563948 2577600 4242400
1979-11-25 11 17 25 1979 17956178.96 5495814.27 1231738.365 201584.34734018 4701424.87397158 2681186.56105957 6349380.54961155 1920353.72129285 791469.341963948 2577600 4242400
1979-11-02 11 18 2 1979 17956178.96 5495814.27 1231738.365 164803.98050018 4685160 2661446.81992957 6254767.57963916 1927463.48289285 792669.693453948 2577600 4242400
1979-12-09 12 19 9 1979 17800000 4938259.271 873125.9714 766683 3855100 2641500.79776957 5958146.03769695 1925726.96192285 811192.494243948 2577600 4242400
1979-12-16 12 20 16 1979 17800000 4938259.271 873125.9714 783365 3855100 2622911.47006957 5554148.05157997 1930537.88013285 853391.200143948 2577600 4242400
1979-12-23 12 21 23 1979 17800000 4938259.271 873125.9714 800048 3851127.8452516 2599829.57957957 5145211.97433758 1927372.30079026 889612.913203947 2577600 4242400
1979-12-30 12 22 30 1979 17775025.6319489 4938259.271 873125.9714 805214.164651601 3841251.87790263 2572536.77924957 4703540.23992519 1920767.62192659 945011.026363948 2577600 4242400
1980-01-06 1 23 6 1980 17478910.6577262 4625625.84283484 859629.314071098 782681.073077601 3852149.60871364 2533027.89599537 4165088.73411096 1908228.52936519 1013358.03448395 2578080 4242400
1980-01-13 1 24 13 1980 17091147.7958938 4268977.85806454 822025.410114076 756422 3843286.01943196 2480658.33549302 3921900 1920903.43698487 1170000 2578560 4242400
1980-01-20 1 25 20 1980 16722828.1927664 3956664.35044021 747423.166321862 726268 3829962.20554946 2429404.73039177 3921900 1911070.32049005 1170000 2579040 4242400
1980-01-27 1 26 27 1980 16370511.3635747 3699265.12831026 670238.965315163 696114 3819883.72472266 2379736.72798541 3921900 1893874.62902448 1170000 2579520 4242400
1980-01-03 1 27 3 1980 16000093.2076569 3501234.41881855 583523.180229092 665960 3799239.3782488 2335373.71035008 3921900 1894753.15376473 1170000 2580000 4242400
1980-02-10 2 28 10 1980 15541568.6326444 3283526.68368541 476785.028379443 621063 3761499.81863451 2292302.9491637 3921900 1886194.2156518 1070000 2542500 4205550
1980-02-17 2 29 17 1980 15128707.6103343 3104107.49779338 370509.559715383 576165 3701364.53648574 2261587.47213368 3921900 1926375.02282502 1070000 2505000 4168700
1980-02-24 2 30 24 1980 14927610.03 3045000 262150 531268 3627670 2235798.14314368 3921900 1973193.88242502 1070000 2467500 4131850
1980-02-02 2 31 2 1980 14927610.03 3059900.83737 153400 486370 3599210 2214207.82317368 3921900 2027859.35499502 1070000 2430000 4095000
1980-03-09 3 32 9 1980 14934777.81227 3076035.39397 153400 402130 3570250 2191318.32941368 3921900 2068644.49450502 1020000 2400000 4072500
1980-03-16 3 33 16 1980 14940700.97 3097689.95158 153400 317890 3543140 2165164.04168368 3921900 2094139.05277502 1020000 2370000 4050000
1980-03-23 3 34 23 1980 14940700.97 3123190.46024 153400 233650 3517210 2138220.33232368 3921900 2105660 1020000 2340000 4027500
1980-03-30 3 35 30 1980 14940700.97 3155147.16847 153400 149410 3490000 2110453.48232368 3921900 2116620 1020000 2310000 4005000
1980-04-06 4 36 6 1980 14964024.12706 3195182.55581 153400 173308 3482500 2090806.96435368 3921900 2155861.99874 995000 2282500 3976880
1980-04-13 4 37 13 1980 14990486.2 3351721.10441 153400 197205 3476630 2135183.37062368 3921900 2238000 995000 2255000 3948750
1980-04-20 4 38 20 1980 15116040.21 3490000 153400 221103 3473260 2295043.43392368 5036827.88517082 2370085.67577767 995000 2227500 3920630
1980-04-27 4 39 27 1980 15639339.4713562 3727300 153400 245000 4053361.92698259 2513231.44152368 5790830 2577328.73279165 995000 2200000 3892500
1980-05-04 5 40 4 1980 16227765.5392562 3727300 153400 267000 4684575.26318259 2718130.19052368 8090293.54763573 2769221.67619165 1371213.161191 2275600 3962400
1980-05-11 5 41 11 1980 16836793.9248562 3727300 153400 289000 5104680.90715224 2842924.46242368 9107300 2816547.69178272 1420000 2351200 4032300
1980-05-18 5 42 18 1980 17456252.3887667 3727300 153400 311000 5625956.1153741 3036549.15982368 9107300 2897235.4623605 1420000 2426800 4102200
1980-05-25 5 43 25 1980 17982310.1810667 3727300 153400 333000 5855100 3214992.36692368 9107300 2930741.54593178 1394489.9977276 2502400 4172100
1980-05-01 5 44 1 1980 18538522.6894667 3727300 153400 355000 5855100 3338519.20052368 9107300 2910713.27319382 1420000 2578000 4242000
1980-06-08 6 45 8 1980 19173627.7739667 3727300 153400 386250 5855100 3458870.49642368 9107300 2999755.28909382 1420000 2577900 4242100
1980-06-15 6 46 15 1980 19685500 3727300 153400 417500 5855100 3567568.89762368 9107300 3054538.78649382 1420000 2577800 4242200
1980-06-22 6 47 22 1980 19685500 3727300 153400 448750 5855100 3642667.29285368 9107300 3078475.33622382 1420000 2577700 4242300
1980-06-29 6 48 29 1980 19685500 3727300 153400 480000 5763346.42452014 3596854.02817201 9024804.14239608 3048915.40717699 1349765.8918743 2577600 4242400
1980-07-06 7 49 6 1980 19581882.891157 4521909.41766374 247218.24857 507303 5294325.15846292 3334922.29354071 8603106.00828509 2883884.30625128 1225417.6522328 2577600 4242400
1980-07-13 7 50 13 1980 19302933.92 5223117.06311039 346185.58897 534605 4975000 3166000 8316000 2238000 1005496.9393962 2577600 4242400
1980-07-20 7 51 20 1980 19525000 5624711.52351039 453404.17047 561908 4975000 3166000 8204363.97813473 2215632.40923 888581.873840299 2577600 4242400
1980-07-27 7 52 27 1980 20039320.6281821 5938308.27557167 545320.26994 589210 4975000 3166000 7982291.20040746 2185723.66009 737160.942575199 2577600 4242400
1980-08-03 8 1 3 1980 19986311.4750209 6520498.16586666 602485.94998 589210 4975000 3166000 7772219.74305515 2181230.11383 550530.945780199 2577600 4242400
1980-08-10 8 2 10 1980 19865041.5068598 7046561.19243987 665022.87065 589210 4975000 3165047.70024 7516454.81870323 2172688.30239 443000 2577600 4242400
1980-08-17 8 3 17 1980 19810970.5892515 7264090.92968092 715758.151554389 589210 4967471.63167345 3161048.46317148 7394828.83830479 2166509.5879053 427354.6508056 2577600 4242400
1980-08-24 8 4 24 1980 19715443.5465154 7234394.95451753 748370.616504094 575152.3839191 4948756.21940792 3138923.92804345 7318075.87795236 2151892.90161824 443000 2577600 4242400
1980-08-31 8 5 31 1980 19549738.5617562 7214319.85487235 773600.040093607 577536.18983339 4939584.16895843 3124612.39491008 7081537.25639067 2138345.08749511 443000 2577600 4242400
1980-09-07 9 6 7 1980 19592202.4820156 7159847.79483029 806079.056180932 561963.64350699 4919364.33730668 3090222.03061303 6917638.94047989 2108458.318296 443000 2577600 4242400
1980-09-14 9 7 14 1980 19553271.7033323 7137966.5351042 833227.680340972 561821.24739649 4925852.77046062 3048847.56301967 6701952.69947167 2083184.41267242 458499.6559784 2577600 4242400
1980-09-21 9 8 21 1980 19470603.8591997 7113542.92814726 850161.721011085 563054.52215332 4941263.84651584 3023014.10615092 6562679.22218072 2065283.44442748 507417.749184399 2577600 4242400
1980-09-28 9 9 28 1980 19491965.4353614 7129732.82971018 892378.549019151 571774.98988332 4930326.06617984 2988027.36858875 6451256.13263333 2043057.52280044 537508.232981204 2577600 4242400
1980-10-05 10 10 5 1980 19339911.7393436 6933245.23199773 904692.395451413 569168.63614053 4913314.01612963 2984050.27489875 6326777.80408173 2016483.73657526 565246.694156304 2577600 4242400
1980-10-12 10 11 12 1980 19107079.5406681 6691592.80775715 901828.385832713 565673.84387413 4876316.07610791 2976588.22190875 6141476.78165967 1991354.08901654 599146.225949304 2577600 4242400
