"date" "month" "week" "day" "year" "BRPrelim_c" "TotalFloodSpace_c" "TotalMcNarySharedWater_c" "BRIn" "GCIn"
1979-08-05 8 1 5 1979 140077.772281 18278.000000001 1894964.8090401 -66062.1039359999 896818.167900379
1979-08-12 8 2 12 1979 150770.2686649 740794.33717915 606172.74545083 -43657.5440121001 951979.19502303
1979-08-19 8 3 19 1979 136530.405366 732977.218076498 692442.566986762 81845.0967241997 1027826.19108876
1979-08-26 8 4 26 1979 129114.5883778 738495.481473475 578641.953979551 89029.7038909996 921383.262610851
1979-08-02 8 5 2 1979 135935.7591555 605674.102049727 507082.962792459 57964.5043320002 853095.981027258
1979-09-09 9 6 9 1979 134413.6945447 561608.371850526 150450.413394202 47122.0102530001 502815.478528426
1979-09-16 9 7 16 1979 127229.7431686 414867.808840123 69266.9676780682 82885.8241650002 268638.841851451
1979-09-23 9 8 23 1979 127904.7387319 472160.804063669 4134.08443484176 95983.6826979997 212354.25339862
1979-09-30 9 9 30 1979 127438.9600773 714032.972392453 0 113836.577212 247508.03057123
1979-10-07 10 10 7 1979 122535.031076061 886065.674951495 0 173151.2846469 238360.06110734
1979-10-14 10 11 14 1979 139387.90501 1524453.66307603 0 116314.6495228 315576.69450197
1979-10-21 10 12 21 1979 124158.41473 1947801.98666653 0 144751.7614 350628.03950854
1979-10-28 10 13 28 1979 127099.70452 2156790.67272471 0 161247.00583154 321628.91905754
1979-10-04 10 14 4 1979 136257.39211 2074840.61655965 0 168119.96425937 354478.139743584
1979-11-11 11 15 11 1979 133273.25935 2621114.35641622 0 177181.5192 374295.292385164
1979-11-18 11 16 18 1979 136988.10306 618911.792312496 0 168099.2036 390079.758055164
1979-11-25 11 17 25 1979 137595.4419 665416.759233495 0 161837.3843 345836.444385164
1979-11-02 11 18 2 1979 140288.59941 943488.968053534 0 141488.9509 393284.977590772
1979-12-09 12 19 9 1979 135555.24321 3305121.7221975 0 154078.044 599430.057020952
1979-12-16 12 20 16 1979 130561.6555 972991.855960002 0 172760.3614 405417.564346192
1979-12-23 12 21 23 1979 131810.05244 809068.677406408 0 168031.7655 429922.123120772
1979-12-30 12 22 30 1979 124431.34044 825227.125154803 0 179829.4536 445555.400150772
1980-01-06 1 23 6 1980 119977.65368 2267483.85000635 0 188324.6618 403330.253856354
1980-01-13 1 24 13 1980 99650.3117839475 2759739.55561538 0 256292.2773 565804.701642812
