"date" "month" "week" "day" "year" "MICAA" "ARROW" "DUNCA" "CORRA" "LIBBY" "FLASF" "GCOUL" "DWORS" "BROWN" "UpSnake" "MdlSnake"
1979-08-05 8 1 5 1979 20075500 7327300 1423400 589210 4975000 3166000 8316000 2881093.29426033 1261468.35514325 2577600 4242400
1979-08-12 8 2 12 1979 20075500 7327300 1423400 589210 4975000 3146502.77913683 8316000 2709929.39683958 1183000 2577600 4242400
1979-08-19 8 3 19 1979 20055077.958409 7307612.72999102 1421370.89440656 589210 4975000 3125739.85931271 8316000 2606423.13742842 1198969.30030882 2577600 4242400
1979-08-26 8 4 26 1979 20033504.6887584 7252926.02442727 1415734.50601468 589210 4975000 3125463.33783589 8316000 2492168.06397978 1183000 2577600 4242400
1979-09-02 9 5 2 1979 20018951.8 7099652.662 1399937.098 589210 4964030 3107093.25972043 8316000 2408870.99885326 1183000 2577600 4242400
1979-09-09 9 6 9 1979 19963012.2569884 7091796.77197489 1402544.67048282 601908 4927780.55996497 3058232.39490901 8215588.61176706 2342412.11235065 1420000 2577600 4242400
1979-09-16 9 7 16 1979 19949491.3583435 7074478.343797 1400599.34939435 607154.722716935 4924712.83608947 3000564.45982572 8087595.62011623 2286095.2398357 1420000 2577600 4242400
1979-09-23 9 8 23 1979 19887966.13641 6837875.50069929 1390164.2958678 567896.726740094 4904085.85676664 2930982.17665515 7992730.95944725 2235164.79288538 1420000 2577600 4242400
1979-09-30 9 9 30 1979 19825474.8953498 6628894.3733632 1387494.31833438 521082.007206764 4875613.37230003 2856592.97282583 7777462.16137559 2198923.26642752 1420000 2577600 4242400
1979-10-07 10 10 7 1979 19676705.6131074 6265834.64336139 1367050.38762564 471449.746277374 4837812.92666287 2819101.07390357 7595775.11644752 2163830.55354891 1420000 2577600 4242400
1979-10-14 10 11 14 1979 19489779.4602677 6015683.232 1344373.64676376 413605.784392487 4782894.14326805 2781646.46893193 7498401.0454338 2126769.32796792 1420000 2577600 4242400
1979-10-21 10 12 21 1979 19302420.9942871 5918773.18707768 1332106.35845426 364606.072526407 4732508.98966895 2755895.08120193 7303886.86121966 2103131.37794735 1420000 2577600 4242400
1979-10-28 10 13 28 1979 19144500.2409311 5853578.3346543 1326065.39786112 337026.915876407 4702309.69515521 2740587.66888193 7262868.9026102 2096055.88863126 1420000 2577600 4242400
1979-11-04 11 14 4 1979 18979787.8313935 5794664.49241825 1311560.68550942 325894.598496407 4659760.10808417 2715799.18117193 7333917.96363329 2071221.69914112 1420000 2577600 4242400
1979-11-11 11 15 11 1979 18989998.0826544 5495814.27 1231738.365 278969.739074407 4681673.69970975 2681025.67012193 7293973.08459387 2050875.34871053 1420000 2577600 4242400
1979-11-18 11 16 18 1979 19008128.7829444 5464105.71875 1231738.365 225259.746941407 4704794.31097975 2646275.67764193 7168163.61638446 2030230.26642753 1420000 2577600 4242400
1979-11-25 11 17 25 1979 19025526.9741144 5434390.3121 1231738.365 173832.961777407 4710640 2611711.85390193 7031033.35808048 2012518.74586753 1420000 2577600 4242400
1979-12-02 12 18 2 1979 19038245.4104744 5408291.00195 1231738.365 144000 4685160 2576132.62373193 6883136.67423549 1991369.86416853 1420000 2577600 4242400
1979-12-09 12 19 9 1979 19042213.9188444 4938259.271 873125.9714 766683 3855100 2556785.66862193 6696306.3697631 2011646.40046853 1420000 2577600 4242400
1979-12-16 12 20 16 1979 19046688.0946844 4938259.271 873125.9714 783365 3855100 2543655.14786193 6270813.05281612 2010827.47638853 1420000 2577600 4242400
1979-12-23 12 21 23 1979 19049431.1510644 4932667.72753 873125.9714 793658.96064 3855100 2528795.66983193 5870661.49605373 2024230.55934853 1420000 2577600 4242400
1979-12-30 12 22 30 1979 19043222.9330404 4919845.45995711 873125.9714 795043.824146 3852198.44765602 2501373.97517193 5461817.97894676 2021193.86680589 1420000 2577600 4242400
1980-01-06 1 23 6 1980 18718453.0873449 4576753.83635176 685280.139729197 786576 3866380.85566364 2462076.89662146 5127266.05930853 2012549.63898232 1370000 2578080 4242400
1980-01-13 1 24 13 1980 18409335.6416778 4244931.11492225 685889.561310582 750974.520379197 3879188.55225131 2424070.42456795 4596727.50988431 1999998.68313652 1320000 2578560 4242400
1980-01-20 1 25 20 1980 18022999.1082101 3859188.04477848 681576.978050492 715228.82656978 3867640.50169732 2372943.12700632 4046742.71116008 1983345.34097316 1270000 2579040 4242400
