"date" "month" "week" "day" "year" "BRPrelim_c" "TotalFloodSpace_c" "TotalMcNarySharedWater_c" "BRIn" "GCIn"
1979-08-05 8 1 5 1979 414388.489401748 18278.0000000006 1837824.2378936 347326.844545 636417.84278752
1979-08-12 8 2 12 1979 402791.642688252 736404.583885378 304742.713306114 324323.287545 644696.158486614
1979-08-19 8 3 19 1979 556831.29359288 695540.930011762 314680.853861109 572800.5939017 656367.316801309
1979-08-26 8 4 26 1979 430707.85621972 613128.966526833 289314.021693806 414738.5559109 630313.018129106
1979-09-02 9 5 2 1979 347198.2947054 467243.729803646 162152.951283759 347198.2947054 506786.455621859
1979-09-09 9 6 9 1979 99230.1545007003 436843.99634306 50232.0334475003 336230.1545007 362167.158016465
1979-09-16 9 7 16 1979 320589.925575 572199.931998147 3092.35052227136 320589.925575 288521.008349168
1979-09-23 9 8 23 1979 314895.147484 577870.633088358 0 314895.147484 321649.339331013
1979-09-30 9 9 30 1979 348938.882205999 812597.415666353 0 348938.882206 255935.472297248
1979-10-07 10 10 7 1979 318147.060397399 876554.836746944 0 318147.060397399 301018.311990421
1979-10-14 10 11 14 1979 283515.377828708 1756866.17290339 0 283515.377828708 333205.8596591
1979-10-21 10 12 21 1979 338512.637108955 1714330.63026823 0 338512.637108955 297965.205547889
1979-10-28 10 13 28 1979 533130.598269986 1540801.20361527 0 533130.598269985 375496.04139054
1979-11-04 11 14 4 1979 337114.932435 1629986.12224842 0 337114.932435 487563.061023084
1979-11-11 11 15 11 1979 285563.9929 1216052.93122239 0 285563.9929 376569.120960584
1979-11-18 11 16 18 1979 249099.402 545563.914723 0 249099.402 343375.602355164
1979-11-25 11 17 25 1979 248297.2286 583096.117980937 0 248297.2286 349837.668160584
1979-12-02 12 18 2 1979 246825.3248 652164.4546925 0 246825.3248 323216.769318179
1979-12-09 12 19 9 1979 345641.5322 2056689.98694 0 345641.5322 770932.723690772
1979-12-16 12 20 16 1979 315738.7477 639144.7836525 0 315738.7477 435342.811916191
1979-12-23 12 21 23 1979 289574.0569 597469.970455 0 289574.0569 423942.470700772
1979-12-30 12 22 30 1979 306671.6403 620481.605466813 0 306671.6403 441985.723756192
1980-01-06 1 23 6 1980 292126.0444 2339055.97589028 0 242126.0444 542479.867032354
1980-01-13 1 24 13 1980 288160.6202 2265467.72720018 0 238160.6202 367999.321046354
1980-01-20 1 25 20 1980 519465.1226 2689248.59722028 0 469465.1226 362138.965646354
1980-01-27 1 26 27 1980 376951.6347 2681817.6512267 0 326951.6347 348766.966376354
1980-02-03 2 27 3 1980 301478.3271 2278256.13676076 0 251478.3271 322361.809079865
1980-02-10 2 28 10 1980 343256.7453 2592580.211323 0 305756.7453 592757.683359834
1980-02-17 2 29 17 1980 340444.219599999 2274526.27174072 0 302944.2196 306799.772021945
1980-02-24 2 30 24 1980 720076.4973 1923491.20114092 0 682576.497300001 342864.340849865
1980-03-02 3 31 2 1980 616998.141995899 1697513.77127452 0 579498.141995899 475435.709735478
1980-03-09 3 32 9 1980 491340.532244219 3894561.60559434 0 466340.532244219 751455.658831398
1980-03-16 3 33 16 1980 423982.9269895 4010100.38433824 0 398982.9269895 539455.286975995
1980-03-23 3 34 23 1980 422320.26891525 2080185.07393401 0 397320.26891525 512486.132302398
1980-03-30 3 35 30 1980 394429.5407332 750190.856095 0 369429.5407332 533485.292240398
1980-04-06 4 36 6 1980 399704.21331019 685549.0996095 0 374704.21331019 425918.233689581
1980-04-13 4 37 13 1980 433600.875026 663456.2102615 0 408600.875026 521855.219584581
1980-04-20 4 38 20 1980 468170.98428 1040868.32492916 0 443170.98428 509767.109008989
1980-04-27 4 39 27 1980 946778.5602301 1585832.05270047 0 921778.5602301 1430991.82594605
1980-05-04 5 40 4 1980 744948.1650052 1790039.25 0 864948.1650052 2913757.96492201
1980-05-11 5 41 11 1980 509411.28446161 1790039.25 0 629411.28446161 3405949.62301098
1980-05-18 5 42 18 1980 563132.772349 1790039.25 386614.694516299 683132.772349 2863875.26015747
1980-05-25 5 43 25 1980 373976.273345162 693696.96625491 630674.738266049 493976.273345162 1831084.41077121
1980-06-01 6 44 1 1980 632750.864877 603297.039424981 1402477.60757854 752750.864877 2280962.06224018
1980-06-08 6 45 8 1980 993798.508498 420442.927868258 1671400 993798.508498 1864572.69599288
1980-06-15 6 46 15 1980 725689.625111911 505282.343418122 1692234.20298369 725689.625111911 1911151.94103482
1980-06-22 6 47 22 1980 457372.4571536 522633.91354657 1776557.56360964 457372.4571536 2071625.13427181
